Full,Abbr
America East,America East
American Athletic Conference,AAC
Atlantic 10,Atlantic 10
Atlantic Coast,ACC
Atlantic Sun,ASUN
Big 12,Big 12
Big East,Big East
Big Sky,Big Sky
Big South,Big South
Big Ten,Big Ten
Big West,Big West
Colonial,CAA
Conference USA,C-USA
Horizon,Horizon
Ivy League,IVY
Metro Atlantic,MAAC
Mid-American,MAC
Mid-Eastern,MEAC
Missouri Valley,MVC
Mountain West,MWC
Northeast,NEC
OVC,OVC
Pacific Coast Softball,Pac-12
Patriot,Patriot
Southeastern,SEC
Southern,SoCon
Southland,Southland
Southwestern,SWAC
Summit League,Summit
Sun Belt,Sun Belt
West Coast,WCC
Western Athletic,WAC
