Fielding_Percentage,Scoring,Hit_Batters,Earned_Run_Average,Triples_per_Game,Home_Runs_per_game,Slugging_Percentage,Double_Plays_per_Game,On_Base_Percentage,Stolen_Bases_per_Game,Strikeout-to-Walk_Ratio,Batting_Average,Doubles_per_Game,Shutouts,Team_Strikeouts_Per_Seven_Innings,Conf__ACC,Conf__ASUN,Conf__America East,Conf__Atlantic 10,Conf__Big 12,Conf__Big East,Conf__Big Sky,Conf__Big South,Conf__Big Ten,Conf__Big West,Conf__C-USA,Conf__CAA,Conf__Horizon,Conf__IVY,Conf__Ivy,Conf__MAAC,Conf__MAC,Conf__MEAC,Conf__MVC,Conf__MWC,Conf__NEC,Conf__OVC,Conf__Pac-12,Conf__Patriot,Conf__SEC,Conf__SWAC,Conf__SoCon,Conf__Southland,Conf__Summit,Conf__Sun Belt,Conf__WAC,Conf__WCC
0.977,5.86,18.6,1.5,0.3,1.09,0.503,0.49,0.395,2.17,2.8920000000000003,0.289,1.64,17.6,7.156000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.973,6.11,22.2,1.38,0.13,1.24,0.524,0.37,0.401,1.27,4.186,0.322,1.38,17.6,7.160000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.969,6.32,22.2,1.83,0.23,1.05,0.52,0.28,0.404,0.63,4.206,0.335,1.35,18.6,7.160000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.986,6.66,20.0,1.12,0.11,1.32,0.532,0.23,0.424,1.16,4.608,0.321,1.23,21.6,7.244,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.979,5.77,19.8,1.18,0.19,0.95,0.49,0.23,0.394,1.18,4.602,0.311,1.55,19.0,7.160000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.984,6.22,23.4,1.43,0.19,0.91,0.465,0.3,0.426,0.57,2.914,0.284,1.22,15.0,7.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.969,5.16,14.8,1.54,0.21,1.08,0.472,0.23,0.39480000000000004,0.48,3.91,0.284,1.25,18.6,7.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.966,5.97,26.0,1.86,0.26,1.08,0.526,0.2,0.404,1.46,2.4040000000000004,0.333,1.31,15.6,6.746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.979,4.92,26.2,2.1,0.17,0.98,0.455,0.47,0.39059999999999995,0.62,3.304,0.272,1.32,16.4,7.446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.967,5.81,27.2,2.48,0.13,0.84,0.453,0.31,0.4,1.06,2.252,0.306,1.15,13.8,6.602000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.975,3.98,21.8,1.57,0.1,0.66,0.384,0.27,0.35080000000000006,1.24,2.96,0.26,1.13,17.8,7.866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.973,4.95,14.4,1.94,0.12,1.27,0.494,0.2,0.3948,0.53,3.69,0.294,1.2,16.2,7.558000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.976,5.39,27.0,3.12,0.18,0.96,0.469,0.39,0.38239999999999996,1.36,2.0799999999999996,0.304,1.05,13.2,6.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.977,4.82,26.2,2.22,0.13,0.81,0.45,0.39,0.3846,0.85,3.5,0.296,1.26,16.2,7.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.965,4.8,26.2,2.44,0.2,0.91,0.438,0.34,0.3882,1.11,3.364,0.273,0.98,15.4,7.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.97,5.23,10.0,2.68,0.23,0.63,0.449,0.18,0.392,1.02,2.1879999999999997,0.322,1.05,9.8,7.4879999999999995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.963,4.81,30.4,2.34,0.19,0.93,0.443,0.17,0.3876,0.34,3.304,0.279,1.14,14.4,7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.979,6.07,17.8,2.24,0.2,1.27,0.505,0.33,0.39,0.45,2.206,0.295,1.47,13.0,7.095999999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.971,4.61,15.0,1.99,0.11,0.4,0.38,0.44,0.3668,1.47,1.9799999999999998,0.286,1.21,10.4,7.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.977,5.09,10.0,1.37,0.21,0.74,0.426,0.43,0.4058,1.71,2.356,0.281,1.07,11.2,7.547999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.957,5.18,24.6,2.06,0.31,0.9,0.471,0.25,0.39640000000000003,0.85,3.304,0.292,1.44,16.4,7.519999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.975,5.56,24.8,2.27,0.16,0.65,0.444,0.42,0.3674,0.46,2.23,0.305,1.6,12.0,7.287999999999999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.967,5.69,14.0,1.9,0.19,0.95,0.459,0.28,0.3966,1.1,3.0199999999999996,0.287,1.43,14.0,8.27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.956,6.18,24.2,2.15,0.05,1.47,0.529,0.21,0.403,0.58,3.0060000000000002,0.309,1.35,15.8,7.087999999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.965,5.21,27.0,2.9,0.21,1.23,0.473,0.38,0.3844,0.62,1.862,0.264,1.44,10.8,7.106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.966,4.78,24.4,3.73,0.05,0.98,0.457,0.39,0.3756,1.07,1.536,0.29,1.39,9.6,6.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.953,3.79,15.4,2.86,0.09,0.59,0.368,0.31,0.3468,0.95,2.002,0.262,0.9,8.8,6.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.967,4.14,20.8,1.81,0.25,0.58,0.408,0.2,0.34280000000000005,0.93,2.3280000000000003,0.28,1.08,12.8,7.632000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.977,4.79,15.0,2.04,0.32,0.57,0.448,0.33,0.3722,1.59,2.7039999999999997,0.299,1.67,14.6,7.093999999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.97,5.69,22.4,2.64,0.13,1.02,0.48,0.26,0.402,0.49,2.138,0.314,1.18,12.6,6.8340000000000005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.972,4.25,20.6,1.27,0.11,0.39,0.384,0.21,0.3684,1.61,3.022,0.282,1.26,17.2,7.604000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.964,4.86,9.0,2.41,0.32,0.5,0.401,0.32,0.3944,1.04,2.1879999999999997,0.27,1.38,9.8,7.3740000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.956,4.89,15.6,3.44,0.18,1.07,0.458,0.38,0.3974,0.58,1.634,0.275,1.25,8.0,6.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.983,5.39,32.8,1.43,0.14,0.77,0.451,0.14,0.395,1.25,3.0160000000000005,0.301,1.33,16.0,8.264000000000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.967,4.18,18.8,2.8,0.16,0.47,0.361,0.42,0.3536,1.42,2.1740000000000004,0.257,1.02,10.4,7.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.957,5.93,23.2,3.85,0.21,0.82,0.455,0.32,0.398,2.0,1.366,0.293,1.4,5.8,7.378,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.976,3.46,27.4,2.45,0.07,0.42,0.376,0.22,0.3294,0.63,2.17,0.268,1.32,10.4,7.481999999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
