Team Name,NCAA Name
Albany,Albany (NY)
App Statete,Appalachian State
Army,Army West Point
Bakersfield,CSU Bakersfield
Boston,Boston U
Boston U.,Boston U
Cal State Bakersfield,CSU Bakersfield
Cal State Fullerton,CSU Fullerton
Cal State Northridge,CSUN
Central Arkansas,Central Ark.
Central Conn State,Central Conn. State
Central Connecticut,Central Conn. State
Central Michigan,Central Mich.
Charleston Southern,Charleston So.
Coastal Caro.,Coastal Carolina
Connecticut,UConn
Detroit,Detroit Mercy
East Tenn. State,ETSU
East Tennessee State,ETSU
Florida Atlantic,Fla. Atlantic
Fort Wayne,Purdue Fort Wayne
Georgia Southern,Ga. Southern
Ill.-Chicago,UIC
Incarnate Word,UIW
Kansas City,UMKC
Lamar,Lamar University
LIU Brooklyn,LIU
LMU,LMU (CA)
Louisiana,ULL
Loyola  ,Loyola Chicago
Loyola Marymount,LMU (CA)
McNeese,McNeese State
Miami,Miami (OH)
Middle Tennessee,Middle Tenn.
Mississippi Valley State,Mississippi Val.
Monmouh,Monmouth
Mt. State Mary's,Mount State Mary's
NC Statete,NC State
Neb. Omaha,Omaha
North Carolina State,NC State
Northern Iowa,UNI
Prarie View A&M,Prairie View
Saint Francis,Saint Francis (PA)
Saint Mary's,Saint Mary's (CA)
Seattle,Seattle U
SIU Edwardsville,SIUE
South Ala.,South Alabama
South Carolina Upstate,USC Upstate
South Fla.,South Florida
Souther Carolina Upstate,USC Upstate
Southern Illinois,SIUE
Southern Missouri State,Southern Miss.
St. Francis (Pa),Saint Francis (PA)
St. Johns,State John's (NY)
St. Johns (NY),State John's (NY)
State John's,State John's (NY)
State Johns,State John's (NY)
State Mary's (CA),Saint Mary's (CA)
Statenford,Stanford
Stateny Brook,Stony Brook
Stetson,Statetson
UL Lafayette,ULL
Western Kentucky,WKU
Western Ky.,WKU
La.-Lafayette,ULL
