College,Year,Fielding_Percentage,Scoring,WL_Percentage,Hit_Batters,Earned_Run_Average,Triples_per_Game,Home_Runs_per_game,Slugging_Percentage,Double_Plays_per_Game,On_Base_Percentage,Stolen_Bases_per_Game,Strikeout-to-Walk_Ratio,Batting_Average,Doubles_per_Game,Shutouts,Team_Strikeouts_Per_Seven_Innings
A&M-Corpus Christi,2013,0.949,2.68,0.22,,5.0,0.1,0.32,0.306,0.28,,0.42,,0.231,0.8,,
A&M-Corpus Christi,2014,0.949,3.27,0.308,,5.68,0.15,0.48,,0.29,,0.73,,0.265,1.1,,
A&M-Corpus Christi,2015,0.958,3.47,0.418,,3.44,0.12,0.47,0.364,0.29,,0.8,,0.267,1.0,,
A&M-Corpus Christi,2016,0.961,2.23,0.375,,3.45,0.02,0.17,0.276,0.19,,0.48,,0.228,0.65,,
A&M-Corpus Christi,2017,0.951,2.02,0.25,,3.86,0.04,0.19,0.256,0.27,,0.65,,0.215,0.4,,
A&M-Corpus Christi,2018,0.948,3.0,0.279,,4.74,0.02,0.33,0.311,0.35,,1.37,,0.236,0.88,,
A&M-Corpus Christi,2019,0.939,2.12,0.157,39.0,6.01,0.14,0.22,0.295,0.53,0.289,0.96,0.83,0.223,0.82,2.0,
Abilene Christian,2018,0.96,3.69,0.469,,3.79,0.08,0.65,0.365,0.27,,0.96,,0.248,0.9,,
Abilene Christian,2019,0.947,3.86,0.295,29.0,4.54,0.18,0.55,0.388,0.52,0.348,1.23,0.89,0.263,1.25,1.0,
Akron,2013,0.96,3.96,0.451,,3.2,0.1,0.47,0.344,0.1,,1.1,,0.244,0.98,,
Akron,2014,0.973,4.67,0.628,,2.98,0.12,0.53,,0.4,,2.05,,0.29,1.44,,
Akron,2015,0.966,3.43,0.49,,2.76,0.22,0.47,0.383,0.08,,1.24,,0.259,1.22,,
Akron,2016,0.961,3.5,0.545,18.0,2.46,0.18,0.34,0.379,0.27,,2.11,,0.274,1.29,,
Akron,2017,0.951,3.65,0.474,,3.12,0.11,0.54,0.391,0.33,,2.44,,0.266,1.23,,
Akron,2018,0.937,2.25,0.094,,6.8,0.02,0.48,0.339,0.21,,1.13,,0.229,1.04,,
Akron,2019,0.95,4.17,0.304,40.0,5.94,0.04,0.61,0.397,0.26,0.329,2.48,1.27,0.271,1.24,5.0,
Alabama,2013,0.961,6.85,0.75,,2.47,0.18,1.05,0.502,0.25,,1.93,,0.33,1.05,,
Alabama,2014,0.971,6.02,0.803,,2.19,0.26,1.03,0.487,0.29,0.405,1.3,,0.314,0.97,,
Alabama,2015,0.975,6.4,0.762,,1.92,0.27,0.97,0.511,0.25,0.418,1.43,,0.321,1.43,,
Alabama,2016,0.971,6.11,0.785,,2.36,0.25,0.89,0.492,0.12,0.402,1.42,,0.311,1.43,,
Alabama,2017,0.978,4.16,0.719,,1.49,0.2,0.58,0.39,0.27,,1.55,,0.272,0.81,,
Alabama,2018,0.965,4.8,0.643,,2.44,0.2,0.91,0.438,0.34,,1.11,,0.273,0.98,,
Alabama,2019,0.972,6.17,0.857,27.0,2.14,0.17,1.27,0.484,0.21,0.402,2.03,2.41,0.283,0.99,15.0,
Alabama A&M,2013,0.938,4.21,0.289,,5.77,0.16,0.29,0.335,0.18,,1.61,,0.257,0.74,,
Alabama A&M,2014,0.932,4.23,0.25,,7.14,0.27,0.09,,0.11,,1.25,,0.26,0.66,,
Alabama A&M,2015,0.937,6.23,0.419,,5.49,0.28,0.42,0.411,0.23,,1.26,,0.3,1.21,,
Alabama A&M,2016,0.942,4.19,0.255,7.0,7.38,0.11,0.6,0.37,0.17,,0.74,,0.241,1.21,,
Alabama A&M,2017,0.936,3.79,0.354,14.0,4.71,0.23,0.27,0.346,0.25,,0.67,,0.261,0.92,,
Alabama A&M,2018,0.933,5.93,0.512,11.0,4.46,0.16,0.74,0.448,0.3,,1.3,,0.297,1.37,,
