Rank,College,G,W-L,AB,H,BA
1,Kansas ,50,34-16,"1,389",479,0.345
2,Texas Southern ,49,33-16,"1,340",457,0.341
3,Louisville ,60,47-13,"1,595",535,0.335
4,Oklahoma ,61,57-4,"1,566",524,0.335
5,Alabama ,60,45-15,"1,598",528,0.330
6,Georgia ,61,40-21,"1,586",524,0.330
7,Oregon ,61,50-11,"1,642",540,0.329
8,Idaho St. ,52,29-23,"1,478",486,0.329
9,Arizona St. ,62,50-12,"1,682",552,0.328
10,Norfolk St. ,53,31-22,"1,524",499,0.327
11,Tennessee ,64,52-12,"1,698",553,0.326
12,USC Upstate ,54,42-12,"1,413",457,0.323
13,Texas ,61,51-10,"1,607",517,0.322
14,Prairie View ,42,19-23,"1,060",340,0.321
15,Michigan ,64,51-13,"1,693",543,0.321
16,Sam Houston St. ,61,37-24,"1,739",555,0.319
17,Louisiana ,62,47-15,"1,648",524,0.318
18,Central Conn. St. ,51,36-15,"1,334",420,0.315
19,Longwood ,61,41-20,"1,645",517,0.314
20,Notre Dame ,58,43-15,"1,550",487,0.314
21,Hofstra ,59,46-13,"1,574",492,0.313
22,Morehead St. ,49,24-25,"1,343",418,0.311
23,Nevada ,53,30-23,"1,458",452,0.310
24,James Madison ,59,42-17,"1,542",474,0.307
25,Ball St. ,54,37-17,"1,554",477,0.307
26,South Alabama ,57,48-9,"1,475",452,0.306
27,Fordham ,59,36-23,"1,603",491,0.306
28,UCLA ,60,40-20,"1,655",506,0.306
29,Delaware St. ,54,20-34,"1,433",436,0.304
30,SIUE ,48,35-13,"1,272",387,0.304
31,Northwestern ,53,31-22,"1,430",435,0.304
32,Missouri ,52,38-14,"1,359",413,0.304
33,Texas A&M ,60,42-18,"1,486",451,0.303
34,UIC ,45,21-24,"1,215",368,0.303
35,Temple ,58,32-26,"1,550",469,0.303
36,BYU ,58,33-25,"1,570",475,0.303
37,South Carolina ,59,34-25,"1,596",481,0.301
38,Texas Tech ,56,30-26,"1,500",451,0.301
39,Washington ,62,45-17,"1,600",480,0.300
40,Stanford ,60,39-21,"1,654",496,0.300
41,Campbell ,60,39-21,"1,605",481,0.300
42,Central Ark. ,58,37-21,"1,582",474,0.300
43,DePaul ,53,32-21,"1,452",435,0.300
44,Wisconsin ,57,44-13,"1,529",458,0.300
45,North Carolina ,61,40-21,"1,588",475,0.299
46,Charlotte ,50,24-26,"1,385",413,0.298
47,Siena ,47,21-26,"1,291",383,0.297
48,Northwestern St. ,55,40-15,"1,472",436,0.296
49,Princeton ,45,26-19,"1,312",388,0.296
50,Savannah St. ,50,26-24,"1,285",379,0.295
51,Tulsa ,59,42-16-1,"1,615",476,0.295
52,Baylor ,59,42-17,"1,570",462,0.294
53,Mercer ,53,24-29,"1,403",412,0.294
54,Binghamton ,47,30-17,"1,251",367,0.293
55,Georgia Tech ,55,25-30,"1,470",431,0.293
56,Southeastern La. ,54,31-23,"1,408",412,0.293
57,Seton Hall ,51,21-30,"1,358",397,0.292
58,Florida St. ,63,44-19,"1,618",473,0.292
59,UNC Greensboro ,57,38-19,"1,537",449,0.292
60,Dartmouth ,46,26-20,"1,307",381,0.292
61,Jackson St. ,57,28-29,"1,458",425,0.291
62,Houston ,61,41-20,"1,558",454,0.291
63,Houston Baptist ,42,17-25,"1,105",321,0.290
64,San Diego St. ,56,36-20,"1,490",432,0.290
65,Providence ,52,23-28-1,"1,413",409,0.289
66,Cornell ,50,21-29,"1,472",426,0.289
67,Louisiana Tech ,53,27-26,"1,340",387,0.289
68,Chattanooga ,53,26-27,"1,467",423,0.288
69,Arizona ,59,33-26,"1,545",445,0.288
70,Iowa St. ,55,21-34,"1,441",415,0.288
71,New Mexico St. ,57,37-20,"1,518",437,0.288
72,Long Beach St. ,57,37-20,"1,543",444,0.288
73,Eastern Ky. ,56,36-20,"1,526",439,0.288
74,Canisius ,47,22-25,"1,272",365,0.287
75,Illinois St. ,48,28-20,"1,314",377,0.287
76,UConn ,53,26-27,"1,460",418,0.286
77,Massachusetts ,43,18-25,"1,123",321,0.286
78,Delaware ,57,35-22,"1,495",427,0.286
79,Jacksonville ,52,30-22,"1,411",403,0.286
80,Marist ,56,30-26,"1,541",440,0.286
81,Central Mich. ,53,33-20,"1,419",405,0.285
82,Harvard ,44,22-22,"1,157",330,0.285
83,Toledo ,53,17-36,"1,484",423,0.285
84,Nebraska ,61,45-16,"1,649",470,0.285
85,Purdue Fort Wayne ,50,34-16,"1,358",387,0.285
86,Ohio St. ,56,34-22,"1,538",438,0.285
87,Drake ,49,29-20,"1,331",379,0.285
88,LSU ,58,42-16,"1,505",428,0.284
89,Missouri St. ,52,22-30,"1,358",386,0.284
90,Maryland ,57,31-26,"1,438",408,0.284
91,Monmouth ,47,31-16,"1,315",373,0.284
92,Pacific ,56,28-28,"1,495",424,0.284
93,Bradley ,52,23-29,"1,418",402,0.283
