Rank,College,G,AB,H,BA
1,Boise St. ,56,"1,582",560,0.354
2,UCLA ,65,"1,742",584,0.335
3,Georgia ,61,"1,609",536,0.333
4,George Washington ,54,"1,504",493,0.328
5,Towson ,61,"1,595",522,0.327
6,South Dakota St. ,55,"1,527",492,0.322
7,Oregon ,63,"1,666",536,0.322
8,Baylor ,56,"1,492",480,0.322
9,Oklahoma ,62,"1,592",511,0.321
10,Illinois ,55,"1,552",493,0.318
11,Massachusetts ,49,"1,338",424,0.317
12,Grand Canyon ,59,"1,648",521,0.316
13,Creighton ,43,"1,120",354,0.316
14,Drexel ,52,"1,432",450,0.314
15,Oklahoma St. ,61,"1,648",517,0.314
16,Gardner-Webb ,58,"1,498",468,0.312
17,Washington ,62,"1,662",517,0.311
18,New Mexico St. ,53,"1,426",443,0.311
19,Nicholls St. ,55,"1,513",470,0.311
20,Nevada ,54,"1,550",481,0.310
21,James Madison ,57,"1,521",470,0.309
22,Kent St. ,52,"1,437",443,0.308
23,Memphis ,58,"1,520",468,0.308
24,Tennessee ,62,"1,658",508,0.306
25,Long Beach St. ,57,"1,591",486,0.305
26,Kentucky ,56,"1,462",445,0.304
27,Columbia ,40,"1,133",343,0.303
28,Louisville ,53,"1,445",437,0.302
29,La.-Monroe ,53,"1,465",443,0.302
30,St. John's ,50,"1,393",420,0.302
31,Michigan ,57,"1,494",450,0.301
32,Middle Tenn. ,61,"1,587",476,0.300
33,Liberty ,63,"1,695",506,0.299
34,LIU Brooklyn ,51,"1,391",415,0.298
35,Penn ,37,"1,019",303,0.297
36,Alabama A&M ,43,"1,115",331,0.297
37,BYU ,58,"1,483",439,0.296
38,Texas A&M ,62,"1,586",469,0.296
39,Hofstra ,55,"1,494",441,0.295
40,Colorado St. ,50,"1,371",404,0.295
41,Texas Southern ,43,"1,144",337,0.295
42,Texas Tech ,59,"1,618",476,0.294
43,Arizona ,59,"1,548",455,0.294
44,Northwestern ,57,"1,517",445,0.293
45,Weber St. ,54,"1,443",422,0.292
46,Bethune-Cookman ,57,"1,524",445,0.292
47,Mississippi St. ,61,"1,621",473,0.292
48,Col. of Charleston ,58,"1,553",453,0.292
49,Kennesaw St. ,56,"1,468",428,0.292
50,Boston U. ,59,"1,612",469,0.291
51,McNeese ,62,"1,585",461,0.291
52,Missouri ,59,"1,574",457,0.290
53,UIC ,54,"1,440",418,0.290
54,Fresno St. ,54,"1,346",389,0.289
55,Cal St. Fullerton ,60,"1,554",449,0.289
56,Florida St. ,70,"1,798",519,0.289
57,UNI ,52,"1,424",411,0.289
58,Alabama St. ,54,"1,390",401,0.288
59,Western Mich. ,54,"1,519",438,0.288
60,Georgia St. ,55,"1,542",444,0.288
61,Minnesota ,58,"1,567",449,0.287
62,UTEP ,54,"1,418",406,0.286
63,Central Mich. ,48,"1,282",367,0.286
64,Bowling Green ,52,"1,373",393,0.286
65,North Carolina ,56,"1,454",416,0.286
66,Louisiana ,57,"1,601",458,0.286
67,Bradley ,50,"1,344",383,0.285
68,Mercer ,52,"1,376",392,0.285
69,Cornell ,40,"1,089",310,0.285
70,Florida ,67,"1,610",458,0.284
71,Chattanooga ,56,"1,467",417,0.284
72,Arizona St. ,61,"1,597",453,0.284
73,South Dakota ,55,"1,454",412,0.283
74,Ohio ,57,"1,550",439,0.283
75,Southeastern La. ,59,"1,547",438,0.283
76,South Fla. ,62,"1,516",429,0.283
77,UC Riverside ,62,"1,568",443,0.283
78,San Jose St. ,49,"1,282",362,0.282
79,Lamar University ,56,"1,495",422,0.282
80,Drake ,57,"1,471",415,0.282
81,Utah Valley ,52,"1,422",401,0.282
82,Harvard ,41,"1,096",309,0.282
83,Eastern Ill. ,56,"1,569",442,0.282
84,Notre Dame ,57,"1,452",409,0.282
85,Longwood ,54,"1,490",419,0.281
85,Auburn ,58,"1,490",419,0.281
87,Villanova ,53,"1,389",390,0.281
88,Sacramento St. ,51,"1,371",384,0.280
89,Texas St. ,59,"1,527",427,0.280
90,Southern U. ,40,"1,023",286,0.280
91,Lipscomb ,50,"1,356",379,0.279
92,Arkansas ,59,"1,554",434,0.279
93,Binghamton ,42,"1,147",320,0.279
94,DePaul ,52,"1,381",385,0.279
95,Youngstown St. ,51,"1,358",378,0.278
96,Seattle U ,56,"1,593",443,0.278
97,Western Ky. ,54,"1,417",394,0.278
98,Saint Joseph's ,49,"1,327",368,0.277
99,USC Upstate ,54,"1,385",384,0.277
100,Northern Ky. ,46,"1,208",334,0.276
101,Kansas ,52,"1,382",382,0.276
102,Ball St. ,56,"1,462",404,0.276
103,Houston ,59,"1,600",442,0.276
104,Quinnipiac ,51,"1,319",364,0.276
105,Charleston So. ,56,"1,403",387,0.276
106,Wichita St. ,55,"1,456",401,0.275
107,Louisiana Tech ,57,"1,426",392,0.275
108,UNLV ,53,"1,412",388,0.275
109,Utah ,50,"1,271",349,0.275
110,UC Santa Barbara ,54,"1,455",399,0.274
111,Stetson ,51,"1,262",346,0.274
112,Eastern Ky. ,66,"1,700",466,0.274
113,Marshall ,55,"1,445",396,0.274
114,Dayton ,56,"1,454",397,0.273
115,Rider ,50,"1,352",369,0.273
116,Prairie View ,43,"1,089",297,0.273
117,UNC Greensboro ,59,"1,522",415,0.273
118,Hartford ,42,"1,108",302,0.273
119,Utah St. ,52,"1,398",381,0.273
120,Alabama ,56,"1,387",378,0.273
121,Fla. Atlantic ,56,"1,543",420,0.272
122,Hampton ,52,"1,330",362,0.272
123,South Carolina ,66,"1,659",451,0.272
124,Pacific ,47,"1,240",337,0.272
125,Charlotte ,50,"1,325",360,0.272
126,Ga. Southern ,53,"1,454",395,0.272
127,North Texas ,52,"1,362",370,0.272
128,Missouri St. ,52,"1,410",383,0.272
129,Fordham ,56,"1,477",401,0.271
130,Princeton ,39,"1,024",278,0.271
131,Tulsa ,59,"1,534",416,0.271
132,Elon ,52,"1,354",367,0.271
133,Northern Ill. ,56,"1,447",392,0.271
134,Savannah St. ,36,943,255,0.270
135,Southern Utah ,47,"1,139",308,0.270
136,California ,56,"1,513",409,0.270
137,Morgan St. ,45,"1,170",316,0.270
138,Bucknell ,51,"1,352",365,0.270
139,Miami ,49,"1,308",353,0.270
140,Appalachian St. ,52,"1,390",375,0.270
141,Brown ,39,"1,031",278,0.270
142,Northern Colo. ,56,"1,458",393,0.270
143,Campbell ,56,"1,447",390,0.270
144,Texas ,59,"1,494",401,0.268
145,Southeast Mo. St. ,53,"1,349",362,0.268
146,Syracuse ,50,"1,327",356,0.268
147,Southern Ill. ,53,"1,421",381,0.268
148,Norfolk St. ,50,"1,310",351,0.268
149,Western Ill. ,48,"1,269",340,0.268
150,Jacksonville St. ,60,"1,641",439,0.268
151,Saint Francis ,58,"1,502",401,0.267
152,Nebraska ,54,"1,396",372,0.266
153,Pittsburgh ,52,"1,355",361,0.266
153,Oakland ,50,"1,355",361,0.266
155,Central Conn. St. ,49,"1,285",342,0.266
156,Northwestern St. ,53,"1,364",363,0.266
157,Michigan St. ,52,"1,342",357,0.266
158,Alcorn ,49,"1,183",314,0.265
159,Duke ,56,"1,512",401,0.265
160,Army West Point ,54,"1,449",384,0.265
161,Austin Peay ,58,"1,529",405,0.265
162,Coppin St. ,40,"1,062",281,0.265
163,Georgetown ,52,"1,372",363,0.265
164,Ohio St. ,52,"1,385",366,0.264
165,Virginia ,53,"1,420",375,0.264
166,Saint Louis ,57,"1,485",392,0.264
167,Central Ark. ,56,"1,425",376,0.264
168,Southern Miss. ,55,"1,437",379,0.264
169,Monmouth ,48,"1,290",340,0.264
170,Samford ,57,"1,485",391,0.263
171,Albany ,48,"1,231",324,0.263
172,CSUN ,59,"1,536",404,0.263
173,Radford ,55,"1,506",396,0.263
174,UMKC ,56,"1,481",389,0.263
175,Buffalo ,47,"1,139",299,0.263
176,Oregon St. ,58,"1,559",409,0.262
177,Troy ,60,"1,620",425,0.262
178,Loyola Marymount ,59,"1,510",396,0.262
179,UT Arlington ,58,"1,556",408,0.262
180,FIU ,55,"1,465",384,0.262
181,UAB ,59,"1,599",419,0.262
182,Stony Brook ,47,"1,206",316,0.262
183,Delaware St. ,48,"1,233",323,0.262
184,Portland St. ,52,"1,354",354,0.261
185,SFA ,55,"1,426",372,0.261
186,Indiana St. ,54,"1,481",386,0.261
187,UT Martin ,57,"1,460",380,0.260
188,LSU ,62,"1,657",431,0.260
189,Wisconsin ,52,"1,296",337,0.260
190,Furman ,56,"1,428",371,0.260
191,Indiana ,56,"1,402",364,0.260
192,SIUE ,46,"1,146",297,0.259
193,Marist ,59,"1,575",408,0.259
194,Toledo ,58,"1,525",394,0.258
195,Rutgers ,50,"1,372",354,0.258
196,San Diego ,52,"1,385",357,0.258
197,Fairfield ,53,"1,382",356,0.258
198,Iowa St. ,56,"1,524",392,0.257
199,Stanford ,55,"1,392",358,0.257
200,Ole Miss ,57,"1,505",387,0.257
201,UCF ,56,"1,399",359,0.257
202,Lehigh ,51,"1,375",352,0.256
203,Sam Houston St. ,57,"1,505",385,0.256
204,Fairleigh Dickinson ,43,"1,076",275,0.256
205,North Dakota St. ,53,"1,335",341,0.255
206,Boston College ,53,"1,405",358,0.255
207,Tennessee Tech ,49,"1,270",323,0.254
208,South Alabama ,56,"1,487",378,0.254
209,Florida A&M ,52,"1,419",360,0.254
210,Omaha ,51,"1,321",335,0.254
211,ETSU ,46,"1,199",304,0.254
212,Jacksonville ,56,"1,386",351,0.253
213,UMass Lowell ,49,"1,299",328,0.253
214,Manhattan ,53,"1,431",361,0.252
215,Jackson St. ,40,945,238,0.252
216,UMBC ,43,"1,125",283,0.252
217,George Mason ,50,"1,344",338,0.251
218,Dartmouth ,40,"1,010",254,0.251
219,FGCU ,56,"1,462",366,0.250
220,Loyola Chicago ,50,"1,283",321,0.250
221,Montana ,55,"1,455",364,0.250
222,UC Davis ,51,"1,348",337,0.250
223,NC State ,54,"1,346",336,0.250
224,Siena ,44,"1,155",288,0.249
225,Ark.-Pine Bluff ,46,"1,161",289,0.249
226,Murray St. ,52,"1,386",345,0.249
227,Yale ,40,"1,078",268,0.249
228,Wagner ,43,"1,115",277,0.248
229,Purdue Fort Wayne ,54,"1,409",350,0.248
230,Abilene Christian ,49,"1,270",315,0.248
231,Detroit Mercy ,44,"1,121",278,0.248
