Rank,College,G,W-L,DP,PG
1,Utah ,55,31-24,46,0.84
2,Illinois ,50,24-26,34,0.68
3,Auburn ,62,42-19-1,38,0.61
4,Monmouth ,43,22-21,26,0.60
5,Austin Peay ,52,20-32,30,0.58
6,Norfolk St. ,46,20-26,25,0.54
7,St. John's ,51,28-23,27,0.53
7,Virginia ,51,8-43,27,0.53
9,Saint Joseph's ,42,22-20,22,0.52
10,Houston ,56,33-23,29,0.52
11,FGCU ,60,33-26-1,31,0.52
12,Fresno St. ,52,31-21,25,0.48
13,Santa Clara ,44,10-34,21,0.48
14,Wright St. ,51,19-32,24,0.47
15,Oklahoma ,64,51-13,30,0.47
16,Iowa ,47,16-30-1,22,0.47
17,Loyola Chicago ,56,25-31,26,0.46
18,New Mexico St. ,54,31-23,25,0.46
19,Massachusetts ,39,16-22-1,18,0.46
20,Lamar University ,50,20-30,23,0.46
21,Belmont ,49,13-36,22,0.45
22,Weber St. ,47,22-25,21,0.45
23,Southern Utah ,54,23-31,24,0.44
24,New Mexico ,52,16-36,23,0.44
25,UNLV ,54,26-28,23,0.43
26,UAB ,59,32-27,25,0.42
27,La.-Monroe ,52,25-27,22,0.42
28,Northern Ill. ,57,26-31,24,0.42
29,Middle Tenn. ,55,10-45,23,0.42
29,Stanford ,55,30-25,23,0.42
31,Florida ,67,55-12,28,0.42
32,Missouri ,61,43-18,25,0.41
33,Bradley ,59,27-32,24,0.41
34,Lafayette ,42,10-32,17,0.40
35,Michigan ,62,47-15,25,0.40
35,Nebraska ,62,44-18,25,0.40
37,Utah Valley ,60,18-42,24,0.40
38,Long Beach St. ,58,39-19,23,0.40
39,Akron ,43,27-16,17,0.40
40,Coastal Caro. ,56,41-15,22,0.39
41,Appalachian St. ,51,19-32,20,0.39
41,Marist ,51,27-24,20,0.39
43,Hofstra ,49,34-15,19,0.39
44,Ball St. ,52,33-19,20,0.38
44,Saint Peter's ,52,10-42,20,0.38
46,Binghamton ,47,22-25,18,0.38
47,Arkansas ,55,27-28,21,0.38
47,Furman ,55,29-26,21,0.38
49,Saint Mary's ,50,23-27,19,0.38
50,South Carolina ,58,36-22,22,0.38
50,Louisville ,58,36-22,22,0.38
52,Canisius ,48,18-30,18,0.38
52,Georgia St. ,56,30-26,21,0.38
54,Colgate ,43,13-30,16,0.37
55,UC Davis ,54,21-33,20,0.37
55,Sam Houston St. ,54,27-27,20,0.37
57,Washington ,52,37-15,19,0.37
58,Western Ky. ,58,33-24-1,21,0.36
58,Texas ,58,35-23,21,0.36
58,Valparaiso ,58,24-34,21,0.36
61,Georgia ,64,49-15,23,0.36
62,UTEP ,51,17-34,18,0.35
62,Saint Louis ,51,30-21,18,0.35
64,NC State ,54,36-18,19,0.35
64,San Jose St. ,54,30-24,19,0.35
66,CSUN ,57,31-26,20,0.35
67,Coppin St. ,40,13-27,14,0.35
68,George Mason ,43,22-21,15,0.35
69,Jacksonville ,49,20-29,17,0.35
69,Seton Hall ,49,15-34,17,0.35
71,Boise St. ,52,30-22,18,0.35
72,Harvard ,44,28-15-1,15,0.34
72,N.C. A&T ,44,16-28,15,0.34
74,Georgia Tech ,47,23-24,16,0.34
75,Hawaii ,50,22-28,17,0.34
76,Indiana St. ,53,27-26,18,0.34
76,Southern Miss. ,53,22-31,18,0.34
76,Winthrop ,53,27-26,18,0.34
79,Fordham ,56,36-20,19,0.34
80,Tennessee Tech ,59,25-34,20,0.34
81,Army West Point ,51,23-28,17,0.33
81,Louisiana ,60,49-10-1,20,0.33
81,James Madison ,60,45-15,20,0.33
81,Fairleigh Dickinson ,42,21-21,14,0.33
81,Liberty ,57,11-46,19,0.33
86,Ohio St. ,55,30-25,18,0.33
87,California ,52,23-29,17,0.33
87,Southern Ill. ,52,28-24,17,0.33
89,North Florida ,49,26-23,16,0.33
90,Samford ,56,38-18,18,0.32
91,SFA ,53,26-27,17,0.32
92,Rider ,47,6-41,15,0.32
93,UCLA ,60,52-8,19,0.32
94,Brown ,38,4-34,12,0.32
94,McNeese ,57,40-17,18,0.32
94,Indiana ,57,17-39-1,18,0.32
97,Notre Dame ,54,41-13,17,0.31
97,Bryant ,54,32-22,17,0.31
97,Troy ,54,22-30-2,17,0.31
100,Evansville ,51,19-32,16,0.31
101,North Dakota ,45,6-39,14,0.31
102,Iowa St. ,55,23-31-1,17,0.31
102,Chattanooga ,55,34-21,17,0.31
102,Jacksonville St. ,55,40-15,17,0.31
105,ETSU ,52,20-32,16,0.31
105,Morehead St. ,52,15-36-1,16,0.31
107,LSU ,62,38-24,19,0.31
108,Tennessee St. ,56,18-38,17,0.30
109,Princeton ,43,17-26,13,0.30
110,Lehigh ,50,30-20,15,0.30
111,BYU ,57,34-23,17,0.30
112,UC Riverside ,54,23-31,16,0.30
112,UC Santa Barbara ,54,34-20,16,0.30
114,Columbia ,44,22-22,13,0.30
115,Charleston So. ,61,27-33-1,18,0.30
116,Western Mich. ,51,17-34,15,0.29
117,Tennessee ,58,46-12,17,0.29
118,Green Bay ,41,27-14,12,0.29
118,Yale ,41,8-33,12,0.29
120,Pacific ,48,20-28,14,0.29
121,Wichita St. ,55,34-21,16,0.29
