Rank,College,G,DP,PG
1,UCLA ,57,45,0.79
2,Utah ,56,41,0.73
3,Murray St. ,55,38,0.69
4,Auburn ,70,40,0.57
5,Indiana St. ,51,29,0.57
6,Boise St. ,52,29,0.56
7,UTEP ,55,30,0.55
7,Northwestern ,55,30,0.55
9,Louisiana Tech ,54,29,0.54
9,Washington ,54,29,0.54
11,Wright St. ,60,32,0.53
11,Central Conn. St. ,45,24,0.53
13,Pacific ,48,25,0.52
14,Northern Ill. ,55,28,0.51
15,South Carolina St. ,30,15,0.50
16,New Mexico St. ,59,29,0.49
17,Wichita St. ,57,28,0.49
18,Northern Colo. ,42,20,0.48
19,Illinois ,59,28,0.47
20,Coppin St. ,36,17,0.47
21,Southeast Mo. St. ,49,23,0.47
22,Oregon ,58,27,0.47
23,Nebraska ,56,26,0.46
23,Weber St. ,56,26,0.46
25,Hampton ,48,22,0.46
26,Binghamton ,49,22,0.45
27,Arkansas ,56,25,0.45
27,CSUN ,56,25,0.45
29,Toledo ,54,24,0.44
29,Florida ,63,28,0.44
29,Middle Tenn. ,54,24,0.44
29,Texas ,54,24,0.44
33,Saint Louis ,52,23,0.44
33,Pittsburgh ,52,23,0.44
35,Rider ,50,22,0.44
36,UNLV ,55,24,0.44
37,Colorado St. ,46,20,0.43
38,Boston College ,53,23,0.43
39,Houston Baptist ,44,19,0.43
40,South Carolina ,61,26,0.43
41,San Diego St. ,52,22,0.42
42,North Carolina ,57,24,0.42
43,CSU Bakersfield ,50,21,0.42
44,Purdue ,55,23,0.42
45,NC State ,56,23,0.41
46,Georgia St. ,61,25,0.41
47,Loyola Chicago ,49,20,0.41
47,Providence ,49,20,0.41
49,Campbell ,59,24,0.41
50,Austin Peay ,47,19,0.40
50,Siena ,47,19,0.40
52,Utah Valley ,52,21,0.40
52,Maryland ,52,21,0.40
54,Western Caro. ,57,23,0.40
55,Tennessee St. ,55,22,0.40
55,Florida St. ,65,26,0.40
55,Sacramento St. ,50,20,0.40
58,Missouri ,58,23,0.40
59,Elon ,51,20,0.39
60,UAB ,59,23,0.39
61,UConn ,52,20,0.38
62,Alabama St. ,55,21,0.38
62,UC Riverside ,55,21,0.38
64,Kansas City ,50,19,0.38
65,Syracuse ,53,20,0.38
66,Bradley ,48,18,0.38
66,UMBC ,56,21,0.38
68,Omaha ,59,22,0.37
68,Texas A&M ,59,22,0.37
70,North Dakota ,54,20,0.37
70,Seton Hall ,54,20,0.37
70,Ball St. ,54,20,0.37
70,Eastern Ky. ,54,20,0.37
74,Arizona St. ,57,21,0.37
74,Lamar University ,57,21,0.37
74,Rutgers ,57,21,0.37
77,Georgia Tech ,55,20,0.36
78,Mercer ,58,21,0.36
79,Illinois St. ,53,19,0.36
80,ETSU ,42,15,0.36
81,Oklahoma ,65,23,0.35
82,Delaware ,51,18,0.35
82,Hartford ,51,18,0.35
84,Missouri St. ,52,18,0.35
85,Fresno St. ,55,19,0.35
85,Texas Tech ,55,19,0.35
87,Col. of Charleston ,58,20,0.34
87,Jacksonville ,58,20,0.34
89,Georgetown ,44,15,0.34
90,UC Davis ,50,17,0.34
90,New Mexico ,50,17,0.34
92,LMU ,53,18,0.34
93,FIU ,56,19,0.34
93,Houston ,56,19,0.34
95,Kent St. ,59,20,0.34
96,Virginia ,51,17,0.33
96,Dartmouth ,42,14,0.33
96,Penn St. ,54,18,0.33
96,Utah St. ,51,17,0.33
96,Jackson St. ,36,12,0.33
101,Cal St. Fullerton ,61,20,0.33
102,Kennesaw St. ,58,19,0.33
102,Southern Miss. ,58,19,0.33
104,San Jose St. ,52,17,0.33
105,UT Arlington ,49,16,0.33
