Rank,College,G,W-L,2B,PG
1,Notre Dame ,54,41-13,107,1.98
2,Louisville ,58,36-22,96,1.66
3,Columbia ,44,22-22,72,1.64
3,DePaul ,55,44-11,90,1.64
5,Colorado St. ,49,32-17,80,1.63
6,Albany ,47,34-13,76,1.62
7,Ball St. ,52,33-19,84,1.62
8,UNI ,48,28-20,77,1.60
9,Stanford ,55,30-25,88,1.60
9,Jacksonville St. ,55,40-15,88,1.60
11,Dayton ,56,27-29,89,1.59
12,Iona ,48,24-24,76,1.58
13,Bryant ,54,32-22,85,1.57
14,Bucknell ,49,23-26,77,1.57
15,Arizona ,60,44-16,94,1.57
16,Nevada ,52,27-25,81,1.56
17,Boston U. ,57,36-21,88,1.54
18,Tennessee ,58,46-12,89,1.53
19,UNC Greensboro ,57,31-26,86,1.51
19,McNeese ,57,40-17,86,1.51
21,Central Ark. ,59,25-34,89,1.51
21,Arizona St. ,59,46-12-1,89,1.51
23,Southern Ill. ,52,28-24,78,1.50
24,USC Upstate ,55,46-9,82,1.49
24,Wichita St. ,55,34-21,82,1.49
26,Syracuse ,49,24-25,73,1.49
27,Wagner ,45,21-24,67,1.49
28,Central Mich. ,56,34-22,83,1.48
29,UNLV ,54,26-28,80,1.48
30,Dartmouth ,50,31-19,74,1.48
31,Texas Southern ,51,31-20,75,1.47
32,Purdue ,56,27-28-1,82,1.46
33,Green Bay ,41,27-14,60,1.46
34,George Washington ,50,18-31-1,73,1.46
35,Alabama St. ,42,17-25,61,1.45
36,Nebraska ,62,44-18,90,1.45
37,South Dakota ,51,29-22,74,1.45
38,Fordham ,56,36-20,81,1.45
39,Northwestern St. ,52,30-22,75,1.44
40,Akron ,43,27-16,62,1.44
41,Virginia Tech ,59,36-23,85,1.44
42,Iowa St. ,55,23-31-1,79,1.44
42,Manhattan ,55,26-29,79,1.44
42,Ohio St. ,55,30-25,79,1.44
45,Stetson ,53,39-14,76,1.43
46,Binghamton ,47,22-25,67,1.43
47,Delaware St. ,52,35-17,74,1.42
47,Boise St. ,52,30-22,74,1.42
49,Florida St. ,64,55-9,90,1.41
50,Auburn ,62,42-19-1,87,1.40
51,Utah ,55,31-24,77,1.40
51,Purdue Fort Wayne ,55,40-15,77,1.40
53,South Carolina ,58,36-22,81,1.40
54,North Dakota St. ,54,36-18,75,1.39
55,Tulsa ,62,53-9,86,1.39
56,Buffalo ,52,30-22,72,1.38
56,Seattle U ,52,18-34,72,1.38
58,Saint Joseph's ,42,22-20,58,1.38
59,Col. of Charleston ,56,40-16,77,1.38
60,Hofstra ,49,34-15,67,1.37
61,Houston Baptist ,50,22-28,68,1.36
62,Minnesota ,56,44-12,76,1.36
63,Michigan ,62,47-15,84,1.35
64,IUPUI ,48,24-24,65,1.35
65,Towson ,54,29-25,73,1.35
65,New Mexico St. ,54,31-23,73,1.35
67,Idaho St. ,55,35-20,74,1.35
68,Georgia ,64,49-15,86,1.34
69,Illinois ,50,24-26,67,1.34
70,Northwestern ,53,35-18,71,1.34
71,Lipscomb ,56,41-15,75,1.34
72,UC Santa Barbara ,54,34-20,72,1.33
73,Texas A&M ,59,37-22,78,1.32
74,Rutgers ,47,28-19,62,1.32
74,South Dakota St. ,47,11-36,62,1.32
76,Cornell ,44,18-26,58,1.32
77,Chattanooga ,55,34-21,72,1.31
78,Louisiana Tech ,52,19-33,68,1.31
79,Saint Francis ,49,26-23,64,1.31
80,Mercer ,56,37-19,73,1.30
81,FIU ,53,33-20,69,1.30
82,James Madison ,60,45-15,78,1.30
83,Kansas ,57,34-23,74,1.30
84,Northern Colo. ,54,20-34,70,1.30
85,Harvard ,44,28-15-1,57,1.30
85,UIC ,44,16-28,57,1.30
87,Saint Louis ,51,30-21,66,1.29
88,Baylor ,65,49-16,84,1.29
89,Siena ,55,29-26,71,1.29
90,UCLA ,60,52-8,77,1.28
91,UMBC ,53,31-22,68,1.28
92,Sacramento St. ,46,25-21,59,1.28
93,Charleston So. ,61,27-33-1,78,1.28
93,Missouri ,61,43-18,78,1.28
95,Quinnipiac ,47,11-36,60,1.28
95,Weber St. ,47,22-25,60,1.28
97,Long Beach St. ,58,39-19,74,1.28
98,UTEP ,51,17-34,65,1.27
99,Missouri St. ,55,28-27,70,1.27
100,North Texas ,53,31-22,67,1.26
101,Colgate ,43,13-30,54,1.26
102,Iowa ,47,16-30-1,59,1.26
103,Cal St. Fullerton ,55,33-21-1,69,1.25
104,Stony Brook ,52,34-18,65,1.25
105,BYU ,57,34-23,71,1.25
105,Northern Ill. ,57,26-31,71,1.25
107,North Dakota ,45,6-39,56,1.24
108,Oregon ,66,56-9-1,82,1.24
109,Lehigh ,50,30-20,62,1.24
110,Monmouth ,43,22-21,53,1.23
111,Washington ,52,37-15,64,1.23
112,Oregon St. ,49,18-31,60,1.22
113,Oklahoma ,64,51-13,78,1.22
114,Savannah St. ,46,25-21,56,1.22
115,Butler ,52,24-28,63,1.21
116,Western Ill. ,48,19-28-1,58,1.21
117,Morgan St. ,29,8-21,35,1.21
117,Western Ky. ,58,33-24-1,70,1.21
119,Santa Clara ,44,10-34,53,1.20
120,Middle Tenn. ,55,10-45,66,1.20
120,Arkansas ,55,27-28,66,1.20
120,Eastern Mich. ,50,13-37,60,1.20
123,Loyola Chicago ,56,25-31,67,1.20
123,Samford ,56,38-18,67,1.20
125,Presbyterian ,52,26-26,62,1.19
126,Charlotte ,49,20-29,58,1.18
127,Miami ,50,22-28,59,1.18
128,CSU Bakersfield ,56,15-40-1,66,1.18
129,Texas Tech ,54,35-19,63,1.17
129,Louisiana ,60,49-10-1,70,1.17
129,San Jose St. ,54,30-24,63,1.17
129,Sam Houston St. ,54,27-27,63,1.17
129,Mississippi St. ,60,39-21,70,1.17
134,Florida ,67,55-12,78,1.16
135,LSU ,62,38-24,72,1.16
136,South Alabama ,56,42-14,65,1.16
136,LIU Brooklyn ,56,22-34,65,1.16
138,Kentucky ,69,50-19,80,1.16
139,Hartford ,38,8-30,44,1.16
140,Winthrop ,53,27-26,61,1.15
141,Georgia Tech ,47,23-24,54,1.15
142,Youngstown St. ,54,30-24,62,1.15
143,North Florida ,49,26-23,56,1.14
143,Seton Hall ,49,15-34,56,1.14
143,Penn ,42,19-22-1,48,1.14
146,Wright St. ,51,19-32,58,1.14
147,Cleveland St. ,44,24-20,50,1.14
148,New Mexico ,52,16-36,59,1.13
149,Central Conn. St. ,45,29-16,51,1.13
150,Massachusetts ,39,16-22-1,44,1.13
151,San Diego ,47,26-21,53,1.13
152,Eastern Ill. ,55,38-17,62,1.13
153,Hampton ,49,29-20,55,1.12
154,Yale ,41,8-33,46,1.12
155,Ohio ,58,32-26,65,1.12
156,St. John's ,51,28-23,57,1.12
156,Eastern Ky. ,51,29-22,57,1.12
158,Drake ,52,19-33,58,1.12
158,La.-Monroe ,52,25-27,58,1.12
160,Boston College ,53,30-23,59,1.11
161,Kent St. ,45,25-20,50,1.11
162,Maryland ,46,11-35,51,1.11
163,Longwood ,56,40-16,62,1.11
164,East Carolina ,48,28-20,53,1.10
165,Texas ,58,35-23,64,1.10
166,Robert Morris ,49,24-25,54,1.10
167,San Diego St. ,59,40-19,65,1.10
168,Coppin St. ,40,13-27,44,1.10
169,Marist ,51,27-24,56,1.10
170,A&M-Corpus Christi ,52,16-36,57,1.10
171,Indiana St. ,53,27-26,58,1.09
172,UT Arlington ,54,21-33,59,1.09
173,Norfolk St. ,46,20-26,50,1.09
174,Valparaiso ,58,24-34,63,1.09
175,Furman ,55,29-26,59,1.07
176,Princeton ,43,17-26,46,1.07
177,Portland St. ,44,8-36,47,1.07
177,N.C. A&T ,44,16-28,47,1.07
179,UAB ,59,32-27,63,1.07
180,UCF ,61,43-18,65,1.07
181,Hawaii ,50,22-28,53,1.06
182,Toledo ,53,19-34,56,1.06
183,NC State ,54,36-18,57,1.06
184,Utah St. ,55,18-37,58,1.05
184,Murray St. ,55,32-23,58,1.05
184,UT Martin ,55,27-27-1,58,1.05
187,Maine ,37,18-19,39,1.05
188,Southeast Mo. St. ,45,11-34,47,1.04
189,Rider ,47,6-41,49,1.04
190,Niagara ,48,18-30,50,1.04
191,Virginia ,51,8-43,53,1.04
192,Austin Peay ,52,20-32,54,1.04
192,Morehead St. ,52,15-36-1,54,1.04
192,Villanova ,52,18-34,54,1.04
192,California ,52,23-29,54,1.04
196,Ole Miss ,53,22-31,55,1.04
196,Southern Miss. ,53,22-31,55,1.04
198,Texas St. ,56,26-30,58,1.04
199,Utah Valley ,60,18-42,62,1.03
200,Grambling ,35,11-24,36,1.03
201,Brown ,38,4-34,39,1.03
202,Loyola Marymount ,47,20-27,48,1.02
203,Georgetown ,48,26-22,49,1.02
203,Canisius ,48,18-30,49,1.02
205,UC Davis ,54,21-33,55,1.02
206,Georgia St. ,56,30-26,57,1.02
206,UMKC ,56,20-36,57,1.02
206,Ga. Southern ,56,35-21,57,1.02
209,Marshall ,59,28-31,60,1.02
209,Tennessee Tech ,59,25-34,60,1.02
211,Oklahoma St. ,54,26-28,54,1.00
211,Kennesaw St. ,53,24-29,53,1.00
211,UTSA ,54,24-30,54,1.00
211,Southeastern La. ,48,19-29,48,1.00
211,SIUE ,53,30-23,53,1.00
211,Saint Mary's ,50,23-27,50,1.00
211,Coastal Caro. ,56,41-15,56,1.00
218,Bethune-Cookman ,56,25-31,55,0.98
219,Fla. Atlantic ,55,33-22,54,0.98
220,UC Riverside ,54,23-31,53,0.98
221,UNCW ,52,18-34,51,0.98
221,Bowling Green ,52,23-28-1,51,0.98
223,Lamar University ,50,20-30,49,0.98
224,Delaware ,48,23-25,47,0.98
225,Fairfield ,42,20-22,41,0.98
225,Fairleigh Dickinson ,42,21-21,41,0.98
227,Holy Cross ,38,12-26,37,0.97
228,Alabama ,66,53-13,64,0.97
229,Bradley ,59,27-32,57,0.97
230,Houston ,56,33-23,54,0.96
231,ETSU ,52,20-32,50,0.96
232,Alcorn ,47,8-39,45,0.96
233,Wisconsin ,56,36-20,53,0.95
234,Elon ,54,24-29-1,51,0.94
235,Evansville ,51,19-32,48,0.94
236,Detroit Mercy ,49,7-42,46,0.94
236,Penn St. ,49,14-35,46,0.94
238,Drexel ,44,17-27,41,0.93
239,Southern Utah ,54,23-31,50,0.93
240,Florida A&M ,53,24-29,49,0.92
241,Cal Poly ,52,33-19,48,0.92
241,Saint Peter's ,52,10-42,48,0.92
243,Belmont ,49,13-36,45,0.92
244,Liberty ,57,11-46,52,0.91
245,George Mason ,43,22-21,39,0.91
246,Nicholls St. ,53,19-34,48,0.91
247,Lafayette ,42,10-32,38,0.90
247,Prairie View ,42,13-29,38,0.90
249,Fresno St. ,52,31-21,47,0.90
250,Pacific ,48,20-28,43,0.90
251,Jackson St. ,57,28-29,51,0.89
252,Temple ,45,15-30,40,0.89
253,Illinois St. ,53,25-28,47,0.89
254,Pittsburgh ,44,15-29,39,0.89
255,Providence ,35,6-29,31,0.89
256,Michigan St. ,49,12-37,43,0.88
257,Memphis ,56,23-33,49,0.88
258,FGCU ,60,33-26-1,52,0.87
259,Army West Point ,51,23-28,44,0.86
259,Appalachian St. ,51,19-32,44,0.86
261,Campbell ,58,31-27,50,0.86
262,La Salle ,42,18-24,36,0.86
262,Jacksonville ,49,20-29,42,0.86
264,CSUN ,57,31-26,48,0.84
265,Creighton ,53,29-24,44,0.83
266,Western Mich. ,51,17-34,42,0.82
267,Oakland ,39,16-23,32,0.82
268,Ark.-Pine Bluff ,46,9-37,37,0.80
269,N.C. Central ,44,9-35,35,0.80
270,UMES ,47,7-40,37,0.79
271,UConn ,51,13-38,40,0.78
272,SFA ,53,26-27,41,0.77
273,Mount St. Mary's ,44,19-24-1,34,0.77
274,South Fla. ,60,43-17,46,0.77
275,Sacred Heart ,42,12-30,32,0.76
276,North Carolina ,50,24-26,38,0.76
277,Howard ,41,4-37,31,0.76
278,Indiana ,57,17-39-1,41,0.72
279,Rhode Island ,46,13-32-1,33,0.72
280,Mississippi Val. ,49,14-35,35,0.71
280,Tennessee St. ,56,18-38,40,0.71
282,St. Bonaventure ,40,7-33,28,0.70
283,Western Caro. ,53,19-34,37,0.70
284,Gardner-Webb ,52,16-36,35,0.67
285,Southern U. ,48,11-37,32,0.67
286,Alabama A&M ,44,11-33,29,0.66
287,Radford ,52,22-30,33,0.63
288,South Carolina St. ,38,10-28,24,0.63
289,Troy ,54,22-30-2,34,0.63
