Rank,College,G,2B,PG
1,Dayton ,56,96,1.71
2,Minnesota ,61,104,1.70
3,Seton Hall ,48,80,1.67
4,Cornell ,42,68,1.62
5,Eastern Ky. ,58,93,1.60
6,George Washington ,52,83,1.60
7,South Dakota ,54,85,1.57
8,Monmouth ,56,87,1.55
9,San Diego St. ,49,76,1.55
10,Providence ,48,74,1.54
11,UCLA ,63,97,1.54
12,SIUE ,54,83,1.54
13,Michigan St. ,58,89,1.53
14,Texas A&M ,60,92,1.53
15,Saint Louis ,50,76,1.52
16,Virginia ,54,82,1.52
17,Syracuse ,50,75,1.50
17,IUPUI ,54,81,1.50
17,James Madison ,60,90,1.50
17,Louisville ,50,75,1.50
21,Michigan ,57,85,1.49
22,New Mexico St. ,54,80,1.48
23,Western Caro. ,48,71,1.48
24,Mount St. Mary's ,51,75,1.47
25,Florida St. ,64,94,1.47
26,Princeton ,45,66,1.47
27,Wichita St. ,52,76,1.46
28,ETSU ,55,80,1.45
29,Jacksonville St. ,53,77,1.45
30,Saint Francis ,61,88,1.44
31,Columbia ,48,69,1.44
32,Arizona ,61,87,1.43
33,Niagara ,45,64,1.42
34,Louisiana Tech ,62,88,1.42
34,Ohio ,62,88,1.42
36,CSUN ,53,75,1.42
37,Oklahoma ,70,99,1.41
38,North Florida ,58,82,1.41
39,Fordham ,63,89,1.41
40,Quinnipiac ,50,70,1.40
41,Ball St. ,58,81,1.40
42,Miami ,53,74,1.40
42,Virginia Tech ,53,74,1.40
44,McNeese ,61,85,1.39
45,Illinois ,59,82,1.39
46,Western Mich. ,54,75,1.39
47,Rhode Island ,44,61,1.39
48,Kennesaw St. ,60,83,1.38
49,Toledo ,58,80,1.38
50,Washington ,64,88,1.38
51,DePaul ,52,71,1.37
52,Colgate ,44,60,1.36
52,Villanova ,55,75,1.36
54,Towson ,50,68,1.36
55,Col. of Charleston ,56,76,1.36
56,Texas ,59,80,1.36
57,Brown ,45,61,1.36
58,St. John's ,48,65,1.35
59,BYU ,60,81,1.35
60,Alcorn ,47,63,1.34
61,Siena ,51,68,1.33
61,Tennessee ,60,80,1.33
63,Idaho St. ,46,61,1.33
64,Utah Valley ,40,53,1.33
65,Marist ,59,78,1.32
66,San Jose St. ,56,74,1.32
67,Nebraska ,53,70,1.32
68,Harvard ,41,54,1.32
69,South Dakota St. ,54,71,1.31
70,Utah St. ,51,67,1.31
