Rank,College,G,W-L,IP,R,ER,ERA
1,South Alabama ,56,42-14,378.2,99,70,1.29
2,Central Conn. St. ,45,29-16,302.2,91,66,1.53
3,Florida St. ,64,55-9,421.2,131,92,1.53
4,Tulsa ,62,53-9,417.0,122,91,1.53
5,USC Upstate ,55,46-9,362.0,96,80,1.55
6,Coastal Caro. ,56,41-15,377.1,109,87,1.61
7,James Madison ,60,45-15,403.1,120,95,1.65
8,Baylor ,65,49-16,442.1,148,113,1.79
9,UCF ,61,43-18,420.2,134,108,1.80
10,Fla. Atlantic ,55,33-22,386.2,133,100,1.81
11,Oregon ,66,56-9-1,430.0,153,112,1.82
12,McNeese ,57,40-17,369.0,134,98,1.86
13,Nebraska ,62,44-18,409.0,153,112,1.92
14,Mount St. Mary's ,44,19-24-1,295.1,131,82,1.94
15,Florida ,67,55-12,435.0,135,122,1.96
16,Chattanooga ,55,34-21,362.0,156,102,1.97
17,Minnesota ,56,44-12,367.2,132,105,2.00
18,UCLA ,60,52-8,393.0,153,114,2.03
19,Michigan ,62,47-15,398.2,151,118,2.07
20,Robert Morris ,49,24-25,329.2,129,98,2.08
21,Ga. Southern ,56,35-21,379.0,138,113,2.09
22,DePaul ,55,44-11,357.2,154,107,2.09
23,South Fla. ,60,43-17,396.2,142,119,2.10
24,Stetson ,53,39-14,357.0,137,108,2.12
25,Delaware St. ,52,35-17,330.1,132,100,2.12
26,Harvard ,44,28-15-1,310.0,132,94,2.12
27,Cal Poly ,52,33-19,368.0,142,112,2.13
28,Arizona St. ,59,46-12-1,382.2,135,117,2.14
29,Purdue Fort Wayne ,55,40-15,364.1,143,112,2.15
30,Alabama ,66,53-13,437.1,160,137,2.19
31,Col. of Charleston ,56,40-16,374.2,151,118,2.20
32,Washington ,52,37-15,320.2,121,101,2.20
33,Hofstra ,49,34-15,319.2,121,101,2.21
34,Kentucky ,69,50-19,485.0,196,155,2.24
35,Georgia ,64,49-15,413.1,160,133,2.25
36,San Diego ,47,26-21,329.2,134,107,2.27
37,Eastern Ill. ,55,38-17,380.1,150,124,2.28
38,Lipscomb ,56,41-15,376.1,153,124,2.31
39,Tennessee ,58,46-12,376.2,157,125,2.32
40,Eastern Ky. ,51,29-22,340.2,143,117,2.40
41,Kent St. ,45,25-20,304.2,147,108,2.48
42,Longwood ,56,40-16,366.0,177,133,2.54
43,San Diego St. ,59,40-19,395.2,197,144,2.55
44,Lehigh ,50,30-20,328.0,148,120,2.56
45,Saint Mary's ,50,23-27,340.2,169,125,2.57
46,UAB ,59,32-27,400.1,178,147,2.57
47,Creighton ,53,29-24,357.1,166,132,2.59
48,Kansas ,57,34-23,378.1,158,140,2.59
48,Samford ,56,38-18,378.1,173,140,2.59
50,Fairleigh Dickinson ,42,21-21,277.1,144,103,2.60
51,Fresno St. ,52,31-21,350.2,166,131,2.62
52,Notre Dame ,54,41-13,358.0,160,134,2.62
53,Bowling Green ,52,23-28-1,349.2,197,132,2.64
