Rank,College,G,IP,R,ER,ERA
1,Oklahoma ,63,399.1,89,80,1.40
2,UCLA ,62,405.0,100,83,1.43
3,Washington ,61,418.2,104,88,1.47
4,Louisiana ,58,374.0,101,79,1.48
5,Liberty ,62,410.0,130,94,1.60
6,Arizona ,62,400.2,120,92,1.61
7,James Madison ,61,389.0,135,92,1.66
8,Minnesota ,60,398.0,123,95,1.67
9,Texas ,63,407.1,131,99,1.70
10,USC Upstate ,56,366.2,122,90,1.72
11,FGCU ,51,357.0,117,88,1.73
12,Boston U. ,57,381.2,146,101,1.85
13,UC Davis ,53,357.2,122,95,1.86
14,Florida St. ,65,412.1,135,110,1.87
15,Florida ,67,456.0,139,122,1.87
16,UCF ,55,380.1,133,102,1.88
17,Northwestern ,60,398.1,136,111,1.95
18,Drake ,59,378.1,128,106,1.96
19,Houston ,58,380.1,146,107,1.97
20,Virginia Tech ,58,368.0,149,104,1.98
21,Arkansas ,58,375.1,183,107,2.00
22,Michigan ,58,388.1,127,111,2.00
23,South Fla. ,60,426.0,141,130,2.14
24,Alabama ,70,473.2,166,145,2.14
25,Wisconsin ,57,375.2,147,118,2.20
26,Tennessee ,60,387.0,137,122,2.21
27,Indiana ,57,384.2,163,122,2.22
28,Nicholls St. ,56,372.2,151,119,2.24
29,Monmouth ,54,353.0,138,114,2.26
30,Ole Miss ,61,404.0,170,132,2.29
31,Ohio St. ,53,351.1,155,115,2.29
32,Chattanooga ,54,362.2,151,121,2.34
33,SFA ,59,410.1,167,137,2.34
34,Seattle U ,57,375.2,173,126,2.35
35,Southern Miss. ,52,343.1,152,116,2.37
36,UNLV ,50,342.2,131,117,2.39
37,LMU ,61,423.2,206,146,2.41
38,Georgia ,61,400.2,175,140,2.45
39,Sam Houston St. ,58,391.1,168,137,2.45
40,Grand Canyon ,57,386.1,186,136,2.46
41,Stony Brook ,51,339.2,155,120,2.47
42,LSU ,62,401.0,175,143,2.50
43,McNeese ,65,459.2,215,166,2.53
44,Miami ,51,354.1,150,129,2.55
45,North Dakota St. ,58,384.2,159,141,2.57
46,Colorado St. ,51,332.1,149,122,2.57
47,San Jose St. ,53,362.2,166,134,2.59
48,Iona ,46,306.1,166,114,2.61
49,Austin Peay ,55,360.0,168,134,2.61
50,Cal St. Fullerton ,56,372.0,160,139,2.62
51,Providence ,52,353.2,167,134,2.65
52,Norfolk St. ,45,304.1,178,116,2.67
53,Auburn ,60,388.0,192,148,2.67
54,Hawaii ,49,327.0,161,125,2.68
55,Notre Dame ,55,352.2,182,135,2.68
56,Marist ,57,383.1,187,147,2.68
57,Western Ky. ,50,327.2,142,126,2.69
58,Southeast Mo. St. ,64,414.0,203,161,2.72
59,Troy ,57,385.1,177,151,2.74
60,North Texas ,54,352.0,193,138,2.74
61,Southeastern La. ,57,392.1,191,154,2.75
62,Oklahoma St. ,62,404.0,182,159,2.75
63,Bucknell ,52,341.0,177,135,2.77
64,Appalachian St. ,56,380.1,183,151,2.78
65,Lipscomb ,58,397.0,184,158,2.79
66,Southern Ill. ,49,334.2,153,134,2.80
67,Tulsa ,57,384.0,204,154,2.81
68,UMBC ,54,349.0,179,140,2.81
69,Ball St. ,54,360.0,201,145,2.82
70,Northwestern St. ,57,374.0,203,151,2.83
71,North Florida ,54,356.0,182,144,2.83
72,Marshall ,64,411.2,201,169,2.87
73,Louisiana Tech ,61,394.0,198,162,2.88
74,George Mason ,48,325.2,185,134,2.88
75,Sacramento St. ,56,386.0,205,159,2.88
76,North Carolina ,58,381.0,185,157,2.88
77,California ,55,364.1,204,152,2.92
78,South Carolina ,57,377.0,195,159,2.95
79,Detroit Mercy ,59,393.1,218,166,2.95
80,Missouri St. ,51,338.1,186,144,2.98
81,Fresno St. ,57,373.0,191,159,2.98
82,Lamar University ,57,381.1,244,163,2.99
83,Massachusetts ,48,323.2,185,140,3.03
84,Texas Tech ,58,379.0,187,164,3.03
85,BYU ,56,360.0,210,156,3.03
86,Long Beach St. ,50,335.0,193,146,3.05
87,Kentucky ,60,385.1,209,170,3.09
88,Longwood ,59,391.0,220,173,3.10
89,Albany ,43,304.0,162,135,3.11
90,Army West Point ,56,370.2,209,165,3.12
91,Belmont ,54,342.2,188,153,3.13
92,UT Martin ,56,360.0,199,161,3.13
93,LIU Brooklyn ,54,358.1,187,161,3.15
94,UConn ,50,326.2,177,147,3.15
95,Penn ,39,257.2,146,116,3.15
96,Coastal Caro. ,60,392.0,204,179,3.20
97,UNC Greensboro ,56,374.1,228,171,3.20
98,Sacred Heart ,55,368.1,222,169,3.21
99,Fairfield ,50,333.1,196,153,3.21
100,Boise St. ,52,337.0,188,155,3.22
101,Houston Baptist ,46,302.2,175,140,3.24
102,Iowa St. ,62,424.0,248,197,3.25
103,Louisville ,58,380.2,229,178,3.27
104,Stanford ,53,347.0,208,163,3.29
105,DePaul ,51,344.2,198,162,3.29
106,UMKC ,56,372.0,244,175,3.29
107,Ohio ,55,365.1,223,172,3.30
108,Holy Cross ,49,340.1,200,161,3.31
109,Wichita St. ,56,371.2,203,176,3.31
110,Missouri ,60,390.2,239,185,3.31
111,Stetson ,47,318.0,233,151,3.32
112,Radford ,59,391.2,237,186,3.32
113,CSUN ,54,358.1,218,171,3.34
114,UNI ,51,337.0,206,161,3.34
115,Youngstown St. ,54,372.0,229,178,3.35
116,Mississippi St. ,58,381.2,248,183,3.36
117,Bethune-Cookman ,57,367.0,234,176,3.36
118,Prairie View ,47,307.1,179,148,3.37
119,Jacksonville St. ,51,342.0,201,165,3.38
120,UT Arlington ,63,432.1,247,210,3.40
121,Kennesaw St. ,55,366.1,237,179,3.42
122,Western Mich. ,46,311.0,218,152,3.42
123,New Mexico St. ,55,362.0,225,177,3.42
124,Eastern Ky. ,57,373.1,218,183,3.43
125,NC State ,58,379.2,235,187,3.45
126,UMass Lowell ,48,322.0,196,159,3.46
127,Duke ,56,381.0,223,189,3.47
128,George Washington ,62,412.1,253,205,3.48
129,Saint Joseph's ,53,344.1,222,172,3.50
129,Jacksonville ,50,344.1,214,172,3.50
131,Mount St. Mary's ,54,341.1,235,171,3.51
132,Penn St. ,56,362.2,253,182,3.51
133,Butler ,48,316.0,199,159,3.52
134,South Dakota St. ,56,371.1,217,187,3.53
135,Oregon St. ,45,291.1,184,147,3.53
136,FIU ,51,342.2,197,173,3.53
137,Texas St. ,54,353.1,209,179,3.55
138,Fla. Atlantic ,50,329.0,234,167,3.55
139,Towson ,54,357.0,232,182,3.57
140,Rhode Island ,46,300.0,211,153,3.57
141,Murray St. ,53,351.1,233,180,3.59
142,Rutgers ,55,355.0,221,182,3.59
143,Alabama A&M ,42,279.2,181,145,3.63
144,Western Ill. ,40,273.1,167,142,3.64
145,Loyola Chicago ,50,323.0,206,168,3.64
146,Southern U. ,35,228.2,162,119,3.64
147,Alabama St. ,49,318.2,243,166,3.65
148,Northern Ky. ,55,381.0,241,199,3.66
149,Central Ark. ,54,347.2,241,182,3.66
