Rank,College,G,W-L,PO,A,E,PCT
1,USC Upstate ,54,42-12,"1,034",276,25,0.981
2,UCLA ,60,40-20,"1,240",439,34,0.980
3,Washington ,62,45-17,"1,212",495,35,0.980
4,Florida ,67,58-9,"1,376",526,40,0.979
5,Ole Miss ,56,25-31,"1,050",319,29,0.979
6,Oklahoma ,61,57-4,"1,161",342,34,0.978
7,South Alabama ,57,48-9,"1,119",412,38,0.976
8,Kansas ,50,34-16,950,258,30,0.976
9,Valparaiso ,62,35-27,"1,253",435,43,0.975
10,Albany ,52,37-15,"1,089",341,37,0.975
11,Tennessee ,64,52-12,"1,258",446,45,0.974
12,Arizona St. ,62,50-12,"1,216",382,43,0.974
13,Texas Southern ,49,33-16,948,350,35,0.974
14,Army West Point ,61,35-26,"1,294",479,49,0.973
15,Stanford ,60,39-21,"1,186",367,43,0.973
16,Hofstra ,59,46-13,"1,156",316,41,0.973
17,Brown ,38,10-28,730,311,29,0.973
18,Louisiana ,62,47-15,"1,188",378,45,0.972
19,South Fla. ,61,45-16,"1,300",442,51,0.972
20,North Carolina ,61,40-21,"1,190",364,46,0.971
21,Texas ,61,51-10,"1,219",359,47,0.971
22,Murray St. ,53,25-28,"1,076",400,44,0.971
23,Notre Dame ,58,43-15,"1,159",349,45,0.971
24,Fresno St. ,54,30-24,"1,080",461,46,0.971
24,Robert Morris ,48,30-17-1,"1,003",404,42,0.971
26,Tulsa ,59,42-16-1,"1,170",428,48,0.971
27,Ga. Southern ,63,33-30,"1,340",454,54,0.971
28,Stony Brook ,60,35-25,"1,247",509,53,0.971
29,NC State ,56,35-20-1,"1,107",512,49,0.971
29,Minnesota ,55,36-19,"1,096",523,49,0.971
31,Cal St. Fullerton ,56,28-28,"1,127",443,48,0.970
32,UTSA ,53,27-26,"1,043",351,43,0.970
33,Eastern Ill. ,50,36-14,"1,006",322,41,0.970
34,Louisville ,60,47-13,"1,149",558,53,0.970
35,Lehigh ,54,37-16-1,"1,104",473,51,0.969
36,McNeese ,53,38-15,"1,070",310,45,0.968
37,Missouri St. ,52,22-30,"1,030",466,49,0.968
38,LSU ,58,42-16,"1,186",368,51,0.968
39,Baylor ,59,42-17,"1,203",332,51,0.968
40,North Texas ,53,29-24,"1,030",382,47,0.968
41,Southern Ill. ,52,25-27,"1,078",419,50,0.968
42,Western Ky. ,61,43-18,"1,212",490,57,0.968
43,Nebraska ,61,45-16,"1,257",586,62,0.967
44,Virginia Tech ,59,38-21,"1,208",476,57,0.967
45,UC Santa Barbara ,55,31-24,"1,110",483,54,0.967
46,Oregon St. ,58,34-24,"1,125",487,55,0.967
47,SIUE ,48,35-13,968,321,44,0.967
48,Temple ,58,32-26,"1,103",463,54,0.967
49,Indiana St. ,50,16-34,975,521,52,0.966
50,Seattle U ,53,20-33,"1,022",443,51,0.966
51,Purdue Fort Wayne ,50,34-16,"1,002",348,47,0.966
52,Penn ,50,30-20,974,399,48,0.966
53,Jacksonville ,52,30-22,"1,066",387,51,0.966
54,Oregon ,61,50-11,"1,190",405,56,0.966
55,BYU ,58,33-25,"1,179",491,59,0.966
56,Arizona ,59,33-26,"1,167",389,55,0.966
57,Kennesaw St. ,54,34-20,"1,086",356,51,0.966
58,San Jose St. ,59,42-17,"1,200",383,56,0.966
58,Texas A&M ,60,42-18,"1,124",459,56,0.966
60,Northwestern St. ,55,40-15,"1,115",438,55,0.966
61,Dartmouth ,46,26-20,950,347,46,0.966
62,California ,57,38-19,"1,150",483,58,0.966
63,Florida St. ,63,44-19,"1,224",460,60,0.966
64,UAB ,58,39-19,"1,221",431,59,0.966
65,Manhattan ,46,21-25,949,388,48,0.965
66,UC Davis ,52,25-27,"1,049",342,50,0.965
67,Rutgers ,56,30-26,"1,107",363,53,0.965
68,FGCU ,54,36-18,"1,117",547,60,0.965
69,Cal Poly ,54,19-34-1,"1,080",500,57,0.965
70,North Florida ,57,42-15,"1,149",538,61,0.965
71,Boston U. ,48,21-26-1,929,453,50,0.965
72,UT Martin ,57,37-20,"1,189",577,64,0.965
73,Saint Louis ,51,28-23,"1,045",554,58,0.965
74,East Carolina ,52,21-31,"1,008",479,54,0.965
75,North Dakota St. ,49,33-16,971,289,46,0.965
