Rank,College,G,PO,A,E,PCT
1,Florida ,67,"1,368",372,24,0.986
2,Oklahoma ,63,"1,198",272,24,0.984
3,Washington ,61,"1,256",384,33,0.980
4,Southern Ill. ,49,"1,004",366,29,0.979
5,UNLV ,50,"1,028",370,30,0.979
6,Michigan ,58,"1,164",324,33,0.978
7,Tennessee ,60,"1,161",334,34,0.978
8,Arizona ,62,"1,202",421,40,0.976
9,Minnesota ,60,"1,194",458,41,0.976
10,Wichita St. ,56,"1,115",449,39,0.976
11,North Dakota St. ,58,"1,154",445,41,0.975
12,Cal St. Fullerton ,56,"1,116",401,39,0.975
13,Western Ky. ,50,983,276,33,0.974
14,LIU Brooklyn ,54,"1,074",487,41,0.974
15,Monmouth ,54,"1,059",457,40,0.974
16,ETSU ,51,983,373,36,0.974
17,South Fla. ,60,"1,278",337,43,0.974
18,USC Upstate ,56,"1,100",327,38,0.974
19,Northwestern ,60,"1,195",328,41,0.974
20,UCLA ,62,"1,215",335,42,0.974
21,Troy ,57,"1,156",280,39,0.974
22,Louisiana ,58,"1,122",416,42,0.973
23,Duke ,56,"1,143",503,45,0.973
24,Florida St. ,65,"1,237",434,46,0.973
25,Drake ,59,"1,135",196,37,0.973
26,Alabama ,70,"1,421",482,54,0.972
27,SFA ,59,"1,231",284,43,0.972
28,Texas Tech ,58,"1,137",393,44,0.972
29,North Carolina ,58,"1,143",456,46,0.972
30,Miami ,51,"1,063",391,42,0.972
31,Sam Houston St. ,58,"1,174",303,43,0.972
32,Fresno St. ,57,"1,119",341,43,0.971
33,Oklahoma St. ,62,"1,211",578,53,0.971
34,South Dakota St. ,56,"1,114",534,49,0.971
35,Coastal Caro. ,60,"1,176",367,46,0.971
36,Louisiana Tech ,61,"1,180",416,48,0.971
37,LSU ,62,"1,203",461,51,0.970
38,Manhattan ,50,970,392,42,0.970
39,UC Davis ,53,"1,073",307,43,0.970
40,Virginia Tech ,58,"1,104",386,47,0.969
41,Appalachian St. ,56,"1,141",486,52,0.969
42,Southern Miss. ,52,"1,030",362,45,0.969
43,Fairleigh Dickinson ,49,958,309,41,0.969
44,UT Arlington ,63,"1,297",463,57,0.969
45,Oregon ,52,997,298,42,0.969
46,McNeese ,65,"1,379",635,66,0.968
47,Wisconsin ,57,"1,127",514,54,0.968
48,FGCU ,51,"1,071",356,47,0.968
49,Auburn ,60,"1,164",474,54,0.968
50,Marist ,57,"1,150",424,52,0.968
51,Kent St. ,54,"1,025",337,45,0.968
52,Brown ,39,776,311,36,0.968
53,Nevada ,56,"1,088",386,49,0.968
54,Iowa St. ,62,"1,272",562,61,0.968
55,Albany ,43,912,317,41,0.968
55,Harvard ,44,857,372,41,0.968
57,DePaul ,51,"1,034",402,48,0.968
58,UT Martin ,56,"1,080",404,50,0.967
59,Lipscomb ,58,"1,191",378,53,0.967
60,Ohio St. ,53,"1,054",453,51,0.967
61,Notre Dame ,55,"1,058",447,51,0.967
62,Grand Canyon ,57,"1,159",522,57,0.967
63,Nicholls St. ,56,"1,118",374,51,0.967
64,Portland St. ,51,"1,031",373,48,0.967
65,Kentucky ,60,"1,156",471,56,0.967
66,Northern Ill. ,52,"1,021",516,53,0.967
67,Samford ,54,"1,079",446,53,0.966
68,Missouri St. ,51,"1,015",450,51,0.966
69,Colorado St. ,51,997,424,50,0.966
70,UTEP ,50,900,378,45,0.966
71,James Madison ,61,"1,167",338,53,0.966
72,Purdue ,63,"1,237",492,61,0.966
73,FIU ,51,"1,028",299,47,0.966
74,Georgia ,61,"1,202",399,57,0.966
75,Hartford ,51,970,432,50,0.966
76,Indiana ,57,"1,154",359,54,0.966
77,Northwestern St. ,57,"1,122",419,55,0.966
78,Southeast Mo. St. ,64,"1,242",380,58,0.965
79,Siena ,47,932,351,46,0.965
80,Texas A&M ,55,"1,085",484,57,0.965
81,UNI ,51,"1,011",440,53,0.965
82,North Florida ,54,"1,068",477,57,0.964
83,Bryant ,45,885,331,45,0.964
84,Western Ill. ,40,820,259,40,0.964
85,George Washington ,62,"1,236",403,61,0.964
86,Missouri ,60,"1,172",493,62,0.964
87,Austin Peay ,55,"1,080",368,54,0.964
88,UCF ,55,"1,141",359,56,0.964
89,Col. of Charleston ,56,"1,115",426,58,0.964
90,Georgia Tech ,58,"1,114",397,57,0.964
91,Liberty ,62,"1,230",413,62,0.964
92,Lehigh ,55,"1,073",331,53,0.964
93,Villanova ,53,"1,023",402,54,0.963
94,Fairfield ,50,"1,000",398,53,0.963
95,UMass Lowell ,48,966,404,52,0.963
96,New Mexico St. ,55,"1,086",357,55,0.963
97,Marshall ,64,"1,235",470,65,0.963
98,Utah ,54,998,515,58,0.963
99,Massachusetts ,48,971,380,52,0.963
100,SIUE ,44,856,260,43,0.963
101,Boise St. ,52,"1,011",387,54,0.963
102,East Carolina ,54,"1,072",454,59,0.963
103,Loyola Chicago ,50,969,479,56,0.963
104,Iowa ,51,983,333,51,0.963
105,UC Riverside ,53,"1,042",403,56,0.963
106,Boston U. ,57,"1,145",428,61,0.963
106,Eastern Ky. ,57,"1,120",453,61,0.963
108,Texas St. ,54,"1,060",356,55,0.963
109,Texas ,63,"1,222",451,65,0.963
110,Hofstra ,47,908,430,52,0.963
111,Stanford ,53,"1,041",374,55,0.963
112,Long Beach St. ,50,"1,005",484,58,0.963
113,Seattle U ,57,"1,127",464,62,0.962
114,Toledo ,57,"1,133",381,59,0.962
115,Arizona St. ,55,"1,009",323,52,0.962
116,CSUN ,54,"1,075",374,57,0.962
117,Charleston So. ,55,"1,083",362,57,0.962
118,Central Mich. ,51,992,351,53,0.962
119,UIC ,55,"1,019",450,58,0.962
120,San Diego St. ,51,"1,031",461,59,0.962
121,Chattanooga ,54,"1,088",435,61,0.961
122,Holy Cross ,49,"1,021",326,54,0.961
123,Valparaiso ,47,888,282,47,0.961
124,Murray St. ,53,"1,054",385,58,0.961
125,Army West Point ,56,"1,112",398,61,0.961
126,Central Conn. St. ,41,838,350,48,0.961
127,Stony Brook ,51,"1,019",385,57,0.961
128,Yale ,43,850,380,50,0.961
129,Kansas ,51,"1,001",422,58,0.961
130,San Jose St. ,53,"1,088",408,61,0.961
131,Houston Baptist ,46,908,384,53,0.961
132,San Diego ,49,932,383,54,0.961
133,Rutgers ,55,"1,065",420,61,0.961
134,Baylor ,49,980,383,56,0.961
135,Princeton ,41,746,224,40,0.960
136,Towson ,54,"1,071",329,58,0.960
137,Northern Colo. ,53,"1,020",421,60,0.960
138,BYU ,56,"1,080",453,64,0.960
139,UConn ,50,980,264,52,0.960
140,La.-Monroe ,56,"1,059",493,65,0.960
141,Santa Clara ,50,991,463,61,0.960
142,Columbia ,45,856,392,53,0.959
143,Penn ,39,773,285,45,0.959
144,South Carolina ,57,"1,131",397,65,0.959
145,Elon ,54,"1,062",392,62,0.959
146,Evansville ,49,939,397,57,0.959
147,Quinnipiac ,50,985,369,58,0.959
148,Belmont ,54,"1,028",372,60,0.959
149,Mississippi St. ,58,"1,145",371,65,0.959
150,UC Santa Barbara ,52,"1,010",363,59,0.959
151,Prairie View ,47,919,312,53,0.959
152,North Texas ,54,"1,056",384,62,0.959
153,Radford ,59,"1,175",380,67,0.959
154,Southeastern La. ,57,"1,177",535,74,0.959
155,Butler ,48,944,298,54,0.958
156,Jacksonville St. ,51,"1,026",376,61,0.958
157,Northern Ky. ,55,"1,143",486,71,0.958
158,Providence ,52,"1,061",450,66,0.958
159,Bucknell ,52,"1,022",420,63,0.958
160,N.C. Central ,49,927,376,57,0.958
161,Ole Miss ,61,"1,212",502,75,0.958
162,Lafayette ,49,938,364,57,0.958
163,Saint Joseph's ,53,"1,033",495,67,0.958
164,UAB ,50,974,367,59,0.958
165,Stetson ,47,954,407,60,0.958
166,Colgate ,52,"1,009",442,64,0.958
167,Utah St. ,47,867,357,54,0.958
168,Indiana St. ,54,"1,050",421,65,0.958
169,Memphis ,55,"1,054",414,65,0.958
170,Sacred Heart ,55,"1,105",381,66,0.957
171,Hawaii ,49,981,527,67,0.957
172,Drexel ,60,"1,166",542,76,0.957
173,NC State ,58,"1,139",365,67,0.957
174,Rider ,54,"1,000",459,65,0.957
175,Tulsa ,57,"1,152",440,71,0.957
176,Cleveland St. ,49,971,418,62,0.957
177,Middle Tenn. ,59,"1,199",414,72,0.957
178,Florida A&M ,53,"1,008",336,60,0.957
179,Youngstown St. ,54,"1,112",341,65,0.957
180,North Dakota ,56,"1,105",589,76,0.957
181,Illinois St. ,51,964,373,60,0.957
182,Weber St. ,48,918,483,63,0.957
183,California ,55,"1,093",396,67,0.957
184,Western Caro. ,53,"1,027",482,68,0.957
185,Louisville ,58,"1,140",435,71,0.957
186,Winthrop ,55,"1,086",332,64,0.957
187,Sacramento St. ,56,"1,158",472,74,0.957
188,Houston ,58,"1,141",482,74,0.956
189,UIW ,48,899,349,57,0.956
190,Syracuse ,53,968,321,59,0.956
191,Bethune-Cookman ,57,"1,101",383,68,0.956
192,Longwood ,59,"1,173",458,75,0.956
193,Detroit Mercy ,59,"1,180",555,80,0.956
194,Pittsburgh ,54,"1,036",426,68,0.956
195,Ga. Southern ,51,"1,024",394,66,0.956
196,UNC Greensboro ,56,"1,123",334,68,0.955
197,St. John's ,48,951,270,57,0.955
198,CSU Bakersfield ,47,935,446,65,0.955
199,Tennessee Tech ,45,890,341,58,0.955
200,Jacksonville ,50,"1,033",410,68,0.955
201,Ohio ,55,"1,096",297,66,0.955
202,Omaha ,47,886,379,60,0.955
203,Georgetown ,49,940,278,58,0.955
204,Maryland ,51,974,469,69,0.954
205,Oakland ,51,"1,013",321,64,0.954
206,Alabama A&M ,42,839,286,54,0.954
207,IUPUI ,56,"1,082",380,71,0.954
208,Central Ark. ,54,"1,048",455,73,0.954
209,Bradley ,50,955,403,66,0.954
210,South Dakota ,61,"1,203",462,81,0.954
211,UNCW ,54,"1,053",486,75,0.954
212,Illinois ,58,"1,142",390,75,0.953
213,Wagner ,44,814,349,57,0.953
214,Michigan St. ,50,945,434,68,0.953
215,Kennesaw St. ,55,"1,099",360,72,0.953
216,Rhode Island ,46,900,305,60,0.953
217,Charlotte ,50,926,369,65,0.952
218,Dartmouth ,40,755,261,51,0.952
219,George Mason ,48,977,317,65,0.952
220,Delaware ,51,"1,003",408,71,0.952
221,Creighton ,44,854,314,59,0.952
222,Mercer ,56,"1,105",340,73,0.952
223,Presbyterian ,53,993,421,72,0.952
224,Delaware St. ,42,785,391,60,0.951
225,Montana ,56,"1,109",418,78,0.951
226,Cornell ,46,827,365,61,0.951
227,Ball St. ,54,"1,080",483,80,0.951
228,Saint Mary's ,51,998,384,71,0.951
229,Seton Hall ,48,951,372,68,0.951
230,Mount St. Mary's ,54,"1,024",439,76,0.951
231,South Alabama ,49,961,384,70,0.951
232,Furman ,51,977,384,71,0.950
233,LMU ,61,"1,271",470,91,0.950
234,Dayton ,51,975,336,69,0.950
235,Niagara ,50,960,344,69,0.950
236,Akron ,46,869,318,63,0.950
237,UMBC ,54,"1,047",304,72,0.949
238,Georgia St. ,54,"1,024",438,78,0.949
239,Campbell ,54,"1,051",424,79,0.949
240,Robert Morris ,51,959,451,76,0.949
241,Saint Louis ,52,976,507,80,0.949
242,Purdue Fort Wayne ,49,947,443,75,0.949
243,UTSA ,52,996,393,75,0.949
244,Lamar University ,57,"1,144",495,89,0.948
245,Cal Poly ,51,996,440,78,0.948
246,Southern Utah ,40,765,336,60,0.948
247,Maine ,41,805,348,63,0.948
248,Howard ,48,919,370,71,0.948
249,UMKC ,56,"1,116",425,85,0.948
250,Western Mich. ,46,933,404,74,0.948
251,Canisius ,45,868,351,68,0.947
252,Idaho St. ,47,930,341,71,0.947
253,Iona ,46,919,367,72,0.947
254,Abilene Christian ,44,852,379,69,0.947
255,Arkansas ,58,"1,126",440,88,0.947
256,Saint Francis ,60,"1,175",461,92,0.947
257,Gardner-Webb ,54,"1,027",323,76,0.947
258,Nebraska ,52,986,376,77,0.946
259,Eastern Ill. ,55,"1,064",488,88,0.946
260,Grambling ,39,716,305,58,0.946
261,Tennessee St. ,42,835,408,71,0.946
262,Mississippi Val. ,39,729,313,60,0.946
263,Texas Southern ,52,"1,011",364,80,0.945
264,Fla. Atlantic ,50,990,451,84,0.945
265,Pacific ,49,942,405,79,0.945
266,Utah Valley ,46,855,371,72,0.945
267,Binghamton ,48,907,265,69,0.944
268,Bowling Green ,51,"1,008",350,80,0.944
269,Norfolk St. ,45,913,435,80,0.944
270,Fordham ,55,"1,060",387,86,0.944
271,Buffalo ,43,811,382,71,0.944
272,New Mexico ,53,952,321,76,0.944
273,Oregon St. ,45,874,327,72,0.943
274,Green Bay ,41,799,329,68,0.943
275,Penn St. ,56,"1,088",322,87,0.942
276,Virginia ,53,975,305,79,0.942
277,St. Bonaventure ,45,824,291,69,0.942
278,Coppin St. ,41,738,243,61,0.941
279,Alabama St. ,49,956,408,85,0.941
280,Saint Peter's ,56,"1,030",411,90,0.941
281,Morgan St. ,46,863,341,76,0.941
282,Savannah St. ,36,709,239,60,0.940
283,A&M-Corpus Christi ,51,923,386,85,0.939
284,Boston College ,53,"1,010",409,94,0.938
285,La Salle ,45,883,352,82,0.938
286,Wright St. ,55,"1,070",482,104,0.937
287,Hampton ,48,901,385,87,0.937
288,Alcorn ,38,729,322,76,0.933
289,Morehead St. ,45,768,299,78,0.932
290,South Carolina St. ,36,548,279,62,0.930
291,Southern U. ,35,686,284,73,0.930
292,Jackson St. ,47,852,409,98,0.928
293,UMES ,39,666,206,71,0.925
294,N.C. A&T ,40,726,336,91,0.921
295,Ark.-Pine Bluff ,38,651,259,92,0.908
