Rank,College,GS,IP,HB
1,Alabama A&M ,2,284,7
2,Southern U. ,0,186,8
3,Pittsburgh ,0,330,9
4,South Carolina St. ,0,159,10
4,Morgan St. ,0,262,10
6,UMBC ,0,358,12
6,Cleveland St. ,0,356,12
8,Quinnipiac ,0,384,13
9,DePaul ,0,333,15
9,Notre Dame ,0,369,15
9,La Salle ,0,284,15
9,ETSU ,0,278,15
13,BYU ,0,378,16
13,Massachusetts ,0,331,16
13,Utah Valley ,0,326,16
13,Virginia Tech ,0,358,16
13,Wright St. ,0,408,16
13,Saint Mary's ,0,321,16
19,Columbia ,0,323,17
19,George Mason ,0,312,17
19,San Diego St. ,0,347,17
19,St. Bonaventure ,0,308,17
19,Oakland ,0,295,17
24,Akron ,0,375,18
24,Colorado St. ,0,308,18
24,Fordham ,0,393,18
24,Chattanooga ,0,390,18
24,New Mexico St. ,0,363,18
24,Radford ,0,412,18
24,Stetson ,0,365,18
24,UMES ,0,256,18
