Rank,College,G,HR,PG
1,Oklahoma ,63,115,1.83
2,Arizona ,62,110,1.77
3,Virginia Tech ,58,97,1.67
4,James Madison ,61,102,1.67
5,Arizona St. ,55,91,1.65
6,Florida St. ,65,105,1.62
7,Coastal Caro. ,60,87,1.45
8,Bradley ,50,68,1.36
9,South Carolina ,57,77,1.35
10,Oklahoma St. ,62,82,1.32
11,Jacksonville St. ,51,65,1.27
12,New Mexico St. ,55,70,1.27
13,Alabama ,70,89,1.27
14,Georgia ,61,77,1.26
15,UCLA ,62,78,1.26
16,Mississippi St. ,58,72,1.24
17,Ohio ,55,68,1.24
18,Colorado St. ,51,63,1.24
19,Marshall ,64,79,1.23
20,Boise St. ,52,64,1.23
21,Minnesota ,60,72,1.20
22,LSU ,62,74,1.19
23,Kentucky ,60,71,1.18
24,UNI ,51,59,1.16
25,Southeast Mo. St. ,64,74,1.16
26,Wisconsin ,57,65,1.14
27,Texas Tech ,58,65,1.12
28,Drexel ,60,67,1.12
29,Ball St. ,54,60,1.11
30,Austin Peay ,55,61,1.11
31,Illinois ,58,64,1.10
32,Saint Francis ,60,66,1.10
32,Auburn ,60,66,1.10
34,NC State ,58,63,1.09
35,South Alabama ,49,53,1.08
36,Ohio St. ,53,57,1.08
37,Missouri ,60,64,1.07
38,Georgia Tech ,58,61,1.05
39,Hawaii ,49,51,1.04
40,UNC Greensboro ,56,58,1.04
41,Utah St. ,47,48,1.02
42,Pittsburgh ,54,55,1.02
43,Louisiana ,58,58,1.00
43,Virginia ,53,53,1.00
45,Rutgers ,55,54,0.98
46,Stony Brook ,51,50,0.98
47,UTEP ,50,49,0.98
47,Western Ky. ,50,49,0.98
49,St. John's ,48,47,0.98
50,Michigan ,58,56,0.97
51,Ga. Southern ,51,49,0.96
52,Northwestern ,60,57,0.95
53,Fordham ,55,52,0.95
54,Villanova ,53,50,0.94
55,Eastern Ky. ,57,53,0.93
56,UIC ,55,51,0.93
56,Notre Dame ,55,51,0.93
58,Wichita St. ,56,51,0.91
58,BYU ,56,51,0.91
60,Southern Ill. ,49,44,0.90
61,Tennessee Tech ,45,40,0.89
62,Creighton ,44,39,0.89
63,DePaul ,51,45,0.88
64,Michigan St. ,50,44,0.88
65,UMass Lowell ,48,42,0.88
65,Penn St. ,56,49,0.88
67,Furman ,51,44,0.86
67,Miami ,51,44,0.86
69,Arkansas ,58,50,0.86
70,Cal St. Fullerton ,56,48,0.86
71,Nebraska ,52,44,0.85
72,Seattle U ,57,48,0.84
73,North Dakota St. ,58,48,0.83
74,Saint Louis ,52,43,0.83
75,Utah Valley ,46,38,0.83
76,Florida ,67,55,0.82
77,Tennessee ,60,49,0.82
78,Elon ,54,44,0.81
78,Samford ,54,44,0.81
80,Oregon ,52,42,0.81
81,South Dakota St. ,56,45,0.80
81,USC Upstate ,56,45,0.80
83,Buffalo ,43,34,0.79
84,Washington ,61,48,0.79
85,Iowa St. ,62,48,0.77
86,Sacramento St. ,56,43,0.77
87,Gardner-Webb ,54,41,0.76
88,Louisiana Tech ,61,46,0.75
89,Campbell ,54,40,0.74
90,Fresno St. ,57,42,0.74
91,Western Caro. ,53,39,0.74
92,Seton Hall ,48,35,0.73
93,Radford ,59,43,0.73
94,Dayton ,51,37,0.73
95,Chattanooga ,54,39,0.72
95,UNCW ,54,39,0.72
97,Rhode Island ,46,33,0.72
97,Houston Baptist ,46,33,0.72
99,Nevada ,56,40,0.71
100,UTSA ,52,37,0.71
101,Columbia ,45,32,0.71
102,George Washington ,62,44,0.71
103,Central Conn. St. ,41,29,0.71
104,Utah ,54,38,0.70
105,Toledo ,57,40,0.70
106,UNLV ,50,35,0.70
107,Louisville ,58,40,0.69
108,Mount St. Mary's ,54,37,0.69
108,North Texas ,54,37,0.69
110,Longwood ,59,40,0.68
111,Cornell ,46,31,0.67
112,South Dakota ,61,41,0.67
113,Monmouth ,54,36,0.67
113,La Salle ,45,30,0.67
115,UMKC ,56,37,0.66
116,Charlotte ,50,33,0.66
117,Ole Miss ,61,40,0.66
118,Sam Houston St. ,58,38,0.66
119,Texas ,63,41,0.65
119,Purdue ,63,41,0.65
121,Dartmouth ,40,26,0.65
122,Grand Canyon ,57,37,0.65
122,Indiana ,57,37,0.65
124,Kent St. ,54,35,0.65
124,Belmont ,54,35,0.65
126,UC Davis ,53,34,0.64
126,New Mexico ,53,34,0.64
128,Long Beach St. ,50,32,0.64
129,Bowling Green ,51,32,0.63
130,Nicholls St. ,56,35,0.63
131,Memphis ,55,34,0.62
132,Northwestern St. ,57,35,0.61
133,Evansville ,49,30,0.61
134,CSUN ,54,33,0.61
134,Towson ,54,33,0.61
136,Western Mich. ,46,28,0.61
136,Akron ,46,28,0.61
138,Illinois St. ,51,31,0.61
138,ETSU ,51,31,0.61
140,Montana ,56,34,0.61
141,Oregon St. ,45,27,0.60
141,Eastern Ill. ,55,33,0.60
141,Kennesaw St. ,55,33,0.60
144,Southern Miss. ,52,31,0.60
144,Colgate ,52,31,0.60
146,Prairie View ,47,28,0.60
147,LMU ,61,36,0.59
148,Grambling ,39,23,0.59
