Rank,College,G,W-L,R,PG
1,Arizona ,60,44-16,450,7.50
2,Auburn ,62,42-19-1,440,7.10
3,Oklahoma ,64,51-13,450,7.03
4,Florida ,67,55-12,463,6.91
5,Idaho St. ,55,35-20,376,6.84
6,Oregon ,66,56-9-1,445,6.74
7,Notre Dame ,54,41-13,361,6.69
8,Texas Southern ,51,31-20,338,6.63
9,Michigan ,62,47-15,407,6.56
10,Northwestern ,53,35-18,347,6.55
11,Arkansas ,55,27-28,359,6.53
12,Louisiana ,60,49-10-1,382,6.37
13,UCLA ,60,52-8,381,6.35
14,Utah ,55,31-24,349,6.35
15,Tennessee ,58,46-12,367,6.33
16,Florida St. ,64,55-9,400,6.25
17,Washington ,52,37-15,321,6.17
18,Arizona St. ,59,46-12-1,362,6.14
19,Jacksonville St. ,55,40-15,333,6.05
20,New Mexico St. ,54,31-23,325,6.02
21,Stanford ,55,30-25,331,6.02
22,Alabama ,66,53-13,397,6.02
23,USC Upstate ,55,46-9,330,6.00
23,Colorado St. ,49,32-17,294,6.00
25,Texas A&M ,59,37-22,352,5.97
26,Tulsa ,62,53-9,368,5.94
27,Georgia ,64,49-15,376,5.88
28,Alabama St. ,42,17-25,245,5.83
29,UNC Greensboro ,57,31-26,331,5.81
30,LSU ,62,38-24,360,5.81
31,Texas ,58,35-23,336,5.79
32,Northwestern St. ,52,30-22,299,5.75
33,Ball St. ,52,33-19,298,5.73
34,Wichita St. ,55,34-21,314,5.71
35,North Dakota St. ,54,36-18,308,5.70
36,Lipscomb ,56,41-15,319,5.70
36,Minnesota ,56,44-12,319,5.70
38,Nebraska ,62,44-18,352,5.68
39,DePaul ,55,44-11,311,5.65
40,Nevada ,52,27-25,290,5.58
41,San Jose St. ,54,30-24,300,5.56
42,Houston ,56,33-23,311,5.55
43,Hofstra ,49,34-15,272,5.55
44,Cal St. Fullerton ,55,33-21-1,303,5.51
45,Iona ,48,24-24,264,5.50
46,Long Beach St. ,58,39-19,318,5.48
47,IUPUI ,48,24-24,263,5.48
48,George Mason ,43,22-21,234,5.44
49,Missouri ,61,43-18,331,5.43
50,Texas Tech ,54,35-19,293,5.43
51,North Carolina ,50,24-26,271,5.42
52,Louisville ,58,36-22,313,5.40
53,Mercer ,56,37-19,302,5.39
54,BYU ,57,34-23,307,5.39
55,South Carolina ,58,36-22,312,5.38
56,South Dakota ,51,29-22,273,5.35
57,Albany ,47,34-13,251,5.34
58,Baylor ,65,49-16,347,5.34
59,East Carolina ,48,28-20,254,5.29
60,Boston U. ,57,36-21,299,5.25
61,McNeese ,57,40-17,298,5.23
62,Samford ,56,38-18,292,5.21
63,Grambling ,35,11-24,182,5.20
64,Delaware St. ,52,35-17,270,5.19
65,Stetson ,53,39-14,275,5.19
66,Southern Ill. ,52,28-24,268,5.15
67,UNLV ,54,26-28,278,5.15
68,North Texas ,53,31-22,272,5.13
69,Fordham ,56,36-20,287,5.13
70,San Diego St. ,59,40-19,301,5.10
71,Coastal Caro. ,56,41-15,285,5.09
72,Northern Colo. ,54,20-34,274,5.07
73,Syracuse ,49,24-25,248,5.06
74,Towson ,54,29-25,273,5.06
75,Georgia St. ,56,30-26,283,5.05
76,FIU ,53,33-20,267,5.04
77,UMBC ,53,31-22,266,5.02
77,Boston College ,53,30-23,266,5.02
79,Dayton ,56,27-29,281,5.02
80,Savannah St. ,46,25-21,229,4.98
81,Southern Utah ,54,23-31,268,4.96
82,Illinois St. ,53,25-28,261,4.92
83,Marist ,51,27-24,251,4.92
84,Houston Baptist ,50,22-28,245,4.90
85,Binghamton ,47,22-25,230,4.89
86,La.-Monroe ,52,25-27,254,4.88
87,Rutgers ,47,28-19,229,4.87
88,Boise St. ,52,30-22,253,4.87
89,Purdue Fort Wayne ,55,40-15,266,4.84
90,Longwood ,56,40-16,270,4.82
91,Marshall ,59,28-31,282,4.78
92,Northern Ill. ,57,26-31,272,4.77
93,Fresno St. ,52,31-21,248,4.77
94,Iowa St. ,55,23-31-1,262,4.76
95,Virginia Tech ,59,36-23,281,4.76
96,Col. of Charleston ,56,40-16,266,4.75
97,Georgia Tech ,47,23-24,222,4.72
98,Bryant ,54,32-22,254,4.70
99,South Fla. ,60,43-17,281,4.68
100,Akron ,43,27-16,201,4.67
101,California ,52,23-29,243,4.67
102,Lehigh ,50,30-20,233,4.66
103,Saint Louis ,51,30-21,237,4.65
104,UNI ,48,28-20,223,4.65
105,Green Bay ,41,27-14,190,4.63
106,UC Santa Barbara ,54,34-20,250,4.63
107,Kentucky ,69,50-19,319,4.62
108,Norfolk St. ,46,20-26,212,4.61
109,Western Ky. ,58,33-24-1,267,4.60
110,Wagner ,45,21-24,207,4.60
111,NC State ,54,36-18,248,4.59
112,Illinois ,50,24-26,228,4.56
113,Ole Miss ,53,22-31,241,4.55
114,Ohio St. ,55,30-25,250,4.55
115,Buffalo ,52,30-22,236,4.54
116,Mississippi St. ,60,39-21,272,4.53
117,UTEP ,51,17-34,231,4.53
118,UIC ,44,16-28,199,4.52
119,Wisconsin ,56,36-20,253,4.52
120,Bucknell ,49,23-26,221,4.51
121,New Mexico ,52,16-36,234,4.50
121,Hawaii ,50,22-28,225,4.50
123,UTSA ,54,24-30,242,4.48
123,Sam Houston St. ,54,27-27,242,4.48
125,Weber St. ,47,22-25,210,4.47
126,Western Ill. ,48,19-28-1,214,4.46
127,Jackson St. ,57,28-29,254,4.46
128,Lamar University ,50,20-30,222,4.44
129,Chattanooga ,55,34-21,244,4.44
130,James Madison ,60,45-15,266,4.43
131,Harvard ,44,28-15-1,195,4.43
132,Bradley ,59,27-32,261,4.42
132,Central Ark. ,59,25-34,261,4.42
134,Hampton ,49,29-20,216,4.41
135,Dartmouth ,50,31-19,219,4.38
136,Saint Francis ,49,26-23,214,4.37
