Rank,College,G,R,PG
1,Oklahoma ,58,487,8.40
2,Louisiana ,54,440,8.15
3,Michigan ,68,540,7.94
4,UCLA ,63,499,7.92
5,Auburn ,67,526,7.85
6,Washington ,59,460,7.80
7,Arizona ,61,461,7.56
8,New Mexico St. ,63,465,7.38
9,Oregon ,59,435,7.37
10,Ohio St. ,52,380,7.31
11,Georgia ,61,440,7.21
12,USC Upstate ,54,388,7.19
13,Georgia St. ,60,419,6.98
14,Minnesota ,60,417,6.95
15,Savannah St. ,39,271,6.95
16,Notre Dame ,57,395,6.93
17,North Carolina ,53,366,6.91
18,Nebraska ,58,400,6.90
19,Missouri ,58,395,6.81
20,Arizona St. ,58,388,6.69
21,Idaho St. ,52,342,6.58
22,Florida ,67,439,6.55
23,LSU ,66,428,6.48
24,North Dakota St. ,56,360,6.43
25,Tennessee ,64,411,6.42
26,Alabama ,63,403,6.40
27,San Jose St. ,56,357,6.38
28,South Dakota ,54,342,6.33
29,Maryland ,54,339,6.28
30,Northwestern ,51,320,6.27
31,Alabama A&M ,43,268,6.23
32,Ball St. ,59,365,6.19
33,UTSA ,54,333,6.17
34,UT Arlington ,55,338,6.15
35,Kansas City ,55,337,6.13
36,Weber St. ,57,349,6.12
37,Illinois ,53,324,6.11
38,Northwestern St. ,54,328,6.07
39,BYU ,54,326,6.04
40,Kansas ,55,331,6.02
41,California ,57,340,5.96
42,James Madison ,58,345,5.95
43,Saint Louis ,54,320,5.93
44,Delaware St. ,44,259,5.89
45,Stony Brook ,47,275,5.85
46,Rutgers ,49,284,5.80
47,Northern Colo. ,43,249,5.79
48,Fresno St. ,56,324,5.79
49,Jacksonville St. ,55,318,5.78
50,Oregon St. ,52,300,5.77
51,Saint Joseph's ,41,236,5.76
52,Mississippi St. ,57,326,5.72
53,Binghamton ,45,257,5.71
54,Texas ,55,314,5.71
55,Tulsa ,54,307,5.69
56,Murray St. ,57,324,5.68
57,Texas Tech ,51,289,5.67
58,Longwood ,59,334,5.66
59,UNC Greensboro ,47,266,5.66
60,Coastal Carolina ,57,320,5.61
61,San Diego St. ,58,324,5.59
62,Fordham ,58,323,5.57
63,Nicholls St. ,48,265,5.52
64,Canisius ,45,248,5.51
65,Ole Miss ,55,303,5.51
66,Mercer ,59,325,5.51
