Rank,College,G,AB,TB,SLG PCT
1,Oklahoma ,61,"1,566",912,0.582
2,Georgia ,61,"1,586",914,0.576
3,Texas A&M ,60,"1,486",850,0.572
4,Arizona St. ,62,"1,682",948,0.564
5,Idaho St. ,52,"1,478",816,0.552
6,Temple ,58,"1,550",832,0.537
7,Louisville ,60,"1,595",855,0.536
8,Longwood ,61,"1,645",877,0.533
9,Louisiana ,62,"1,648",870,0.528
10,Oregon ,61,"1,642",863,0.526
11,UCLA ,60,"1,655",868,0.524
12,USC Upstate ,54,"1,413",722,0.511
13,Tennessee ,64,"1,698",864,0.509
14,Ball St. ,54,"1,554",790,0.508
15,Michigan ,64,"1,693",855,0.505
16,Missouri ,52,"1,359",685,0.504
17,Hawaii ,58,"1,518",765,0.504
18,Alabama ,60,"1,598",802,0.502
19,Kansas ,50,"1,389",697,0.502
20,Florida ,67,"1,726",862,0.499
21,Central Conn. St. ,51,"1,334",663,0.497
22,Notre Dame ,58,"1,550",770,0.497
23,Fordham ,59,"1,603",794,0.495
24,South Alabama ,57,"1,475",726,0.492
25,NC State ,56,"1,499",737,0.492
26,Hofstra ,59,"1,574",771,0.490
27,Campbell ,60,"1,605",778,0.485
28,Northwestern ,53,"1,430",684,0.478
29,Nevada ,53,"1,458",695,0.477
30,Florida St. ,63,"1,618",770,0.476
31,Texas Tech ,56,"1,500",713,0.475
32,Ohio ,57,"1,445",684,0.473
33,Texas ,61,"1,607",760,0.473
34,Washington ,62,"1,600",755,0.472
35,Arkansas ,56,"1,415",665,0.470
36,Binghamton ,47,"1,251",586,0.468
37,Sam Houston St. ,61,"1,739",814,0.468
38,North Carolina ,61,"1,588",738,0.465
39,Prairie View ,42,"1,060",488,0.460
40,Coastal Carolina ,59,"1,506",690,0.458
41,FGCU ,54,"1,442",659,0.457
42,Texas Southern ,49,"1,340",612,0.457
43,James Madison ,59,"1,542",696,0.451
44,Georgia Tech ,55,"1,470",663,0.451
45,South Carolina ,59,"1,596",718,0.450
46,SIUE ,48,"1,272",572,0.450
47,New Mexico St. ,57,"1,518",678,0.447
48,Western Ky. ,61,"1,568",699,0.446
49,Stanford ,60,"1,654",735,0.444
50,Central Ark. ,58,"1,582",702,0.444
51,Maryland ,57,"1,438",638,0.444
52,Wisconsin ,57,"1,529",678,0.443
53,San Diego St. ,56,"1,490",660,0.443
54,Norfolk St. ,53,"1,524",675,0.443
55,Boston College ,52,"1,294",573,0.443
56,Long Beach St. ,57,"1,543",683,0.443
57,Mercer ,53,"1,403",621,0.443
58,Houston ,61,"1,558",688,0.442
59,Princeton ,45,"1,312",579,0.441
60,Lipscomb ,59,"1,557",687,0.441
61,DePaul ,53,"1,452",640,0.441
62,Utah ,55,"1,428",629,0.440
63,South Dakota ,48,"1,350",594,0.440
64,Northwestern St. ,55,"1,472",647,0.440
64,Cornell ,50,"1,472",647,0.440
66,Jacksonville ,52,"1,411",620,0.439
67,Bryant ,43,"1,097",481,0.438
68,Nebraska ,61,"1,649",723,0.438
69,California ,57,"1,507",660,0.438
70,Oregon St. ,58,"1,501",657,0.438
71,Marist ,56,"1,541",674,0.437
72,Dartmouth ,46,"1,307",571,0.437
73,Savannah St. ,50,"1,285",561,0.437
74,Morehead St. ,49,"1,343",586,0.436
75,Boise St. ,52,"1,410",615,0.436
76,Massachusetts ,43,"1,123",489,0.435
77,Arizona ,59,"1,545",672,0.435
78,Creighton ,47,"1,209",525,0.434
79,Winthrop ,57,"1,518",658,0.433
80,Tulsa ,59,"1,615",695,0.430
81,Southeastern La. ,54,"1,408",605,0.430
82,Iowa St. ,55,"1,441",619,0.430
83,UConn ,53,"1,460",627,0.429
84,Charlotte ,50,"1,385",594,0.429
85,Eastern Ky. ,56,"1,526",654,0.429
86,Drake ,49,"1,331",570,0.428
87,Colorado St. ,49,"1,281",548,0.428
88,Illinois St. ,48,"1,314",560,0.426
89,UIC ,45,"1,215",517,0.426
90,Kentucky ,62,"1,608",683,0.425
91,Presbyterian ,53,"1,424",603,0.423
92,Minnesota ,55,"1,328",561,0.422
93,UNC Greensboro ,57,"1,537",649,0.422
94,Mississippi St. ,57,"1,448",611,0.422
95,UT Martin ,57,"1,487",627,0.422
96,Cleveland St. ,49,"1,305",550,0.421
