Rank,College,G,SB,CS,PG
1,Southeastern La. ,55,172,33,3.13
2,Missouri ,58,165,18,2.84
3,Marshall ,56,154,34,2.75
4,Marist ,58,157,25,2.71
5,Morgan St. ,41,100,17,2.44
6,Florida St. ,65,155,22,2.38
7,Kennesaw St. ,58,131,23,2.26
8,UT Martin ,56,125,26,2.23
9,McNeese ,57,124,36,2.18
10,USC Upstate ,58,123,22,2.12
11,Akron ,56,118,31,2.11
12,La.-Monroe ,58,122,26,2.10
13,Stetson ,54,108,31,2.00
13,Ole Miss ,63,126,32,2.00
15,Delaware ,51,101,20,1.98
16,North Dakota St. ,54,106,15,1.96
17,St. Bonaventure ,47,90,21,1.91
18,Seton Hall ,54,101,23,1.87
19,Notre Dame ,56,103,13,1.84
19,Weber St. ,56,103,6,1.84
21,Troy ,56,102,17,1.82
22,North Carolina ,57,102,24,1.79
23,Eastern Ky. ,54,96,23,1.78
24,New Mexico St. ,59,104,27,1.76
25,Florida A&M ,57,98,20,1.72
26,Fairleigh Dickinson ,46,79,35,1.72
27,Ohio ,60,103,32,1.72
28,UIC ,51,87,13,1.71
29,Fla. Atlantic ,60,102,22,1.70
29,UC Davis ,50,85,14,1.70
31,Texas A&M ,59,99,12,1.68
31,Tennessee ,59,99,12,1.68
33,Southern U. ,32,53,16,1.66
34,CSUN ,56,92,17,1.64
35,Bethune-Cookman ,53,87,19,1.64
36,Lamar University ,57,93,24,1.63
37,Idaho St. ,51,83,21,1.63
38,Canisius ,55,86,23,1.56
39,Memphis ,57,89,20,1.56
40,George Washington ,52,81,19,1.56
41,Toledo ,54,84,22,1.56
42,UC Riverside ,55,84,14,1.53
43,Eastern Ill. ,53,80,29,1.51
44,Army West Point ,59,89,24,1.51
45,Illinois ,59,88,24,1.49
46,Middle Tenn. ,54,80,13,1.48
47,North Texas ,55,81,20,1.47
48,Purdue ,55,80,15,1.45
49,Manhattan ,51,73,9,1.43
50,Binghamton ,49,70,19,1.43
51,UNCW ,50,71,19,1.42
52,Alabama ,65,92,14,1.42
53,Longwood ,60,84,25,1.40
54,Cal St. Fullerton ,61,85,20,1.39
55,Radford ,61,84,18,1.38
56,James Madison ,56,77,20,1.38
57,Butler ,52,71,15,1.37
58,Northwestern ,55,75,10,1.36
59,Fordham ,60,81,18,1.35
60,Lipscomb ,55,74,15,1.35
61,Louisiana Tech ,54,71,18,1.31
61,Towson ,54,71,5,1.31
63,Mercer ,58,76,13,1.31
64,Baylor ,59,77,30,1.31
65,SFA ,57,74,9,1.30
