Rank,College,G,App,IP,SO,BB,BB,K/BB
1,Oregon ,63,417.0,537,71,7.56,7.56,
2,Texas St. ,59,414.0,411,67,6.13,6.13,
3,Arizona St. ,61,413.2,455,78,5.83,5.83,
4,Oklahoma ,62,401.0,408,71,5.75,5.75,
5,Florida ,67,426.2,574,114,5.04,5.04,
6,Washington ,62,409.2,470,95,4.95,4.95,
7,Arkansas ,59,388.1,377,88,4.28,4.28,
8,Furman ,56,377.0,404,96,4.21,4.21,
9,Michigan ,57,371.1,393,94,4.18,4.18,
10,North Dakota St. ,53,354.2,402,97,4.14,4.14,
11,Florida St. ,70,463.0,475,127,3.74,3.74,
12,Kennesaw St. ,56,370.2,370,100,3.70,3.70,
13,Austin Peay ,58,392.0,290,79,3.67,3.67,
14,Drake ,57,387.0,454,126,3.60,3.60,
15,UCLA ,65,428.2,478,140,3.41,3.41,
16,Tulsa ,59,384.2,415,124,3.35,3.35,
17,Minnesota ,58,384.0,336,101,3.33,3.33,
18,Liberty ,63,425.1,355,107,3.32,3.32,
19,Auburn ,58,397.1,287,87,3.30,3.30,
20,Radford ,55,375.2,226,69,3.28,3.28,
21,Arizona ,59,385.1,396,122,3.25,3.25,
22,Baylor ,56,368.1,356,110,3.24,3.24,
23,James Madison ,57,380.2,307,95,3.23,3.23,
24,LSU ,62,446.0,392,122,3.21,3.21,
25,Montana ,55,367.2,282,93,3.03,3.03,
26,Hofstra ,55,371.2,318,106,3.00,3.00,
27,California ,56,374.1,381,131,2.91,2.91,
28,Iowa ,53,354.0,319,111,2.87,2.87,
29,Morehead St. ,51,351.0,373,131,2.85,2.85,
30,Ohio ,57,382.2,410,147,2.79,2.79,
31,Evansville ,49,345.0,365,131,2.79,2.79,
32,Houston ,59,420.0,255,93,2.74,2.74,
33,George Mason ,50,334.2,227,83,2.73,2.73,
34,South Fla. ,62,408.0,324,119,2.72,2.72,
35,UMass Lowell ,49,320.1,229,85,2.69,2.69,
36,Georgia ,61,400.0,391,147,2.66,2.66,
37,Sacred Heart ,56,379.1,417,158,2.64,2.64,
38,Saint Francis ,58,381.0,295,112,2.63,2.63,
39,Massachusetts ,49,325.1,279,108,2.58,2.58,
40,Loyola Marymount ,59,403.1,286,112,2.55,2.55,
41,N.C. Central ,46,302.0,335,132,2.54,2.54,
42,Tennessee ,62,409.2,374,148,2.53,2.53,
