Rank,College,G,IP,SO,BB,K/BB
1,Oklahoma ,63,399.1,572,88,6.50
2,Washington ,61,418.2,567,98,5.79
3,UCLA ,62,405.0,502,91,5.52
4,Arkansas ,58,375.1,362,73,4.96
5,Louisiana ,58,374.0,418,97,4.31
6,Drake ,59,378.1,577,134,4.31
7,Minnesota ,60,398.0,476,118,4.03
8,Florida ,67,456.0,524,131,4.00
9,Michigan ,58,388.1,424,107,3.96
10,Austin Peay ,55,360.0,327,83,3.94
11,Ole Miss ,61,404.0,360,92,3.91
12,Tennessee ,60,387.0,426,110,3.87
13,Texas ,63,407.1,420,110,3.82
14,Northwestern ,60,398.1,464,123,3.77
15,Florida St. ,65,412.1,378,101,3.74
16,Western Ill. ,40,273.1,228,61,3.74
17,Arizona ,62,400.2,415,112,3.71
18,Miami ,51,354.1,402,113,3.56
19,Holy Cross ,49,340.1,340,98,3.47
20,UNC Greensboro ,56,374.1,351,103,3.41
21,USC Upstate ,56,366.2,378,111,3.41
22,James Madison ,61,389.0,417,124,3.36
23,Liberty ,62,410.0,342,102,3.35
24,Boston U. ,57,381.2,369,111,3.32
25,Virginia Tech ,58,368.0,359,108,3.32
26,Monmouth ,54,353.0,271,83,3.27
27,Stony Brook ,51,339.2,241,74,3.26
28,Iona ,46,306.1,254,82,3.10
29,LMU ,61,423.2,316,103,3.07
30,Sam Houston St. ,58,391.1,377,126,2.99
31,South Fla. ,60,426.0,379,128,2.96
32,UC Davis ,53,357.2,342,118,2.90
33,George Mason ,48,325.2,237,84,2.82
34,Hawaii ,49,327.0,174,62,2.81
35,Troy ,57,385.1,352,127,2.77
36,Kent St. ,54,341.2,333,128,2.60
37,Penn St. ,56,362.2,310,120,2.58
38,UNLV ,50,342.2,261,103,2.53
39,Bucknell ,52,341.0,227,90,2.52
40,New Mexico St. ,55,362.0,329,134,2.46
41,FGCU ,51,357.0,305,125,2.44
42,Auburn ,60,388.0,349,144,2.42
43,Alabama ,70,473.2,409,170,2.41
44,Seattle U ,57,375.2,283,118,2.40
45,SFA ,59,410.1,455,191,2.38
46,Jacksonville ,50,344.1,262,110,2.38
46,Youngstown St. ,54,372.0,393,165,2.38
48,Belmont ,54,342.2,333,141,2.36
49,Lehigh ,55,357.2,315,134,2.35
50,North Carolina ,58,381.0,319,136,2.35
51,Southern Ill. ,49,334.2,242,104,2.33
52,Nicholls St. ,56,372.2,246,106,2.32
53,Oregon St. ,45,291.1,291,126,2.31
54,Massachusetts ,48,323.2,212,92,2.30
55,Indiana ,57,384.2,419,182,2.30
56,Southern Miss. ,52,343.1,237,103,2.30
57,Louisiana Tech ,61,394.0,288,126,2.29
58,Winthrop ,55,362.0,290,127,2.28
