Rank,College,G,3B,PG
1,Houston Baptist ,42,18,0.43
2,Hampton ,60,22,0.37
3,FGCU ,54,19,0.35
4,Dartmouth ,46,16,0.35
5,Utah ,55,19,0.35
6,Florida St. ,63,21,0.33
7,Florida ,67,22,0.33
8,Colorado St. ,49,16,0.33
9,Western Ill. ,37,12,0.32
10,Northern Colo. ,47,15,0.32
11,Stanford ,60,19,0.32
12,Fresno St. ,54,17,0.31
13,Canisius ,47,14,0.30
14,Lehigh ,54,16,0.30
15,Western Ky. ,61,18,0.30
16,Grambling ,45,13,0.29
17,Lipscomb ,59,17,0.29
18,Northwestern ,53,15,0.28
19,Maryland ,57,16,0.28
20,Fairfield ,50,14,0.28
21,Monmouth ,47,13,0.28
22,East Carolina ,52,14,0.27
23,Tennessee ,64,17,0.27
24,Central Mich. ,53,14,0.26
25,Delaware ,57,15,0.26
26,Alabama St. ,47,12,0.26
27,Mississippi Val. ,55,14,0.25
28,Illinois St. ,48,12,0.25
28,Cal St. Fullerton ,56,14,0.25
28,Idaho St. ,52,13,0.25
31,Georgia ,61,15,0.25
32,South Alabama ,57,14,0.25
33,Toledo ,53,13,0.25
34,Texas Southern ,49,12,0.24
35,San Jose St. ,59,14,0.24
35,Tulsa ,59,14,0.24
37,Northwestern St. ,55,13,0.24
38,UMES ,47,11,0.23
39,Massachusetts ,43,10,0.23
40,San Diego St. ,56,13,0.23
41,Longwood ,61,14,0.23
42,UT Martin ,57,13,0.23
43,Sacramento St. ,44,10,0.23
44,Mercer ,53,12,0.23
44,San Diego ,53,12,0.23
46,Oakland ,31,7,0.23
47,IUPUI ,49,11,0.22
48,Southeastern La. ,54,12,0.22
49,Belmont ,50,11,0.22
50,UC Riverside ,55,12,0.22
50,Georgia Tech ,55,12,0.22
52,Bucknell ,51,11,0.22
53,Texas ,61,13,0.21
54,Coppin St. ,43,9,0.21
55,Austin Peay ,44,9,0.20
56,USC Upstate ,54,11,0.20
56,Iowa ,54,11,0.20
58,Baylor ,59,12,0.20
59,Michigan ,64,13,0.20
60,Louisville ,60,12,0.20
60,Kansas ,50,10,0.20
60,Utah Valley ,55,11,0.20
60,Campbell ,60,12,0.20
60,UCLA ,60,12,0.20
60,Eastern Ill. ,50,10,0.20
66,LIU ,57,11,0.19
66,Jackson St. ,57,11,0.19
68,Notre Dame ,58,11,0.19
68,Oregon St. ,58,11,0.19
70,Green Bay ,37,7,0.19
71,Saint Joseph's ,48,9,0.19
72,Virginia Tech ,59,11,0.19
72,Hofstra ,59,11,0.19
74,Morgan St. ,43,8,0.19
74,South Carolina St. ,43,8,0.19
76,Delaware St. ,54,10,0.19
76,La.-Monroe ,54,10,0.19
78,North Dakota St. ,49,9,0.18
79,Alabama ,60,11,0.18
80,UC Santa Barbara ,55,10,0.18
80,Minnesota ,55,10,0.18
82,Washington ,62,11,0.18
83,Bowling Green ,51,9,0.18
84,UNC Greensboro ,57,10,0.18
85,Northern Ill. ,58,10,0.17
85,Hawaii ,58,10,0.17
87,Auburn ,53,9,0.17
87,UTSA ,53,9,0.17
87,Norfolk St. ,53,9,0.17
87,UConn ,53,9,0.17
91,South Carolina ,59,10,0.17
91,Lamar University ,59,10,0.17
93,Boston U. ,48,8,0.17
93,Howard ,36,6,0.17
93,Nicholls St. ,48,8,0.17
96,Georgia St. ,55,9,0.16
97,Michigan St. ,49,8,0.16
97,Tennessee St. ,49,8,0.16
97,Cleveland St. ,49,8,0.16
97,Illinois ,49,8,0.16
101,New Mexico ,56,9,0.16
101,Arkansas ,56,9,0.16
101,Ole Miss ,56,9,0.16
101,Wright St. ,56,9,0.16
105,George Washington ,50,8,0.16
105,Penn ,50,8,0.16
107,Harvard ,44,7,0.16
