Rank,College,G,W-L,3B,PG
1,Utah ,55,31-24,27,0.49
2,Texas ,58,35-23,21,0.36
3,Tulsa ,62,53-9,21,0.34
4,Kent St. ,45,25-20,15,0.33
4,Northern Ill. ,57,26-31,19,0.33
6,Penn St. ,49,14-35,16,0.33
7,George Mason ,43,22-21,14,0.33
8,Lehigh ,50,30-20,16,0.32
9,South Dakota ,51,29-22,16,0.31
10,Stanford ,55,30-25,17,0.31
11,Fresno St. ,52,31-21,16,0.31
12,Oregon ,66,56-9-1,20,0.30
13,Northwestern ,53,35-18,16,0.30
14,Houston Baptist ,50,22-28,15,0.30
15,Boston U. ,57,36-21,17,0.30
16,Binghamton ,47,22-25,14,0.30
17,Texas Tech ,54,35-19,16,0.30
18,Eastern Ill. ,55,38-17,16,0.29
19,Oregon St. ,49,18-31,14,0.29
20,Sacramento St. ,46,25-21,13,0.28
21,LSU ,62,38-24,17,0.27
22,Missouri St. ,55,28-27,15,0.27
22,Alabama A&M ,44,11-33,12,0.27
24,Green Bay ,41,27-14,11,0.27
25,Colorado St. ,49,32-17,13,0.27
25,Hofstra ,49,34-15,13,0.27
27,Alabama ,66,53-13,17,0.26
28,Grambling ,35,11-24,9,0.26
29,Weber St. ,47,22-25,12,0.26
30,Murray St. ,55,32-23,14,0.25
30,Arkansas ,55,27-28,14,0.25
30,DePaul ,55,44-11,14,0.25
33,Cal Poly ,52,33-19,13,0.25
33,Coppin St. ,40,13-27,10,0.25
35,North Texas ,53,31-22,13,0.25
35,FIU ,53,33-20,13,0.25
37,Hampton ,49,29-20,12,0.24
38,Morgan St. ,29,8-21,7,0.24
39,UC Santa Barbara ,54,34-20,13,0.24
40,Prairie View ,42,13-29,10,0.24
40,Alabama St. ,42,17-25,10,0.24
42,Utah St. ,55,18-37,13,0.24
42,Fla. Atlantic ,55,33-22,13,0.24
42,Jacksonville St. ,55,40-15,13,0.24
45,Wright St. ,51,19-32,12,0.24
46,Iowa ,47,16-30-1,11,0.23
47,Col. of Charleston ,56,40-16,13,0.23
47,Minnesota ,56,44-12,13,0.23
49,New Mexico ,52,16-36,12,0.23
49,Buffalo ,52,30-22,12,0.23
49,Ball St. ,52,33-19,12,0.23
49,Oakland ,39,16-23,9,0.23
53,McNeese ,57,40-17,13,0.23
54,South Carolina ,58,36-22,13,0.22
55,Notre Dame ,54,41-13,12,0.22
56,San Diego St. ,59,40-19,13,0.22
56,Central Ark. ,59,25-34,13,0.22
58,Illinois ,50,24-26,11,0.22
59,Idaho St. ,55,35-20,12,0.22
60,Maryland ,46,11-35,10,0.22
61,South Alabama ,56,42-14,12,0.21
62,UMES ,47,7-40,10,0.21
62,Georgia Tech ,47,23-24,10,0.21
64,Monmouth ,43,22-21,9,0.21
65,East Carolina ,48,28-20,10,0.21
65,Pacific ,48,20-28,10,0.21
67,Long Beach St. ,58,39-19,12,0.21
68,Massachusetts ,39,16-22-1,8,0.21
69,UIC ,44,16-28,9,0.20
70,Mississippi Val. ,49,14-35,10,0.20
70,Belmont ,49,13-36,10,0.20
70,Saint Francis ,49,26-23,10,0.20
73,Florida St. ,64,55-9,13,0.20
74,FGCU ,60,33-26-1,12,0.20
75,UCF ,61,43-18,12,0.20
76,Georgia St. ,56,30-26,11,0.20
77,Army West Point ,51,23-28,10,0.20
78,Florida ,67,55-12,13,0.19
