Rank,College,W,L,T,PCT
1,Oklahoma ,57,6,0,0.905
2,UCLA ,56,6,0,0.903
3,Louisiana ,52,6,0,0.897
4,Alabama ,60,10,0,0.857
5,Washington ,52,9,0,0.852
6,Florida St. ,55,10,0,0.846
7,James Madison ,51,10,0,0.836
8,Virginia Tech ,47,11,0,0.810
9,Northwestern ,47,13,0,0.783
10,Michigan ,45,13,0,0.776
11,Arizona ,48,14,0,0.774
12,Minnesota ,46,14,0,0.767
13,Colorado St. ,39,12,0,0.765
14,Wisconsin ,43,14,0,0.754
15,Western Ky. ,37,13,0,0.740
16,Louisiana Tech ,45,16,0,0.738
17,UC Davis ,39,14,0,0.736
18,Lipscomb ,42,15,1,0.733
19,USC Upstate ,41,15,0,0.732
20,Florida ,49,18,0,0.731
21,Texas ,46,17,0,0.730
22,Drake ,43,16,0,0.729
23,Oklahoma St. ,45,17,0,0.726
24,Texas Tech ,42,16,0,0.724
24,North Dakota St. ,42,16,0,0.724
26,UNLV ,36,14,0,0.720
27,Southeast Mo. St. ,46,18,0,0.719
28,Tennessee ,43,17,0,0.717
29,George Washington ,44,18,0,0.710
30,Jacksonville St. ,36,15,0,0.706
31,Seattle U ,40,17,0,0.702
32,San Jose St. ,37,16,0,0.698
33,Southern Ill. ,34,15,0,0.694
34,LSU ,43,19,0,0.694
35,Boise St. ,36,16,0,0.692
36,Georgia ,42,19,0,0.689
37,DePaul ,35,16,0,0.686
37,Miami ,35,16,0,0.686
39,Chattanooga ,37,17,0,0.685
40,South Fla. ,41,19,0,0.683
41,Cal St. Fullerton ,38,18,0,0.679
42,Hawaii ,33,16,0,0.673
43,Notre Dame ,37,18,0,0.673
44,Houston ,39,19,0,0.672
45,Ole Miss ,41,20,0,0.672
46,South Carolina ,38,19,0,0.667
46,LIU Brooklyn ,36,18,0,0.667
46,Monmouth ,36,18,0,0.667
49,South Dakota St. ,37,19,0,0.661
50,Ohio St. ,35,18,0,0.660
51,Marshall ,42,22,0,0.656
52,LMU ,40,21,0,0.656
53,Arkansas ,38,20,0,0.655
53,North Carolina ,38,20,0,0.655
55,Auburn ,39,21,0,0.650
55,Coastal Caro. ,39,21,0,0.650
57,Boston U. ,37,20,0,0.649
57,Fresno St. ,37,20,0,0.649
57,Tulsa ,37,20,0,0.649
57,Troy ,37,20,0,0.649
61,North Texas ,35,19,0,0.648
62,Liberty ,40,22,0,0.645
63,Prairie View ,30,17,0,0.638
64,Arizona St. ,35,20,0,0.636
65,Indiana ,36,21,0,0.632
66,Ball St. ,34,20,0,0.630
67,Stony Brook ,32,19,0,0.627
68,Longwood ,37,22,0,0.627
69,Stanford ,33,20,0,0.623
70,Elon ,33,20,1,0.620
71,Ohio ,34,21,0,0.618
71,UCF ,34,21,0,0.618
73,Eastern Ky. ,35,22,0,0.614
73,Marist ,35,22,0,0.614
75,SFA ,36,23,0,0.610
