Ranking,College,Conference,Record,Road,Neutral,Home,Non-Div-I
1,Florida,Southeastern,60-7-0,13-3-0,18-2-0,29-2-0,0-0-0
2,LSU,Southeastern,52-14-0,7-7-0,7-2-0,38-5-0,0-0-0
3,Auburn,Southeastern,56-11-0,12-5-0,14-3-0,30-3-0,0-0-0
4,Michigan,Big Ten,60-8-0,20-1-0,21-5-0,19-2-0,0-0-0
5,Oregon,Pac-12,51-8-0,15-3-0,15-4-0,21-1-0,0-0-0
6,Alabama,Southeastern,48-15-0,14-4-0,11-3-0,23-8-0,0-0-0
7,UCLA,Pac-12,51-12-0,10-4-0,14-4-0,27-4-0,0-0-0
8,Florida St.,Atlantic Coast,49-14-0,15-5-0,10-2-0,24-7-0,0-0-0
9,Tennessee,Southeastern,47-17-0,11-6-0,11-6-0,25-5-0,0-0-0
10,La.-Lafayette,Sun Belt,42-12-0,10-7-0,2-3-0,30-2-0,0-0-0
11,Missouri,Southeastern,42-16-0,12-6-0,15-4-0,15-6-0,0-0-0
12,Oklahoma,Big 12,49-9-0,15-5-0,12-2-0,22-2-0,0-0-0
13,James Madison,Colonial,48-10-0,14-2-0,11-3-0,23-5-0,0-0-0
14,Georgia,Southeastern,44-17-0,9-6-0,8-3-0,27-8-0,0-0-0
15,Arizona,Pac-12,41-20-0,9-8-0,5-6-0,27-6-0,0-0-0
16,UCF,AAC,50-9-0,14-4-0,7-1-0,29-4-0,0-0-0
17,Hofstra,Colonial,38-14-1,14-7-1,9-3-0,15-4-0,0-0-0
18,Baylor,Big 12,41-17-0,10-9-0,11-3-0,20-5-0,0-0-0
19,Minnesota,Big Ten,49-11-0,20-3-0,17-5-0,12-3-0,0-0-0
20,Arizona St.,Pac-12,36-22-0,10-9-0,4-1-0,22-12-0,0-0-0
21,Texas A&M,Southeastern,40-20-0,4-12-0,9-2-0,27-6-0,0-0-0
22,Kentucky,Southeastern,32-26-0,9-15-0,11-2-0,12-9-0,0-0-0
23,California,Pac-12,39-18-0,6-11-0,19-2-0,14-5-0,0-0-0
24,Kansas,Big 12,40-15-0,12-6-0,18-1-0,10-8-0,0-0-0
25,Notre Dame,Atlantic Coast,42-15-0,12-8-0,10-4-0,20-3-0,0-0-0
26,Washington,Pac-12,42-17-0,13-9-0,14-4-0,15-4-0,0-0-0
27,Utah,Pac-12,36-19-0,13-9-0,16-4-0,7-6-0,0-0-0
28,South Ala.,Sun Belt,40-13-0,12-6-0,11-2-0,17-5-0,0-0-0
29,North Carolina St.,Atlantic Coast,38-22-0,19-15-0,10-1-0,9-6-0,0-0-0
30,Western Ky.,Conference USA,36-14-0,16-10-0,11-2-0,9-2-0,0-0-0
31,Texas,Big 12,38-17-0,13-5-0,7-6-0,18-6-0,0-0-0
32,South Carolina,Southeastern,38-22-0,7-9-0,8-5-0,23-8-0,0-0-0
33,North Dakota St.,Summit,45-11-0,18-8-0,16-2-0,11-1-0,0-0-0
34,Mississippi St.,Southeastern,36-21-0,12-7-0,4-4-0,20-10-0,0-0-0
35,Fla. Atlantic,Conference USA,39-19-1,7-8-0,7-3-0,25-8-1,0-0-0
36,North Carolina,Atlantic Coast,37-16-0,8-9-0,8-5-0,21-2-0,0-0-0
37,Northwestern,Big Ten,28-23-0,8-10-0,9-11-0,11-2-0,0-0-0
38,San Diego St.,Mountain West,38-20-0,12-3-0,9-8-0,17-9-0,0-0-0
39,USC Upstate,Atlantic Sun,44-10-0,12-5-0,5-2-0,27-3-0,0-0-0
40,Georgia St.,Sun Belt,38-22-0,10-11-0,12-3-0,16-8-0,0-0-0
41,Nebraska,Big Ten,35-23-0,11-9-0,13-8-0,11-6-0,0-0-0
42,Chattanooga,Southern,35-15-0,9-5-0,16-8-0,10-2-0,0-0-0
43,New Mexico St.,Western Athletic,47-16-0,9-2-0,12-4-0,26-10-0,0-0-0
44,Fordham,Atlantic 10,38-20-0,12-5-0,13-12-0,13-3-0,0-0-0
45,Fresno St.,Mountain West,40-16-0,11-2-0,9-8-0,20-6-0,0-0-0
46,Pittsburgh,Atlantic Coast,37-22-0,11-8-0,19-5-0,7-9-0,0-0-0
47,Virginia Tech,Atlantic Coast,34-23-0,12-12-0,12-3-0,10-8-0,0-0-0
48,UAB,Conference USA,32-19-0,6-11-0,13-5-0,13-3-0,0-0-0
49,SIUE,OVC,43-16-0,12-8-0,15-2-0,16-6-0,0-0-0
50,Louisville,Atlantic Coast,30-19-0,10-6-0,5-7-0,15-6-0,0-0-0
51,CSUN,Big West,41-17-0,16-6-0,10-6-0,15-5-0,0-0-0
