Rank,College,Year
1,UCLA,2019
2,Oklahoma,2019
3,Washington,2019
3,Alabama,2019
5,Oklahoma State,2019
5,Arizona,2019
7,Minnesota,2019
7,Florida,2019
9,Northwestern,2019
9,Texas,2019
9,Tennessee,2019
9,Florida State,2019
9,James Madison,2019
9,LSU,2019
9,Ole Miss,2019
9,Kentucky,2019
17,Wisconsin,2019
17,Louisville,2019
17,Houston,2019
17,Arizona State,2019
17,Boise State,2019
17,Tulsa,2019
17,South Carolina,2019
17,Mississippi State,2019
17,Virginia Tech,2019
17,Louisiana,2019
17,Auburn,2019
17,Georgia,2019
17,Texas Tech,2019
17,Michigan,2019
17,Missouri,2019
17,North Carolina,2019
33,Notre Dame,2019
33,Southern Illinois,2019
33,Sam Houston State,2019
33,Lipscomb,2019
33,Stanford,2019
33,Ohio State,2019
33,BYU,2019
33,South Florida,2019
33,Seattle U,2019
33,Illinois,2019
33,Southern Missouri State,2019
33,Colorado State,2019
33,Drake,2019
33,Louisiana Tech,2019
33,DePaul,2019
33,Weber State,2019
49,CSU Fullerton,2019
49,St. Francis (Pa),2019
49,Monmouth,2019
49,North Dakota State,2019
49,Harvard,2019
49,Chattanooga,2019
49,Toledo,2019
49,Fordham,2019
49,Bethune-Cookman,2019
49,Arkansas,2019
49,Longwood,2019
49,Boston U,2019
49,Alabama State,2019
49,Texas A&M,2019
49,Detroit Mercy,2019
49,UMBC,2019
1,Florida,2015
2,Michigan,2015
3,LSU,2015
3,Auburn,2015
5,UCLA,2015
5,Alabama,2015
7,Oregon,2015
7,Tennessee,2015
9,NC State,2015
9,Missouri,2015
9,Oklahoma,2015
9,Georgia,2015
9,ULL,2015
9,Arizona,2015
9,Florida State,2015
9,Kentucky,2015
17,Notre Dame,2015
17,Florida Atlantic,2015
17,UCF,2015
17,Utah,2015
17,Arizona State,2015
17,Minnesota,2015
17,Baylor,2015
17,South Alabama,2015
17,WKU,2015
17,Pittsburgh,2015
17,Texas A&M,2015
17,Washington,2015
17,San Diego State,2015
17,Kansas,2015
17,North Dakota State,2015
17,Fordham,2015
33,Hofstra,2015
33,Ball State,2015
33,South Carolina,2015
33,Longwood,2015
33,Nebraska,2015
33,New Mexico State,2015
33,Mississippi State,2015
33,Tennessee Tech,2015
33,California,2015
33,North Carolina,2015
33,Lehigh,2015
33,USC Upstate,2015
33,Texas,2015
33,Indiana State,2015
33,James Madison,2015
33,BYU,2015
49,Binghamton,2015
49,Fresno State,2015
49,Louisville,2015
49,Cal State Northridge,2015
49,Fairfield,2015
49,Central Arkansas,2015
49,Central Connecticut,2015
49,Oakland,2015
49,Chattanooga,2015
49,Weber State,2015
49,St. Johns,2015
49,Texas Southern,2015
49,Virginia Tech,2015
49,Dartmouth,2015
49,Northwestern,2015
49,Florida A&M,2015
1,Oklahoma,2016
2,Auburn,2016
3,LSU,2016
3,Florida State,2016
5,Michigan,2016
5,Georgia,2016
7,Alabama,2016
7,UCLA,2016
9,Florida,2016
9,Utah,2016
9,Oregon,2016
9,Arizona,2016
9,ULL,2016
9,Washington,2016
9,James Madison,2016
9,Missouri,2016
17,Notre Dame,2016
17,Nebraska,2016
17,Arizona State,2016
17,Longwood,2016
17,California,2016
17,Minnesota,2016
17,Texas A&M,2016
17,Ole Miss,2016
17,Jacksonville State,2016
17,Tennessee,2016
17,Cal State Fullerton,2016
17,Baylor,2016
17,South Carolina,2016
17,Kentucky,2016
