Rank,College,G,W-L,AB,H,BA
1,Notre Dame ,54,41-13,"1,491",533,0.357
2,Arizona ,60,44-16,"1,530",536,0.350
3,Oregon ,66,56-9-1,"1,765",604,0.342
4,Idaho St. ,55,35-20,"1,555",532,0.342
5,Michigan ,62,47-15,"1,699",578,0.340
6,Texas Southern ,51,31-20,"1,376",460,0.334
7,Texas ,58,35-23,"1,552",517,0.333
8,Northwestern ,53,35-18,"1,411",468,0.332
9,UCLA ,60,52-8,"1,487",485,0.326
10,Tulsa ,62,53-9,"1,702",553,0.325
11,Iowa St. ,55,23-31-1,"1,466",476,0.325
12,USC Upstate ,55,46-9,"1,495",484,0.324
13,Ball St. ,52,33-19,"1,401",451,0.322
14,Arizona St. ,59,46-12-1,"1,530",492,0.322
15,Washington ,52,37-15,"1,338",430,0.321
16,Delaware St. ,52,35-17,"1,396",448,0.321
17,Alabama St. ,42,17-25,"1,089",349,0.320
18,Oklahoma ,64,51-13,"1,635",522,0.319
19,Utah ,55,31-24,"1,499",477,0.318
20,UNLV ,54,26-28,"1,520",483,0.318
21,Jacksonville St. ,55,40-15,"1,448",460,0.318
22,Stanford ,55,30-25,"1,488",470,0.316
23,New Mexico St. ,54,31-23,"1,399",441,0.315
24,Wichita St. ,55,34-21,"1,504",474,0.315
25,Alabama ,66,53-13,"1,750",550,0.314
26,LSU ,62,38-24,"1,639",514,0.314
27,Florida ,67,55-12,"1,730",542,0.313
28,Tennessee ,58,46-12,"1,518",475,0.313
29,Colorado St. ,49,32-17,"1,327",415,0.313
30,Iona ,48,24-24,"1,290",403,0.312
31,UNC Greensboro ,57,31-26,"1,547",483,0.312
32,Missouri ,61,43-18,"1,655",513,0.310
33,Northwestern St. ,52,30-22,"1,402",431,0.307
34,Boston U. ,57,36-21,"1,549",476,0.307
35,Georgia ,64,49-15,"1,582",484,0.306
36,DePaul ,55,44-11,"1,462",447,0.306
37,Long Beach St. ,58,39-19,"1,577",482,0.306
38,Hofstra ,49,34-15,"1,352",413,0.305
39,Norfolk St. ,46,20-26,"1,275",389,0.305
40,Auburn ,62,42-19-1,"1,586",483,0.305
41,South Fla. ,60,43-17,"1,511",460,0.304
42,North Dakota St. ,54,36-18,"1,477",449,0.304
43,Texas A&M ,59,37-22,"1,566",476,0.304
44,Florida St. ,64,55-9,"1,640",498,0.304
45,Arkansas ,55,27-28,"1,423",432,0.304
46,Louisville ,58,36-22,"1,566",475,0.303
47,Wagner ,45,21-24,"1,210",367,0.303
48,Baylor ,65,49-16,"1,731",525,0.303
49,San Jose St. ,54,30-24,"1,524",461,0.302
50,East Carolina ,48,28-20,"1,313",397,0.302
51,Louisiana ,60,49-10-1,"1,680",507,0.302
52,San Diego St. ,59,40-19,"1,553",467,0.301
53,UIC ,44,16-28,"1,185",356,0.300
54,Rutgers ,47,28-19,"1,292",388,0.300
55,Cal St. Fullerton ,55,33-21-1,"1,439",431,0.300
56,Lehigh ,50,30-20,"1,338",400,0.299
57,Nevada ,52,27-25,"1,341",400,0.298
58,Nebraska ,62,44-18,"1,670",498,0.298
59,Texas Tech ,54,35-19,"1,385",413,0.298
60,New Mexico ,52,16-36,"1,344",400,0.298
61,Western Ill. ,48,19-28-1,"1,267",377,0.298
62,IUPUI ,48,24-24,"1,274",379,0.297
63,Georgia Tech ,47,23-24,"1,230",365,0.297
64,Purdue ,56,27-28-1,"1,460",433,0.297
65,UC Santa Barbara ,54,34-20,"1,482",439,0.296
66,Southern Utah ,54,23-31,"1,460",432,0.296
67,Houston Baptist ,50,22-28,"1,333",394,0.296
68,Stetson ,53,39-14,"1,427",421,0.295
69,Morgan St. ,29,8-21,733,216,0.295
70,Columbia ,44,22-22,"1,164",343,0.295
71,Fordham ,56,36-20,"1,460",429,0.294
72,Lipscomb ,56,41-15,"1,531",449,0.293
73,Longwood ,56,40-16,"1,417",415,0.293
74,Bryant ,54,32-22,"1,442",422,0.293
75,Marshall ,59,28-31,"1,535",448,0.292
76,Indiana St. ,53,27-26,"1,361",396,0.291
77,UTEP ,51,17-34,"1,384",402,0.290
78,Hampton ,49,29-20,"1,235",358,0.290
79,Green Bay ,41,27-14,"1,066",309,0.290
80,BYU ,57,34-23,"1,501",435,0.290
81,Akron ,43,27-16,"1,094",317,0.290
82,Illinois ,50,24-26,"1,371",397,0.290
83,Syracuse ,49,24-25,"1,313",380,0.289
84,Dayton ,56,27-29,"1,566",453,0.289
85,McNeese ,57,40-17,"1,490",431,0.289
86,Mercer ,56,37-19,"1,469",424,0.289
87,Col. of Charleston ,56,40-16,"1,476",426,0.289
88,FIU ,53,33-20,"1,401",404,0.288
89,Sacramento St. ,46,25-21,"1,226",353,0.288
90,Cal Poly ,52,33-19,"1,442",415,0.288
91,California ,52,23-29,"1,346",387,0.288
92,Kansas ,57,34-23,"1,520",437,0.288
93,Oklahoma St. ,54,26-28,"1,448",416,0.287
94,Savannah St. ,46,25-21,"1,219",350,0.287
95,Oregon St. ,49,18-31,"1,244",357,0.287
96,Georgia St. ,56,30-26,"1,530",439,0.287
97,Toledo ,53,19-34,"1,449",415,0.286
98,Binghamton ,47,22-25,"1,226",351,0.286
99,Northern Ill. ,57,26-31,"1,563",447,0.286
100,Boise St. ,52,30-22,"1,337",382,0.286
100,George Mason ,43,22-21,"1,183",338,0.286
102,Dartmouth ,50,31-19,"1,380",394,0.286
103,Ohio St. ,55,30-25,"1,414",403,0.285
104,Albany ,47,34-13,"1,282",365,0.285
105,Bradley ,59,27-32,"1,549",441,0.285
106,Ole Miss ,53,22-31,"1,391",396,0.285
107,Saint Joseph's ,42,22-20,"1,075",306,0.285
108,South Dakota ,51,29-22,"1,399",397,0.284
109,Minnesota ,56,44-12,"1,407",399,0.284
110,Virginia Tech ,59,36-23,"1,513",429,0.284
111,Marist ,51,27-24,"1,323",375,0.283
112,Prairie View ,42,13-29,"1,098",311,0.283
113,Towson ,54,29-25,"1,466",415,0.283
114,Purdue Fort Wayne ,55,40-15,"1,477",417,0.282
115,Fresno St. ,52,31-21,"1,418",400,0.282
116,Coastal Caro. ,56,41-15,"1,415",399,0.282
117,Kennesaw St. ,53,24-29,"1,448",408,0.282
118,Bucknell ,49,23-26,"1,324",373,0.282
119,Central Conn. St. ,45,29-16,"1,209",340,0.281
120,Houston ,56,33-23,"1,514",424,0.280
121,South Carolina ,58,36-22,"1,450",406,0.280
122,Samford ,56,38-18,"1,513",423,0.280
123,Stony Brook ,52,34-18,"1,345",375,0.279
124,UCF ,61,43-18,"1,518",423,0.279
125,Northern Colo. ,54,20-34,"1,416",394,0.278
126,North Texas ,53,31-22,"1,424",396,0.278
127,Sam Houston St. ,54,27-27,"1,450",403,0.278
128,North Carolina ,50,24-26,"1,307",363,0.278
129,Pacific ,48,20-28,"1,323",367,0.277
130,Fairfield ,42,20-22,"1,064",295,0.277
131,Harvard ,44,28-15-1,"1,209",335,0.277
132,Southern Ill. ,52,28-24,"1,333",369,0.277
133,Murray St. ,55,32-23,"1,476",408,0.276
134,Monmouth ,43,22-21,"1,140",315,0.276
135,CSUN ,57,31-26,"1,502",415,0.276
136,Grambling ,35,11-24,876,242,0.276
137,St. John's ,51,28-23,"1,325",366,0.276
138,Hawaii ,50,22-28,"1,333",368,0.276
139,Weber St. ,47,22-25,"1,270",350,0.276
139,Cleveland St. ,44,24-20,"1,143",315,0.276
141,La.-Monroe ,52,25-27,"1,361",374,0.275
142,NC State ,54,36-18,"1,355",372,0.275
143,Western Ky. ,58,33-24-1,"1,571",431,0.274
144,San Diego ,47,26-21,"1,248",342,0.274
145,James Madison ,60,45-15,"1,538",421,0.274
146,Youngstown St. ,54,30-24,"1,485",406,0.273
147,Army West Point ,51,23-28,"1,350",369,0.273
148,Siena ,55,29-26,"1,483",405,0.273
149,Wisconsin ,56,36-20,"1,437",392,0.273
150,Winthrop ,53,27-26,"1,397",381,0.273
151,Massachusetts ,39,16-22-1,"1,031",281,0.273
152,Eastern Ill. ,55,38-17,"1,461",398,0.272
153,Penn ,42,19-22-1,"1,105",301,0.272
154,FGCU ,60,33-26-1,"1,556",423,0.272
155,Miami ,50,22-28,"1,343",365,0.272
156,Texas St. ,56,26-30,"1,417",385,0.272
157,Saint Louis ,51,30-21,"1,327",359,0.271
158,UC Riverside ,54,23-31,"1,364",369,0.271
159,Lamar University ,50,20-30,"1,231",333,0.271
160,Chattanooga ,55,34-21,"1,457",394,0.270
161,Boston College ,53,30-23,"1,352",364,0.269
162,Cornell ,44,18-26,"1,206",324,0.269
163,Maryland ,46,11-35,"1,154",310,0.269
164,UMBC ,53,31-22,"1,396",375,0.269
165,UAB ,59,32-27,"1,548",414,0.267
166,Delaware ,48,23-25,"1,249",334,0.267
167,UNI ,48,28-20,"1,279",342,0.267
168,Central Ark. ,59,25-34,"1,524",406,0.266
169,Missouri St. ,55,28-27,"1,419",377,0.266
170,Canisius ,48,18-30,"1,258",334,0.266
171,Seattle U ,52,18-34,"1,393",369,0.265
172,A&M-Corpus Christi ,52,16-36,"1,390",368,0.265
173,Buffalo ,52,30-22,"1,380",365,0.264
174,Ohio ,58,32-26,"1,549",409,0.264
175,Appalachian St. ,51,19-32,"1,360",359,0.264
