Rank,College,G,AB,H,BA
1,UCLA ,63,"1,670",613,0.367
2,Oklahoma ,58,"1,492",538,0.361
3,Oregon ,59,"1,562",561,0.359
4,USC Upstate ,54,"1,412",498,0.353
5,Arizona ,61,"1,628",571,0.351
6,Notre Dame ,57,"1,549",543,0.351
7,San Jose St. ,56,"1,525",534,0.350
8,New Mexico St. ,63,"1,694",589,0.348
9,James Madison ,58,"1,511",524,0.347
10,Louisiana ,54,"1,425",493,0.346
11,Marshall ,50,"1,343",464,0.345
12,Ohio St. ,52,"1,465",504,0.344
13,Georgia ,61,"1,617",554,0.343
14,Washington ,59,"1,594",546,0.343
15,Auburn ,67,"1,789",606,0.339
16,Minnesota ,60,"1,610",545,0.339
17,Michigan ,68,"1,743",588,0.337
18,Nebraska ,58,"1,554",524,0.337
19,LSU ,66,"1,689",565,0.335
20,Georgia St. ,60,"1,613",539,0.334
21,California ,57,"1,510",502,0.332
22,North Dakota St. ,56,"1,494",491,0.329
23,BYU ,54,"1,407",461,0.328
24,North Carolina ,53,"1,385",453,0.327
25,Idaho St. ,52,"1,382",450,0.326
26,Fresno St. ,56,"1,506",489,0.325
27,South Dakota ,54,"1,531",497,0.325
28,Illinois ,53,"1,456",472,0.324
29,UNC Greensboro ,47,"1,276",413,0.324
30,Jacksonville St. ,55,"1,516",488,0.322
31,Canisius ,45,"1,140",366,0.321
32,Alabama St. ,54,"1,472",472,0.321
33,Alabama ,63,"1,616",518,0.321
34,Missouri ,58,"1,562",500,0.320
35,Weber St. ,57,"1,538",490,0.319
36,Cornell ,41,"1,163",370,0.318
37,St. John's ,47,"1,247",395,0.317
38,Savannah St. ,39,"1,043",330,0.316
39,Murray St. ,57,"1,516",478,0.315
40,Baylor ,58,"1,530",482,0.315
41,Delaware St. ,44,"1,200",378,0.315
42,UT Arlington ,55,"1,445",455,0.315
43,Samford ,55,"1,551",487,0.314
44,Kansas ,55,"1,469",461,0.314
45,Arizona St. ,58,"1,662",521,0.313
46,Northwestern St. ,54,"1,464",457,0.312
47,Mississippi St. ,57,"1,522",475,0.312
48,Cal St. Fullerton ,56,"1,490",465,0.312
49,Northwestern ,51,"1,334",414,0.310
50,CSUN ,58,"1,586",492,0.310
