Rank,College,G,DP,PG
1,Nebraska ,61,49,0.80
2,Utah ,55,42,0.76
3,Southern Utah ,52,39,0.75
4,Ball St. ,54,30,0.56
5,Iowa St. ,55,29,0.53
6,UNLV ,52,27,0.52
7,Fla. Atlantic ,57,29,0.51
8,Marist ,56,28,0.50
9,FGCU ,54,26,0.48
10,Villanova ,52,25,0.48
11,New Mexico St. ,57,27,0.47
12,Georgia Tech ,55,26,0.47
13,Mercer ,53,25,0.47
14,Kentucky ,62,28,0.45
15,Temple ,58,26,0.45
16,Syracuse ,52,23,0.44
17,Nicholls St. ,48,21,0.44
18,Saint Louis ,51,22,0.43
19,Army West Point ,61,26,0.43
20,Idaho St. ,52,22,0.42
20,Quinnipiac ,52,22,0.42
22,Indiana St. ,50,21,0.42
23,Arizona St. ,62,26,0.42
24,Troy ,53,22,0.42
25,North Dakota St. ,49,20,0.41
26,La.-Monroe ,54,22,0.41
27,Monmouth ,47,19,0.40
28,UT Martin ,57,23,0.40
28,Jackson St. ,57,23,0.40
30,Chattanooga ,53,21,0.40
30,Louisiana Tech ,53,21,0.40
30,Seattle U ,53,21,0.40
33,Southeast Mo. St. ,48,19,0.40
34,Morgan St. ,43,17,0.40
35,CSUN ,56,22,0.39
36,Alcorn ,41,16,0.39
37,South Carolina ,59,23,0.39
38,Saint Peter's ,54,21,0.39
39,Illinois ,49,19,0.39
40,Washington ,62,24,0.39
41,Siena ,47,18,0.38
42,Utah Valley ,55,21,0.38
42,UC Santa Barbara ,55,21,0.38
42,George Mason ,55,21,0.38
45,BYU ,58,22,0.38
45,Hawaii ,58,22,0.38
47,Wright St. ,56,21,0.38
47,Ohio St. ,56,21,0.38
49,Tulsa ,59,22,0.37
50,Louisville ,60,22,0.37
51,Samford ,52,19,0.37
52,Sam Houston St. ,61,22,0.36
52,Houston ,61,22,0.36
54,Texas St. ,56,20,0.36
55,James Madison ,59,21,0.36
55,Virginia Tech ,59,21,0.36
57,SFA ,48,17,0.35
57,Weber St. ,48,17,0.35
59,Col. of Charleston ,57,20,0.35
60,Manhattan ,46,16,0.35
61,Boston College ,52,18,0.35
62,Hartford ,55,19,0.35
63,Michigan ,64,22,0.34
64,Florida ,67,23,0.34
65,Fairleigh Dickinson ,44,15,0.34
66,St. John's ,53,18,0.34
67,Portland St. ,56,19,0.34
67,New Mexico ,56,19,0.34
69,Fordham ,59,20,0.34
69,Lipscomb ,59,20,0.34
71,South Alabama ,57,19,0.33
71,Iowa ,54,18,0.33
71,Delaware ,57,19,0.33
71,Fresno St. ,54,18,0.33
71,Memphis ,60,20,0.33
76,Saint Francis ,55,18,0.33
77,Boise St. ,52,17,0.33
77,East Carolina ,52,17,0.33
79,North Dakota ,40,13,0.33
80,Lamar University ,59,19,0.32
81,Cal St. Fullerton ,56,18,0.32
81,Radford ,56,18,0.32
83,Evansville ,53,17,0.32
84,Alabama St. ,47,15,0.32
85,Texas A&M ,60,19,0.32
86,Florida A&M ,52,16,0.31
86,Providence ,52,16,0.31
88,Valparaiso ,62,19,0.31
89,Coastal Carolina ,59,18,0.31
90,NC State ,56,17,0.30
91,Central Mich. ,53,16,0.30
92,Fairfield ,50,15,0.30
93,Utah St. ,54,16,0.30
93,Lehigh ,54,16,0.30
95,N.C. A&T ,44,13,0.30
96,Georgia ,61,18,0.30
97,Oregon St. ,58,17,0.29
98,UTEP ,48,14,0.29
99,Brown ,38,11,0.29
100,Cleveland St. ,49,14,0.29
100,San Diego St. ,56,16,0.29
100,Morehead St. ,49,14,0.29
103,Stony Brook ,60,17,0.28
104,Norfolk St. ,53,15,0.28
104,Bethune-Cookman ,53,15,0.28
104,UConn ,53,15,0.28
107,California ,57,16,0.28
107,Jacksonville St. ,57,16,0.28
107,Wisconsin ,57,16,0.28
110,Cornell ,50,14,0.28
110,A&M-Corpus Christi ,50,14,0.28
112,Massachusetts ,43,12,0.28
113,Howard ,36,10,0.28
113,Miami ,54,15,0.28
115,Canisius ,47,13,0.28
115,La Salle ,47,13,0.28
117,Marshall ,58,16,0.28
118,Seton Hall ,51,14,0.27
119,Purdue ,55,15,0.27
120,San Jose St. ,59,16,0.27
121,Southern U. ,48,13,0.27
122,Wichita St. ,52,14,0.27
122,UMBC ,52,14,0.27
124,Ole Miss ,56,15,0.27
124,Pacific ,56,15,0.27
126,UCLA ,60,16,0.27
127,Colorado St. ,49,13,0.27
127,Tennessee St. ,49,13,0.27
127,Virginia ,49,13,0.27
130,DePaul ,53,14,0.26
131,North Florida ,57,15,0.26
132,Iona ,50,13,0.26
133,Middle Tenn. ,54,14,0.26
134,Loyola Chicago ,47,12,0.26
135,Charleston So. ,55,14,0.25
136,Columbia ,48,12,0.25
136,SIUE ,48,12,0.25
136,Austin Peay ,44,11,0.25
136,Pittsburgh ,48,12,0.25
136,Robert Morris ,48,12,0.25
136,Rutgers ,56,14,0.25
136,St. Bonaventure ,52,13,0.25
136,Boston U. ,48,12,0.25
136,Alabama ,60,15,0.25
145,Western Ky. ,61,15,0.25
146,Northwestern ,53,13,0.25
147,Texas Southern ,49,12,0.24
147,Western Mich. ,49,12,0.24
149,Delaware St. ,54,13,0.24
150,Belmont ,50,12,0.24
151,Mount St. Mary's ,46,11,0.24
152,Prairie View ,42,10,0.24
153,Arizona ,59,14,0.24
154,UC Riverside ,55,13,0.24
154,Northwestern St. ,55,13,0.24
156,Saint Mary's ,51,12,0.24
157,Arkansas ,56,13,0.23
158,Missouri ,52,12,0.23
158,Albany ,52,12,0.23
158,Bradley ,52,12,0.23
161,Oklahoma ,61,14,0.23
162,Illinois St. ,48,11,0.23
162,Saint Joseph's ,48,11,0.23
162,South Dakota ,48,11,0.23
165,Long Beach St. ,57,13,0.23
166,Holy Cross ,44,10,0.23
166,Harvard ,44,10,0.23
168,North Texas ,53,12,0.23
168,UNI ,53,12,0.23
170,Rider ,49,11,0.22
171,Kennesaw St. ,54,12,0.22
171,Ga. Southern ,63,14,0.22
173,FIU ,55,12,0.22
173,Southern Miss. ,55,12,0.22
175,Butler ,46,10,0.22
175,Dartmouth ,46,10,0.22
175,Youngstown St. ,46,10,0.22
175,South Dakota St. ,46,10,0.22
179,Western Ill. ,37,8,0.22
180,Western Caro. ,56,12,0.21
181,Oregon ,61,13,0.21
181,North Carolina ,61,13,0.21
