Rank,College,G,W-L,IP,R,ER,ERA
1,Oklahoma ,61,57-4,387.0,74,64,1.16
2,South Fla. ,61,45-16,433.1,113,83,1.34
3,South Alabama ,57,48-9,373.0,90,76,1.43
4,Eastern Ill. ,50,36-14,335.1,97,76,1.59
5,Oregon ,61,50-11,397.0,124,93,1.64
6,Texas ,61,51-10,406.1,118,96,1.65
7,Hofstra ,59,46-13,385.1,116,92,1.67
8,McNeese ,53,38-15,356.2,122,91,1.79
9,Lehigh ,54,37-16-1,368.0,131,94,1.79
10,Florida St. ,63,44-19,408.0,146,106,1.82
11,San Diego ,53,24-29,375.2,143,98,1.83
12,Florida ,67,58-9,458.2,144,120,1.83
13,Tennessee ,64,52-12,419.1,128,110,1.84
14,Tulsa ,59,42-16-1,390.0,132,103,1.85
15,Nebraska ,61,45-16,419.0,152,111,1.85
16,Wisconsin ,57,44-13,389.2,141,109,1.96
17,James Madison ,59,42-17,385.1,149,108,1.96
18,Monmouth ,47,31-16,320.0,134,90,1.97
19,North Florida ,57,42-15,383.0,143,108,1.97
20,SIUE ,48,35-13,322.2,122,91,1.97
21,UAB ,58,39-19,407.0,151,115,1.98
22,UT Arlington ,53,25-28,374.0,155,107,2.00
23,San Diego St. ,56,36-20,380.1,142,111,2.04
24,Bowling Green ,51,28-23,343.1,145,103,2.10
25,Utah Valley ,55,35-20,378.0,152,115,2.13
26,Robert Morris ,48,30-17-1,334.1,125,102,2.14
27,Notre Dame ,58,43-15,386.1,148,118,2.14
28,Northwestern St. ,55,40-15,371.2,142,114,2.15
29,Arizona St. ,62,50-12,405.1,149,125,2.16
30,Saint Joseph's ,48,37-10-1,333.2,141,103,2.16
31,Baylor ,59,42-17,401.0,158,124,2.16
32,USC Upstate ,54,42-12,344.2,125,108,2.19
33,Central Conn. St. ,51,36-15,325.0,142,103,2.22
34,Marshall ,58,36-22,398.0,204,128,2.25
35,Furman ,54,27-27,357.0,172,116,2.27
36,Missouri ,52,38-14,335.0,147,110,2.30
37,Western Ky. ,61,43-18,404.0,164,133,2.30
38,Albany ,52,37-15,363.0,140,120,2.31
39,LSU ,58,42-16,395.1,161,131,2.32
40,Sacramento St. ,44,22-22,312.1,138,104,2.33
41,Michigan ,64,51-13,413.0,188,138,2.34
42,LMU ,56,33-23,396.2,183,133,2.35
43,NC State ,56,35-20-1,369.0,152,124,2.35
44,UC Davis ,52,25-27,350.0,155,118,2.36
45,Ga. Southern ,63,33-30,447.2,199,151,2.36
46,Louisville ,60,47-13,383.0,158,130,2.38
47,Creighton ,47,29-18,309.0,145,105,2.38
48,Louisiana ,62,47-15,396.0,164,135,2.39
49,Purdue Fort Wayne ,50,34-16,334.0,150,114,2.39
50,Hawaii ,58,45-13,394.2,166,135,2.39
51,Coastal Carolina ,59,37-22,396.1,190,137,2.42
52,Fairleigh Dickinson ,44,23-21,300.1,134,104,2.42
53,Minnesota ,55,36-19,365.1,166,127,2.43
54,Alabama ,60,45-15,388.0,172,137,2.47
55,California ,57,38-19,383.1,176,137,2.50
56,North Dakota St. ,49,33-16,323.2,146,116,2.51
57,UCF ,54,29-25,369.0,191,133,2.52
58,Washington ,62,45-17,404.0,166,146,2.53
59,Fairfield ,50,29-21,347.1,170,126,2.54
60,UCLA ,60,40-20,413.1,190,150,2.54
61,Kansas ,50,34-16,316.2,130,115,2.54
62,San Jose St. ,59,42-17,400.0,172,146,2.56
63,New Mexico St. ,57,37-20,392.1,183,144,2.57
64,Princeton ,45,26-19,313.2,154,116,2.59
65,Col. of Charleston ,57,37-20,380.2,181,142,2.61
66,UT Martin ,57,37-20,396.1,189,148,2.61
67,George Washington ,50,27-23,332.0,178,124,2.61
68,Oklahoma St. ,56,30-26,373.1,172,140,2.63
69,DePaul ,53,32-21,354.1,190,133,2.63
70,Loyola Chicago ,47,28-19,317.1,145,120,2.65
71,Saint Mary's ,51,20-31,346.1,196,131,2.65
72,Houston ,61,41-20,400.0,205,152,2.66
73,Fresno St. ,54,30-24,360.0,172,137,2.66
74,Mississippi St. ,57,33-24,381.0,188,145,2.66
75,Kennesaw St. ,54,34-20,362.0,184,138,2.67
76,Stony Brook ,60,35-25,415.2,196,161,2.71
77,Central Ark. ,58,37-21,382.0,203,148,2.71
78,Central Mich. ,53,33-20,358.2,171,139,2.71
79,Ball St. ,54,37-17,360.1,188,140,2.72
80,Binghamton ,47,30-17,313.1,157,122,2.73
81,Army West Point ,61,35-26,431.1,200,168,2.73
82,Kent St. ,49,27-21-1,346.0,171,135,2.73
83,Villanova ,52,21-31,358.2,177,140,2.73
84,Kentucky ,62,41-21,429.1,201,168,2.74
85,UTSA ,53,27-26,347.2,179,137,2.76
86,Columbia ,48,22-26,329.2,177,130,2.76
87,Stanford ,60,39-21,395.1,193,156,2.76
88,Delaware ,57,35-22,383.2,196,153,2.79
89,UNC Greensboro ,57,38-19,379.0,196,152,2.81
90,Lipscomb ,59,35-24,403.1,201,162,2.81
91,BYU ,58,33-25,393.0,225,160,2.85
92,Virginia Tech ,59,38-21,402.2,200,164,2.85
93,Jacksonville ,52,30-22,355.1,197,145,2.86
94,Arkansas ,56,36-20,359.1,194,147,2.86
95,Saint Louis ,51,28-23,348.1,181,144,2.89
96,Eastern Ky. ,56,36-20,377.0,197,156,2.90
97,Rutgers ,56,30-26,369.0,195,153,2.90
98,Pacific ,56,28-28,375.1,196,156,2.91
99,South Dakota ,48,28-20,325.2,180,136,2.92
100,UNI ,53,27-26,350.1,209,147,2.94
101,Drake ,49,29-20,321.0,189,135,2.94
102,Cleveland St. ,49,22-27,330.1,202,139,2.95
103,Sacred Heart ,54,24-30,358.2,207,151,2.95
104,Oakland ,31,7-23-1,208.2,123,88,2.95
105,Bucknell ,51,21-30,344.1,193,147,2.99
106,Cal St. Fullerton ,56,28-28,375.2,192,161,3.00
107,Youngstown St. ,46,19-27,321.2,197,138,3.00
108,Fla. Atlantic ,57,28-29,374.1,204,161,3.01
109,Ohio St. ,56,34-22,373.2,207,161,3.02
110,Texas A&M ,60,42-18,374.2,202,162,3.03
111,CSUN ,56,25-31,367.0,199,160,3.05
112,Colgate ,48,16-32,327.0,221,143,3.06
113,George Mason ,55,18-37,370.1,229,162,3.06
114,Texas Southern ,49,33-16,316.0,161,139,3.08
115,Longwood ,61,41-20,391.0,230,172,3.08
116,Southeastern La. ,54,31-23,350.0,193,154,3.08
117,Wright St. ,56,19-37,359.0,237,158,3.08
118,UC Santa Barbara ,55,31-24,370.0,211,163,3.08
119,Long Beach St. ,57,37-20,389.2,206,172,3.09
120,North Carolina ,61,40-21,396.2,200,176,3.11
121,FGCU ,54,36-18,372.2,205,167,3.14
122,Georgia St. ,55,36-19,367.1,205,166,3.16
123,Marist ,56,30-26,372.1,229,169,3.18
124,Morehead St. ,49,24-25,329.0,200,150,3.19
125,Samford ,52,17-35,333.0,200,152,3.20
126,Akron ,51,23-28,345.2,199,158,3.20
127,Dartmouth ,46,26-20,316.2,169,145,3.21
128,Cal Poly ,54,19-34-1,360.0,197,166,3.23
129,Georgia ,61,40-21,390.0,215,180,3.23
129,Houston Baptist ,42,17-25,273.0,189,126,3.23
131,Northern Ill. ,58,27-31,395.1,240,183,3.24
132,Butler ,46,22-24,306.1,184,142,3.24
133,Nicholls St. ,48,22-26,316.1,206,147,3.25
134,Sam Houston St. ,61,37-24,416.1,247,194,3.26
135,UConn ,53,26-27,352.1,232,165,3.28
136,Canisius ,47,22-25,307.1,209,144,3.28
137,Campbell ,60,39-21,401.0,240,188,3.28
138,Fordham ,59,36-23,387.2,240,183,3.30
139,Texas Tech ,56,30-26,363.2,222,172,3.31
140,Murray St. ,53,25-28,358.2,206,170,3.32
141,Evansville ,53,23-30,350.0,211,166,3.32
141,Stetson ,53,31-22,350.0,203,166,3.32
143,Illinois St. ,48,28-20,323.1,183,154,3.33
144,Mississippi Val. ,55,25-30,356.1,209,170,3.34
145,Jacksonville St. ,57,30-27,387.2,250,185,3.34
146,Purdue ,55,23-32,370.1,207,177,3.35
147,Valparaiso ,62,35-27,417.2,233,202,3.39
148,Tennessee St. ,49,14-35,310.2,289,151,3.40
149,Norfolk St. ,53,31-22,341.1,274,166,3.40
150,Iowa ,54,30-24,356.1,232,175,3.44
151,Auburn ,53,30-23,340.1,206,168,3.46
152,Chattanooga ,53,26-27,354.0,237,176,3.48
153,North Texas ,53,29-24,343.1,214,171,3.49
154,East Carolina ,52,21-31,336.0,230,168,3.50
155,Tennessee Tech ,50,22-28,324.0,196,163,3.52
156,Colorado St. ,49,25-24,327.0,223,165,3.53
157,Memphis ,60,24-36,410.0,262,207,3.53
158,Illinois ,49,22-27,323.2,218,164,3.55
159,South Carolina ,59,34-25,380.1,233,193,3.55
160,Texas St. ,56,18-38,386.1,264,197,3.57
161,Virginia ,49,21-28,320.1,209,164,3.58
162,Green Bay ,37,14-23,245.2,166,126,3.59
163,Boston U. ,48,21-26-1,309.2,192,159,3.59
164,Northwestern ,53,31-22,347.2,238,179,3.60
165,Harvard ,44,22-22,288.0,179,149,3.62
166,Penn ,50,30-20,324.2,189,168,3.62
167,Dayton ,46,22-24,308.1,196,160,3.63
168,Belmont ,50,17-33,335.0,215,174,3.64
169,South Carolina St. ,43,16-27,274.1,199,143,3.65
170,Oregon St. ,58,34-24,375.0,237,196,3.66
171,Louisiana Tech ,53,27-26,340.0,231,178,3.66
172,IUPUI ,49,18-31,314.2,207,167,3.72
173,Michigan St. ,49,24-25,322.0,214,171,3.72
174,Towson ,59,30-28-1,383.2,245,204,3.72
175,Appalachian St. ,53,31-22,352.2,240,188,3.73
176,FIU ,55,27-28,370.1,242,198,3.74
177,Hampton ,60,34-26,393.2,270,211,3.75
178,Indiana ,54,19-35,348.1,243,189,3.80
179,St. John's ,53,17-35-1,346.0,260,188,3.80
180,Western Caro. ,56,20-36,358.1,269,195,3.81
181,Boise St. ,52,25-26-1,343.2,246,190,3.87
182,Saint Francis ,55,25-30,368.0,260,205,3.90
183,Bradley ,52,23-29,341.0,229,191,3.92
184,Arizona ,59,33-26,389.0,257,218,3.92
185,Wichita St. ,52,19-33,344.1,247,193,3.92
186,SFA ,48,16-32,309.2,217,174,3.93
187,UNLV ,52,21-31,345.0,260,194,3.94
188,Seattle U ,53,20-33,340.2,227,192,3.95
189,Syracuse ,52,23-29,344.2,249,195,3.96
190,Portland St. ,56,25-31,367.1,266,208,3.96
191,Hartford ,55,21-34,363.2,251,206,3.97
192,Nevada ,53,30-23,354.2,254,202,3.99
193,Ohio ,57,28-29,373.0,252,214,4.02
194,Pittsburgh ,48,19-29,311.1,250,179,4.02
195,Charlotte ,50,24-26,329.1,244,190,4.04
196,Jackson St. ,57,28-29,370.2,268,214,4.04
197,Maine ,47,8-39,313.1,251,183,4.09
198,Maryland ,57,31-26,358.1,282,210,4.10
199,Buffalo ,48,16-32,316.1,219,186,4.12
200,Elon ,52,21-31,335.0,259,197,4.12
201,ETSU ,47,13-34,307.1,247,183,4.17
202,Radford ,56,20-36,357.1,292,213,4.17
203,Winthrop ,57,28-29,377.1,293,225,4.17
204,Bryant ,43,21-22,278.0,219,167,4.21
205,UNCW ,53,16-37,356.0,293,214,4.21
206,Missouri St. ,52,22-30,343.1,248,207,4.22
207,Niagara ,46,16-30,296.0,208,179,4.23
208,Florida A&M ,52,20-32,333.2,266,204,4.28
209,Southern Ill. ,52,25-27,359.1,269,220,4.29
210,Miami ,54,20-34,362.1,302,222,4.29
211,New Mexico ,56,21-35,356.0,282,220,4.33
212,Drexel ,50,14-36,336.1,265,209,4.35
213,UIC ,45,21-24,296.0,221,184,4.35
214,CSU Bakersfield ,49,15-34,317.2,245,198,4.36
215,Holy Cross ,44,13-31,284.2,241,178,4.38
216,Delaware St. ,54,20-34,329.0,292,206,4.38
217,Utah ,55,24-30-1,354.1,273,222,4.39
218,Mount St. Mary's ,46,16-30,292.2,243,185,4.42
219,Lafayette ,53,11-42,341.1,284,216,4.43
220,Idaho St. ,52,29-23,341.2,273,217,4.45
221,La Salle ,47,16-31,295.1,252,188,4.46
222,Southern Miss. ,55,14-41,359.0,302,229,4.47
223,Austin Peay ,44,18-26,294.1,230,188,4.47
224,Cornell ,50,21-29,355.1,272,227,4.47
225,Bethune-Cookman ,53,18-35,343.0,310,220,4.49
226,Wagner ,49,12-37,320.1,270,207,4.52
227,Manhattan ,46,21-25,316.1,237,205,4.54
228,LIU ,57,19-38,373.0,335,242,4.54
229,Mercer ,53,24-29,348.2,289,229,4.60
230,Massachusetts ,43,18-25,270.1,270,179,4.64
231,Georgetown ,54,21-33,354.0,278,235,4.65
232,Western Mich. ,49,16-33,323.0,260,216,4.68
233,Utah St. ,54,11-43,348.0,277,234,4.71
234,Weber St. ,48,10-38,314.1,279,212,4.72
235,Troy ,53,21-32,339.1,310,230,4.74
236,South Dakota St. ,46,16-30,296.1,232,202,4.77
237,Presbyterian ,53,22-31,349.1,308,240,4.81
238,Siena ,47,21-26,295.2,269,206,4.88
239,Lamar University ,59,24-35,378.2,329,265,4.90
240,Ole Miss ,56,25-31,350.0,264,246,4.92
241,Providence ,52,23-28-1,343.2,286,242,4.93
242,Quinnipiac ,52,17-35,335.1,301,237,4.95
243,Southeast Mo. St. ,48,14-34,315.1,289,223,4.95
244,Santa Clara ,54,8-46,336.1,302,240,5.00
245,A&M-Corpus Christi ,50,11-39,317.2,302,227,5.00
246,Eastern Mich. ,51,17-33-1,331.1,287,237,5.01
247,Toledo ,53,17-36,346.1,328,248,5.01
248,UC Riverside ,55,20-35,345.2,301,249,5.04
249,Southern Utah ,52,18-34,326.2,300,236,5.06
250,UTEP ,48,13-35,315.0,274,228,5.07
251,Coppin St. ,43,18-25,281.0,289,204,5.08
252,Liberty ,57,20-37,373.0,324,271,5.09
253,Seton Hall ,51,21-30,321.0,294,237,5.17
254,Kansas City ,45,18-27,283.0,257,210,5.19
255,Savannah St. ,50,26-24,313.1,335,234,5.23
256,Indiana St. ,50,16-34,325.0,289,243,5.23
257,Yale ,47,10-37,303.2,315,229,5.28
258,Temple ,58,32-26,367.2,321,278,5.29
259,Georgia Tech ,55,25-30,353.1,340,271,5.37
260,Western Ill. ,37,14-23,233.1,226,180,5.40
261,Charleston So. ,55,15-40,345.0,375,268,5.44
262,Northern Colo. ,47,16-30-1,296.1,300,231,5.46
263,UMBC ,52,11-41,330.1,366,260,5.51
264,UMES ,47,14-33,307.2,324,243,5.53
265,Iona ,50,13-37,318.2,313,256,5.62
266,Brown ,38,10-28,243.1,217,197,5.67
267,La.-Monroe ,54,19-35,337.2,331,274,5.68
268,Alabama St. ,47,14-33,289.1,309,236,5.71
269,Alabama A&M ,38,11-27,230.1,244,190,5.77
270,Prairie View ,42,19-23,249.2,223,208,5.83
271,Gardner-Webb ,44,13-31,273.1,261,228,5.84
272,Rhode Island ,47,10-37,299.2,303,253,5.91
273,Penn St. ,50,16-34,318.1,323,271,5.96
274,St. Bonaventure ,52,10-42,334.1,380,292,6.11
275,N.C. Central ,49,5-44,278.1,383,246,6.19
276,N.C. A&T ,44,9-35,268.2,325,239,6.23
277,Middle Tenn. ,54,7-47,338.0,381,302,6.25
278,Iowa St. ,55,21-34,343.0,374,314,6.41
279,Rider ,49,8-41,295.0,368,281,6.67
280,Boston College ,52,14-38,322.1,371,314,6.82
281,North Dakota ,40,10-30,241.1,282,238,6.90
282,Ark.-Pine Bluff ,42,14-28,244.1,301,242,6.93
283,Detroit Mercy ,50,5-45,308.2,394,312,7.08
284,Grambling ,45,11-34,270.2,359,276,7.14
285,Southern U. ,48,5-43,281.2,410,298,7.41
286,Saint Peter's ,54,9-45,320.2,425,349,7.62
287,Morgan St. ,43,8-35,248.0,341,272,7.68
288,Alcorn ,41,8-33,235.2,308,259,7.69
289,Howard ,36,3-33,198.1,365,254,8.96
