Rank,College,G,PO,A,E,PCT
1,Florida ,68,"1,375",368,27,0.985
2,Michigan ,57,"1,100",326,26,0.982
3,BYU ,60,"1,119",384,32,0.979
4,Alabama ,64,"1,301",378,38,0.978
5,FIU ,61,"1,223",383,37,0.977
6,Oklahoma ,70,"1,448",491,45,0.977
7,Southern Ill. ,57,"1,166",368,36,0.977
8,Princeton ,45,883,352,29,0.977
9,Texas A&M ,60,"1,181",473,39,0.977
10,UNCW ,56,"1,129",492,39,0.977
11,Villanova ,55,"1,107",386,36,0.976
12,USC Upstate ,58,"1,169",363,37,0.976
13,Iona ,51,"1,009",311,33,0.976
14,SIUE ,54,"1,110",244,34,0.976
15,Ole Miss ,63,"1,273",572,47,0.975
16,Pittsburgh ,47,940,495,37,0.975
17,Arizona ,61,"1,126",393,40,0.974
18,Manhattan ,55,"1,118",475,42,0.974
19,Sacred Heart ,51,"1,009",356,36,0.974
20,Tulsa ,58,"1,206",357,42,0.974
21,Tennessee ,60,"1,148",407,42,0.974
22,Lipscomb ,56,"1,143",332,40,0.974
23,James Madison ,60,"1,152",385,42,0.973
24,Washington ,64,"1,253",446,48,0.973
25,Louisiana ,55,"1,027",372,40,0.972
26,Toledo ,58,"1,128",441,45,0.972
27,Jacksonville St. ,53,"1,089",473,45,0.972
28,Baylor ,63,"1,303",396,49,0.972
29,Campbell ,58,"1,189",528,50,0.972
30,Central Conn. St. ,39,741,288,30,0.972
31,Kansas ,52,"1,033",468,44,0.972
32,Ohio ,62,"1,190",305,44,0.971
33,Radford ,55,"1,081",543,48,0.971
34,South Alabama ,55,"1,101",331,43,0.971
35,LMU ,51,"1,025",501,46,0.971
36,Hofstra ,50,940,309,38,0.970
37,Kentucky ,58,"1,191",563,54,0.970
38,Auburn ,61,"1,217",581,56,0.970
39,Lafayette ,41,795,424,38,0.970
40,UCLA ,63,"1,282",513,56,0.970
41,East Carolina ,56,"1,078",361,45,0.970
42,La.-Monroe ,63,"1,278",407,53,0.970
43,Utah ,53,"1,019",473,47,0.969
44,Harvard ,41,817,380,38,0.969
45,LSU ,70,"1,379",573,62,0.969
46,Col. of Charleston ,56,"1,140",484,52,0.969
47,San Jose St. ,56,"1,114",433,50,0.969
48,Ohio St. ,53,"1,047",461,49,0.969
