Rank,College,GS,IP,HB
1,Saint Joseph's ,0,258,6
2,La Salle ,0,245,7
3,Providence ,0,253,9
4,Chattanooga ,0,330,10
4,Albany ,0,314,10
6,Cleveland St. ,0,340,11
6,Towson ,0,359,11
6,Notre Dame ,0,359,11
9,Drexel ,0,273,12
9,Central Ark. ,0,359,12
9,Western Mich. ,0,332,12
9,Wagner ,0,215,12
13,Louisville ,0,328,13
13,Maine ,0,298,13
13,Niagara ,0,262,13
13,Missouri St. ,0,368,13
13,Princeton ,0,274,13
13,Saint Louis ,0,358,13
13,Norfolk St. ,0,262,13
20,Dartmouth ,0,279,14
20,Yale ,0,218,14
20,Southern U. ,0,201,14
23,Indiana St. ,0,391,15
23,Loyola Chicago ,0,332,15
23,Green Bay ,0,290,15
23,Southeast Mo. St. ,0,314,15
23,Charlotte ,0,338,15
28,Maryland ,0,356,16
28,South Carolina St. ,0,226,16
28,Morgan St. ,0,231,16
