Rank,College,G,HR,PG
1,Texas A&M ,60,103,1.72
2,Temple ,58,94,1.62
3,NC State ,56,88,1.57
4,Oklahoma ,61,94,1.54
5,Arizona St. ,62,95,1.53
6,Georgia ,61,93,1.52
7,Idaho St. ,52,78,1.50
8,UCLA ,60,88,1.47
9,Louisiana ,62,88,1.42
10,Ohio ,57,80,1.40
11,Hawaii ,58,81,1.40
12,Longwood ,61,80,1.31
12,Oregon ,61,80,1.31
14,Florida ,67,84,1.25
15,Ball St. ,54,67,1.24
16,Missouri ,52,62,1.19
17,Coastal Carolina ,59,70,1.19
18,Fordham ,59,69,1.17
19,Michigan ,64,74,1.16
20,Campbell ,60,68,1.13
21,Winthrop ,57,64,1.12
21,California ,57,64,1.12
23,Syracuse ,52,58,1.12
24,Arkansas ,56,61,1.09
25,Louisville ,60,63,1.05
25,Alabama ,60,63,1.05
27,Central Conn. St. ,51,53,1.04
28,Boston College ,52,54,1.04
29,Creighton ,47,48,1.02
30,Cleveland St. ,49,50,1.02
31,South Alabama ,57,58,1.02
32,Notre Dame ,58,59,1.02
33,Tennessee ,64,65,1.02
34,USC Upstate ,54,54,1.00
34,Kentucky ,62,62,1.00
34,Binghamton ,47,47,1.00
37,Washington ,62,60,0.97
38,North Carolina ,61,59,0.97
39,FGCU ,54,52,0.96
40,Florida St. ,63,60,0.95
41,Nebraska ,61,58,0.95
41,Sam Houston St. ,61,58,0.95
43,Hofstra ,59,56,0.95
44,New Mexico St. ,57,54,0.95
45,Texas Tech ,56,53,0.95
46,Loyola Chicago ,47,44,0.94
47,Long Beach St. ,57,53,0.93
48,Marist ,56,52,0.93
49,Jacksonville ,52,48,0.92
50,South Dakota ,48,44,0.92
51,Princeton ,45,41,0.91
52,Northwestern ,53,48,0.91
53,Oregon St. ,58,52,0.90
54,UT Martin ,57,51,0.89
54,Mississippi St. ,57,51,0.89
56,Dayton ,46,41,0.89
57,Charleston So. ,55,49,0.89
58,Boise St. ,52,46,0.88
59,Arizona ,59,52,0.88
60,Minnesota ,55,48,0.87
61,Lipscomb ,59,51,0.86
62,Georgia Tech ,55,47,0.85
63,Presbyterian ,53,45,0.85
63,Nevada ,53,45,0.85
63,Stetson ,53,45,0.85
63,Mercer ,53,45,0.85
67,Cornell ,50,42,0.84
67,Kansas ,50,42,0.84
67,Penn St. ,50,42,0.84
70,DePaul ,53,44,0.83
71,Wisconsin ,57,47,0.82
72,Western Ky. ,61,50,0.82
73,Georgia St. ,55,45,0.82
74,Drake ,49,40,0.82
75,James Madison ,59,48,0.81
76,Portland St. ,56,45,0.80
76,Radford ,56,45,0.80
76,San Diego St. ,56,45,0.80
79,Texas ,61,49,0.80
80,Bryant ,43,34,0.79
81,Lamar University ,59,46,0.78
82,North Dakota St. ,49,38,0.78
83,Austin Peay ,44,34,0.77
84,Illinois St. ,48,37,0.77
85,Eastern Ky. ,56,43,0.77
86,South Carolina ,59,45,0.76
87,North Texas ,53,40,0.75
87,UConn ,53,40,0.75
89,Liberty ,57,43,0.75
90,LMU ,56,42,0.75
90,Stanford ,60,45,0.75
92,Maryland ,57,42,0.74
93,Elon ,52,38,0.73
94,SIUE ,48,35,0.73
95,Iowa St. ,55,40,0.73
96,UAB ,58,42,0.72
96,Marshall ,58,42,0.72
98,South Fla. ,61,44,0.72
99,Massachusetts ,43,31,0.72
100,Savannah St. ,50,36,0.72
101,Dartmouth ,46,33,0.72
102,Murray St. ,53,38,0.72
103,Colorado St. ,49,35,0.71
104,Southern Ill. ,52,37,0.71
105,Northwestern St. ,55,39,0.71
106,Southeastern La. ,54,38,0.70
107,Manhattan ,46,32,0.70
108,Virginia Tech ,59,41,0.69
109,LSU ,58,40,0.69
110,Houston ,61,42,0.69
111,Fairleigh Dickinson ,44,30,0.68
112,Iona ,50,34,0.68
113,Appalachian St. ,53,36,0.68
114,Pittsburgh ,48,32,0.67
114,Seton Hall ,51,34,0.67
116,Ohio St. ,56,37,0.66
117,Yale ,47,31,0.66
118,Southeast Mo. St. ,48,31,0.65
118,Robert Morris ,48,31,0.65
120,McNeese ,53,34,0.64
120,St. John's ,53,34,0.64
122,Central Ark. ,58,37,0.64
123,Utah ,55,35,0.64
124,Albany ,52,33,0.63
124,Providence ,52,33,0.63
126,Morehead St. ,49,31,0.63
127,UNC Greensboro ,57,36,0.63
128,Tulsa ,59,37,0.63
129,Ole Miss ,56,35,0.63
130,UNI ,53,33,0.62
131,Charlotte ,50,31,0.62
132,Col. of Charleston ,57,35,0.61
132,Jacksonville St. ,57,35,0.61
134,N.C. A&T ,44,27,0.61
135,Saint Louis ,51,31,0.61
135,Bowling Green ,51,31,0.61
135,Eastern Mich. ,51,31,0.61
138,Oklahoma St. ,56,34,0.61
139,Saint Joseph's ,48,29,0.60
140,Auburn ,53,32,0.60
141,UIC ,45,27,0.60
142,Prairie View ,42,25,0.60
143,Western Ill. ,37,22,0.59
144,Ga. Southern ,63,37,0.59
145,Central Mich. ,53,31,0.58
146,Penn ,50,29,0.58
147,East Carolina ,52,30,0.58
147,Wichita St. ,52,30,0.58
149,Iowa ,54,31,0.57
150,Western Caro. ,56,32,0.57
151,Green Bay ,37,21,0.57
152,Purdue Fort Wayne ,50,28,0.56
153,La Salle ,47,26,0.55
154,Valparaiso ,62,34,0.55
155,Louisiana Tech ,53,29,0.55
155,Troy ,53,29,0.55
157,Colgate ,48,26,0.54
158,UNLV ,52,28,0.54
158,Missouri St. ,52,28,0.54
160,Northern Ill. ,58,31,0.53
161,Saint Francis ,55,29,0.53
162,Harvard ,44,23,0.52
163,Indiana St. ,50,26,0.52
164,Southern Utah ,52,27,0.52
165,Furman ,54,28,0.52
166,Saint Mary's ,51,26,0.51
167,Seattle U ,53,27,0.51
168,Baylor ,59,30,0.51
168,San Jose St. ,59,30,0.51
170,Rutgers ,56,28,0.50
170,South Dakota St. ,46,23,0.50
170,Kennesaw St. ,54,27,0.50
170,Houston Baptist ,42,21,0.50
174,Towson ,59,29,0.49
175,Mississippi Val. ,55,27,0.49
176,Stony Brook ,60,29,0.48
177,Sacred Heart ,54,26,0.48
178,St. Bonaventure ,52,25,0.48
179,Eastern Ill. ,50,24,0.48
180,UC Santa Barbara ,55,26,0.47
181,Norfolk St. ,53,25,0.47
182,Akron ,51,24,0.47
183,Northern Colo. ,47,22,0.47
183,ETSU ,47,22,0.47
185,Georgetown ,54,25,0.46
185,Middle Tenn. ,54,25,0.46
187,Quinnipiac ,52,24,0.46
188,Youngstown St. ,46,21,0.46
189,Utah Valley ,55,25,0.45
190,Toledo ,53,24,0.45
191,Virginia ,49,22,0.45
191,Texas Southern ,49,22,0.45
193,Siena ,47,21,0.45
194,Bradley ,52,23,0.44
195,Belmont ,50,22,0.44
195,George Washington ,50,22,0.44
195,Tennessee Tech ,50,22,0.44
198,UC Riverside ,55,24,0.44
199,Mount St. Mary's ,46,20,0.43
200,UTSA ,53,23,0.43
201,Holy Cross ,44,19,0.43
202,Cal St. Fullerton ,56,24,0.43
202,IUPUI ,49,21,0.43
204,North Dakota ,40,17,0.43
205,North Florida ,57,24,0.42
206,FIU ,55,23,0.42
207,CSUN ,56,23,0.41
208,Fresno St. ,54,22,0.41
209,Monmouth ,47,19,0.40
210,Kansas City ,45,18,0.40
211,Buffalo ,48,19,0.40
211,Columbia ,48,19,0.40
213,Butler ,46,18,0.39
214,Miami ,54,21,0.39
215,Samford ,52,20,0.38
216,Maine ,47,18,0.38
217,Southern Miss. ,55,21,0.38
218,Evansville ,53,20,0.38
219,UTEP ,48,18,0.38
219,New Mexico ,56,21,0.38
221,Indiana ,54,20,0.37
222,UMBC ,52,19,0.37
223,Detroit Mercy ,50,18,0.36
223,Fairfield ,50,18,0.36
225,Ark.-Pine Bluff ,42,15,0.36
226,Nicholls St. ,48,17,0.35
227,La.-Monroe ,54,19,0.35
227,Saint Peter's ,54,19,0.35
229,Delaware ,57,20,0.35
230,Hampton ,60,21,0.35
231,Coppin St. ,43,15,0.35
232,Purdue ,55,19,0.35
233,Gardner-Webb ,44,15,0.34
234,Bethune-Cookman ,53,18,0.34
235,Howard ,36,12,0.33
235,UCF ,54,18,0.33
235,Fla. Atlantic ,57,19,0.33
235,Boston U. ,48,16,0.33
235,Bucknell ,51,17,0.33
240,Michigan St. ,49,16,0.33
241,Morgan St. ,43,14,0.33
242,Pacific ,56,18,0.32
243,A&M-Corpus Christi ,50,16,0.32
244,Sacramento St. ,44,14,0.32
245,Brown ,38,12,0.32
245,LIU ,57,18,0.32
247,Delaware St. ,54,17,0.31
247,Lehigh ,54,17,0.31
249,Army West Point ,61,19,0.31
250,Grambling ,45,14,0.31
251,Illinois ,49,15,0.31
251,Western Mich. ,49,15,0.31
253,Texas St. ,56,17,0.30
254,Rhode Island ,47,14,0.30
255,Oakland ,31,9,0.29
256,Alabama A&M ,38,11,0.29
257,Rider ,49,14,0.29
258,UNCW ,53,15,0.28
258,Chattanooga ,53,15,0.28
260,Niagara ,46,13,0.28
261,BYU ,58,16,0.28
262,Tennessee St. ,49,13,0.27
262,Wagner ,49,13,0.27
264,Jackson St. ,57,15,0.26
265,Canisius ,47,12,0.26
266,Kent St. ,49,12,0.24
267,UMES ,47,11,0.23
268,SFA ,48,11,0.23
268,Weber St. ,48,11,0.23
270,UT Arlington ,53,12,0.23
271,Wright St. ,56,12,0.21
272,Alabama St. ,47,10,0.21
273,Villanova ,52,10,0.19
273,UC Davis ,52,10,0.19
275,Cal Poly ,54,9,0.17
275,Santa Clara ,54,9,0.17
277,Hartford ,55,9,0.16
278,South Carolina St. ,43,7,0.16
279,Drexel ,50,8,0.16
280,Utah St. ,54,8,0.15
281,Southern U. ,48,7,0.15
282,N.C. Central ,49,7,0.14
283,Memphis ,60,8,0.13
284,CSU Bakersfield ,49,6,0.12
285,San Diego ,53,6,0.11
286,George Mason ,55,6,0.11
287,Florida A&M ,52,5,0.10
288,Lafayette ,53,5,0.09
289,Alcorn ,41,1,0.02
