Rank,College,G,W-L,HR,PG
1,Arizona ,60,44-16,109,1.82
2,Louisiana ,60,49-10-1,90,1.50
3,Georgia ,64,49-15,93,1.45
4,Oklahoma ,64,51-13,90,1.41
5,Tennessee ,58,46-12,81,1.40
6,Auburn ,62,42-19-1,83,1.34
7,Florida ,67,55-12,89,1.33
8,UTSA ,54,24-30,71,1.31
9,UCLA ,60,52-8,77,1.28
10,Arizona St. ,59,46-12-1,74,1.25
11,NC State ,54,36-18,67,1.24
12,Minnesota ,56,44-12,68,1.21
13,North Carolina ,50,24-26,60,1.20
14,Northwestern St. ,52,30-22,62,1.19
15,New Mexico St. ,54,31-23,64,1.19
16,Syracuse ,49,24-25,58,1.18
17,Nebraska ,62,44-18,73,1.18
18,Hawaii ,50,22-28,58,1.16
19,Ball St. ,52,33-19,60,1.15
20,Texas A&M ,59,37-22,68,1.15
21,Baylor ,65,49-16,74,1.14
22,USC Upstate ,55,46-9,60,1.09
23,Fordham ,56,36-20,61,1.09
23,Coastal Caro. ,56,41-15,61,1.09
25,UNI ,48,28-20,52,1.08
26,Radford ,52,22-30,56,1.08
27,Jacksonville St. ,55,40-15,59,1.07
28,Idaho St. ,55,35-20,58,1.05
29,Georgia St. ,56,30-26,59,1.05
30,LSU ,62,38-24,65,1.05
31,Cal St. Fullerton ,55,33-21-1,57,1.04
32,Alabama ,66,53-13,68,1.03
33,Kentucky ,69,50-19,71,1.03
34,Wichita St. ,55,34-21,56,1.02
35,Florida St. ,64,55-9,65,1.02
36,IUPUI ,48,24-24,48,1.00
36,Virginia Tech ,59,36-23,59,1.00
36,UNC Greensboro ,57,31-26,57,1.00
36,Mercer ,56,37-19,56,1.00
40,Michigan ,62,47-15,61,0.98
41,Arkansas ,55,27-28,54,0.98
42,Northern Colo. ,54,20-34,53,0.98
42,Elon ,54,24-29-1,53,0.98
42,Notre Dame ,54,41-13,53,0.98
45,UAB ,59,32-27,57,0.97
46,UNLV ,54,26-28,52,0.96
47,Oregon ,66,56-9-1,63,0.95
48,Tulsa ,62,53-9,59,0.95
49,Dayton ,56,27-29,53,0.95
50,Illinois St. ,53,25-28,50,0.94
51,Washington ,52,37-15,49,0.94
52,Binghamton ,47,22-25,44,0.94
53,Louisville ,58,36-22,54,0.93
54,East Carolina ,48,28-20,44,0.92
54,Iona ,48,24-24,44,0.92
56,South Carolina ,58,36-22,53,0.91
