Rank,College,G,AB,H,BB,HBP,SF,SH,PCT
1,UCLA ,60,"1,487",485,286,48,11,47,0.447
2,Arizona ,60,"1,530",536,234,20,14,32,0.439
3,Florida ,67,"1,730",542,321,78,13,52,0.439
4,Northwestern ,53,"1,411",468,199,61,13,29,0.432
5,Oklahoma ,64,"1,635",522,289,42,12,24,0.431
6,Tennessee ,58,"1,518",475,242,64,10,17,0.426
7,Washington ,52,"1,338",430,219,26,10,23,0.424
8,Oregon ,66,"1,765",604,230,31,17,37,0.423
9,Michigan ,62,"1,699",578,206,53,23,45,0.423
10,Auburn ,62,"1,586",483,270,66,19,24,0.422
11,Notre Dame ,54,"1,491",533,147,25,21,50,0.419
12,Florida St. ,64,"1,640",498,318,14,21,9,0.416
13,Arizona St. ,59,"1,530",492,234,19,15,11,0.414
14,Texas ,58,"1,552",517,203,30,26,21,0.414
15,LSU ,62,"1,639",514,238,44,10,33,0.412
16,Texas Southern ,51,"1,376",460,160,33,17,33,0.412
17,Georgia ,64,"1,582",484,235,60,17,29,0.411
18,Arkansas ,55,"1,423",432,231,36,15,17,0.410
19,Idaho St. ,55,"1,555",532,165,30,25,23,0.410
20,New Mexico St. ,54,"1,399",441,209,19,12,24,0.408
21,Colorado St. ,49,"1,327",415,183,44,21,29,0.408
22,Stanford ,55,"1,488",470,205,35,21,13,0.406
23,Louisiana ,60,"1,680",507,268,33,16,4,0.405
24,Alabama ,66,"1,750",550,241,38,20,36,0.405
25,Tulsa ,62,"1,702",553,206,29,15,30,0.404
26,Jacksonville St. ,55,"1,448",460,173,46,18,30,0.403
27,UNC Greensboro ,57,"1,547",483,174,61,12,34,0.400
28,Alabama St. ,42,"1,089",349,108,43,11,39,0.400
29,Boise St. ,52,"1,337",382,223,34,6,35,0.399
30,Utah ,55,"1,499",477,174,35,20,32,0.397
