Rank,College,G,W-L,R,PG
1,Oklahoma ,61,57-4,476,7.80
2,Alabama ,60,45-15,411,6.85
3,Longwood ,61,41-20,415,6.80
4,Arizona St. ,62,50-12,416,6.71
5,Georgia ,61,40-21,406,6.66
6,Michigan ,64,51-13,425,6.64
6,Tennessee ,64,52-12,425,6.64
8,Louisiana ,62,47-15,410,6.61
9,Ball St. ,54,37-17,354,6.56
10,Louisville ,60,47-13,390,6.50
11,Florida ,67,58-9,433,6.46
12,Idaho St. ,52,29-23,336,6.46
13,South Alabama ,57,48-9,353,6.19
14,Temple ,58,32-26,358,6.17
15,Norfolk St. ,53,31-22,326,6.15
16,Oregon ,61,50-11,374,6.13
17,Maryland ,57,31-26,348,6.11
18,Texas A&M ,60,42-18,366,6.10
18,Kansas ,50,34-16,305,6.10
20,USC Upstate ,54,42-12,329,6.09
21,Missouri ,52,38-14,312,6.00
22,Texas Southern ,49,33-16,291,5.94
23,Texas Tech ,56,30-26,330,5.89
24,UCLA ,60,40-20,352,5.87
25,Texas ,61,51-10,356,5.84
26,Savannah St. ,50,26-24,288,5.76
27,South Carolina ,59,34-25,338,5.73
28,Washington ,62,45-17,355,5.73
29,Siena ,47,21-26,269,5.72
30,Notre Dame ,58,43-15,330,5.69
31,Central Conn. St. ,51,36-15,289,5.67
32,Hofstra ,59,46-13,329,5.58
33,Illinois St. ,48,28-20,267,5.56
34,Georgia Tech ,55,25-30,304,5.53
35,Stanford ,60,39-21,330,5.50
36,Florida St. ,63,44-19,346,5.49
37,Binghamton ,47,30-17,257,5.47
38,FGCU ,54,36-18,294,5.44
39,Arkansas ,56,36-20,304,5.43
39,Prairie View ,42,19-23,228,5.43
41,SIUE ,48,35-13,260,5.42
42,Campbell ,60,39-21,322,5.37
43,Nevada ,53,30-23,284,5.36
44,Fordham ,59,36-23,311,5.27
45,Southern Ill. ,52,25-27,274,5.27
46,Ohio St. ,56,34-22,295,5.27
47,Northwestern ,53,31-22,278,5.25
48,Houston Baptist ,42,17-25,220,5.24
49,Central Ark. ,58,37-21,303,5.22
50,Nebraska ,61,45-16,318,5.21
51,Hawaii ,58,45-13,302,5.21
52,Sam Houston St. ,61,37-24,317,5.20
53,Iowa St. ,55,21-34,284,5.16
54,Auburn ,53,30-23,273,5.15
55,NC State ,56,35-20-1,288,5.14
56,Mercer ,53,24-29,272,5.13
57,Georgia St. ,55,36-19,282,5.13
58,South Dakota ,48,28-20,246,5.13
59,Hampton ,60,34-26,306,5.10
60,UNC Greensboro ,57,38-19,290,5.09
61,Houston ,61,41-20,308,5.05
62,James Madison ,59,42-17,297,5.03
63,Tulsa ,59,42-16-1,296,5.02
64,Jackson St. ,57,28-29,285,5.00
65,Monmouth ,47,31-16,234,4.98
66,Wisconsin ,57,44-13,283,4.96
67,Charlotte ,50,24-26,247,4.94
68,LSU ,58,42-16,284,4.90
69,Iowa ,54,30-24,263,4.87
70,North Carolina ,61,40-21,297,4.87
71,DePaul ,53,32-21,258,4.87
72,Princeton ,45,26-19,218,4.84
73,Eastern Ky. ,56,36-20,271,4.84
74,Delaware St. ,54,20-34,261,4.83
74,Southeastern La. ,54,31-23,261,4.83
76,UMES ,47,14-33,227,4.83
77,Penn ,50,30-20,241,4.82
78,Saint Joseph's ,48,37-10-1,230,4.79
79,Marist ,56,30-26,268,4.79
80,Dartmouth ,46,26-20,220,4.78
81,BYU ,58,33-25,277,4.78
81,Oregon St. ,58,34-24,277,4.78
83,UT Martin ,57,37-20,272,4.77
84,Colorado St. ,49,25-24,233,4.76
85,Western Ky. ,61,43-18,290,4.75
86,Massachusetts ,43,18-25,204,4.74
87,Jacksonville St. ,57,30-27,270,4.74
88,Boise St. ,52,25-26-1,246,4.73
89,Morehead St. ,49,24-25,231,4.71
90,Northwestern St. ,55,40-15,258,4.69
91,Ohio ,57,28-29,267,4.68
91,California ,57,38-19,267,4.68
93,Coastal Carolina ,59,37-22,276,4.68
93,Baylor ,59,42-17,276,4.68
95,Long Beach St. ,57,37-20,266,4.67
96,Arizona ,59,33-26,274,4.64
97,New Mexico St. ,57,37-20,264,4.63
98,Coppin St. ,43,18-25,199,4.63
98,Bryant ,43,21-22,199,4.63
100,McNeese ,53,38-15,244,4.60
100,Presbyterian ,53,22-31,244,4.60
102,Drake ,49,29-20,224,4.57
103,Kentucky ,62,41-21,283,4.56
104,Winthrop ,57,28-29,260,4.56
105,UIC ,45,21-24,205,4.56
106,Stetson ,53,31-22,241,4.55
107,Purdue Fort Wayne ,50,34-16,227,4.54
108,Utah ,55,24-30-1,249,4.53
109,Virginia Tech ,59,38-21,267,4.53
110,Lipscomb ,59,35-24,266,4.51
111,Albany ,52,37-15,233,4.48
112,Louisiana Tech ,53,27-26,237,4.47
113,San Jose St. ,59,42-17,263,4.46
114,Central Mich. ,53,33-20,236,4.45
115,Eastern Ill. ,50,36-14,222,4.44
116,Western Ill. ,37,14-23,164,4.43
117,Valparaiso ,62,35-27,274,4.42
118,Harvard ,44,22-22,194,4.41
119,Lehigh ,54,37-16-1,238,4.41
120,Jacksonville ,52,30-22,229,4.40
121,Minnesota ,55,36-19,242,4.40
122,Appalachian St. ,53,31-22,233,4.40
123,Providence ,52,23-28-1,228,4.38
124,Fairfield ,50,29-21,219,4.38
125,Seton Hall ,51,21-30,223,4.37
126,Missouri St. ,52,22-30,227,4.37
127,George Washington ,50,27-23,218,4.36
128,Rutgers ,56,30-26,244,4.36
129,Mississippi Val. ,55,25-30,239,4.35
130,Cornell ,50,21-29,217,4.34
131,Chattanooga ,53,26-27,230,4.34
132,Mississippi St. ,57,33-24,247,4.33
133,North Dakota St. ,49,33-16,212,4.33
134,Ole Miss ,56,25-31,242,4.32
135,Troy ,53,21-32,229,4.32
136,Kansas City ,45,18-27,194,4.31
137,Manhattan ,46,21-25,198,4.30
138,Canisius ,47,22-25,202,4.30
138,Northern Colo. ,47,16-30-1,202,4.30
138,Creighton ,47,29-18,202,4.30
141,Toledo ,53,17-36,227,4.28
141,North Texas ,53,29-24,227,4.28
143,Dayton ,46,22-24,197,4.28
144,Col. of Charleston ,57,37-20,244,4.28
145,San Diego St. ,56,36-20,239,4.27
146,Boston College ,52,14-38,221,4.25
147,Saint Louis ,51,28-23,216,4.24
148,Penn St. ,50,16-34,211,4.22
149,Youngstown St. ,46,19-27,194,4.22
150,Alabama A&M ,38,11-27,160,4.21
151,Liberty ,57,20-37,238,4.18
152,Marshall ,58,36-22,241,4.16
153,Delaware ,57,35-22,236,4.14
154,Bethune-Cookman ,53,18-35,219,4.13
155,Quinnipiac ,52,17-35,214,4.12
156,Saint Francis ,55,25-30,226,4.11
157,Loyola Chicago ,47,28-19,193,4.11
158,FIU ,55,27-28,225,4.09
159,Pacific ,56,28-28,227,4.05
159,Radford ,56,20-36,227,4.05
161,Austin Peay ,44,18-26,178,4.05
162,UConn ,53,26-27,214,4.04
163,Syracuse ,52,23-29,209,4.02
164,Bradley ,52,23-29,208,4.00
165,Army West Point ,61,35-26,243,3.98
166,Cleveland St. ,49,22-27,195,3.98
167,UNLV ,52,21-31,206,3.96
