Rank,College,G,AB,TB,SLG PCT
1,Oklahoma ,63,"1,640","1,048",0.639
2,Arizona St. ,55,"1,370",830,0.606
3,Florida St. ,65,"1,673","1,006",0.601
4,Virginia Tech ,58,"1,543",922,0.598
5,James Madison ,61,"1,621",955,0.589
6,Arizona ,62,"1,655",944,0.570
7,Colorado St. ,51,"1,391",769,0.553
8,UCLA ,62,"1,685",922,0.547
9,South Carolina ,57,"1,505",802,0.533
10,Boise St. ,52,"1,432",752,0.525
11,Louisiana ,58,"1,466",763,0.520
12,Texas Tech ,58,"1,512",784,0.519
13,Bradley ,50,"1,327",682,0.514
14,Kentucky ,60,"1,580",808,0.511
15,Southeast Mo. St. ,64,"1,667",850,0.510
16,Georgia ,61,"1,580",803,0.508
17,LSU ,62,"1,595",808,0.507
18,Oklahoma St. ,62,"1,610",813,0.505
19,Illinois ,58,"1,581",797,0.504
20,Drexel ,60,"1,699",854,0.503
21,George Washington ,62,"1,706",856,0.502
22,UIC ,55,"1,434",713,0.497
23,Minnesota ,60,"1,543",765,0.496
24,New Mexico St. ,55,"1,427",705,0.494
25,Notre Dame ,55,"1,466",720,0.491
26,Jacksonville St. ,51,"1,374",673,0.490
27,Marshall ,64,"1,606",785,0.489
28,Ohio ,55,"1,533",749,0.489
29,Michigan ,58,"1,582",766,0.484
30,Mississippi St. ,58,"1,542",746,0.484
31,Alabama ,70,"1,799",870,0.484
32,Saint Francis ,60,"1,672",805,0.481
33,Wisconsin ,57,"1,451",698,0.481
34,Ohio St. ,53,"1,454",698,0.480
35,Auburn ,60,"1,549",738,0.476
36,Coastal Caro. ,60,"1,482",705,0.476
37,Austin Peay ,55,"1,503",714,0.475
38,Georgia Tech ,58,"1,514",718,0.474
39,South Alabama ,49,"1,333",631,0.473
40,Fresno St. ,57,"1,455",688,0.473
41,Western Ky. ,50,"1,282",605,0.472
42,Gardner-Webb ,54,"1,386",654,0.472
43,Missouri ,60,"1,573",738,0.469
44,Seattle U ,57,"1,543",718,0.465
45,St. John's ,48,"1,241",575,0.463
46,Stony Brook ,51,"1,364",631,0.463
47,Fordham ,55,"1,528",701,0.459
48,UTEP ,50,"1,294",593,0.458
49,Southern Ill. ,49,"1,267",580,0.458
50,Louisiana Tech ,61,"1,575",719,0.457
51,Villanova ,53,"1,391",635,0.457
52,Tennessee ,60,"1,548",704,0.455
53,UNLV ,50,"1,364",620,0.455
53,Saint Louis ,52,"1,386",630,0.455
55,USC Upstate ,56,"1,427",648,0.454
56,Eastern Ky. ,57,"1,527",692,0.453
57,Texas ,63,"1,610",727,0.452
58,DePaul ,51,"1,326",598,0.451
59,North Dakota St. ,58,"1,522",686,0.451
60,Virginia ,53,"1,344",605,0.450
61,Wichita St. ,56,"1,459",654,0.448
62,Penn ,39,"1,067",478,0.448
63,Seton Hall ,48,"1,264",565,0.447
64,Arkansas ,58,"1,487",662,0.445
65,Cal St. Fullerton ,56,"1,435",638,0.445
66,Louisville ,58,"1,525",677,0.444
67,Northwestern ,60,"1,512",671,0.444
68,Mount St. Mary's ,54,"1,475",653,0.443
69,Utah Valley ,46,"1,204",533,0.443
70,BYU ,56,"1,470",648,0.441
71,Michigan St. ,50,"1,280",564,0.441
72,Washington ,61,"1,643",723,0.440
73,Utah St. ,47,"1,239",545,0.440
74,Nebraska ,52,"1,342",590,0.440
75,Ball St. ,54,"1,397",614,0.440
76,Miami ,51,"1,386",608,0.439
77,Hawaii ,49,"1,228",538,0.438
78,UNC Greensboro ,56,"1,458",638,0.438
79,UNI ,51,"1,365",597,0.437
80,Sacramento St. ,56,"1,546",676,0.437
81,Campbell ,54,"1,432",625,0.436
82,South Dakota St. ,56,"1,511",656,0.434
83,Charlotte ,50,"1,313",568,0.433
