Rank,College,G,W-L,SB,CS,PG
1,La.-Monroe ,52,25-27,137,22,2.63
2,Binghamton ,47,22-25,120,23,2.55
3,Army West Point ,51,23-28,115,22,2.25
4,UCF ,61,43-18,132,42,2.16
5,Jackson St. ,57,28-29,122,38,2.14
6,Akron ,43,27-16,88,21,2.05
7,Wisconsin ,56,36-20,114,28,2.04
8,Marshall ,59,28-31,118,29,2.00
8,Boise St. ,52,30-22,104,20,2.00
10,East Carolina ,48,28-20,93,11,1.94
11,Harvard ,44,28-15-1,83,13,1.89
12,Western Ky. ,58,33-24-1,109,18,1.88
13,Boston U. ,57,36-21,105,15,1.84
14,George Washington ,50,18-31-1,91,25,1.82
15,Florida A&M ,53,24-29,94,15,1.77
16,Indiana St. ,53,27-26,93,36,1.75
17,McNeese ,57,40-17,100,20,1.75
18,Missouri ,61,43-18,106,19,1.74
19,Florida ,67,55-12,115,14,1.72
20,Texas Tech ,54,35-19,91,20,1.69
21,Albany ,47,34-13,78,14,1.66
22,UT Martin ,55,27-27-1,90,33,1.64
23,Liberty ,57,11-46,92,24,1.61
24,LSU ,62,38-24,99,14,1.60
25,Hampton ,49,29-20,78,21,1.59
26,Northwestern ,53,35-18,84,12,1.58
27,Western Ill. ,48,19-28-1,76,13,1.58
28,Coastal Caro. ,56,41-15,88,15,1.57
29,Marist ,51,27-24,80,11,1.57
30,Central Mich. ,56,34-22,86,16,1.54
31,Oakland ,39,16-23,59,6,1.51
32,Saint Francis ,49,26-23,73,26,1.49
33,Mississippi St. ,60,39-21,88,22,1.47
34,Sam Houston St. ,54,27-27,78,24,1.44
35,UC Riverside ,54,23-31,77,12,1.43
36,Washington ,52,37-15,74,12,1.42
36,Fresno St. ,52,31-21,74,17,1.42
38,Texas ,58,35-23,82,17,1.41
39,Texas Southern ,51,31-20,72,7,1.41
40,Longwood ,56,40-16,79,17,1.41
41,Oklahoma St. ,54,26-28,76,10,1.41
42,UMES ,47,7-40,66,21,1.40
43,Georgia Tech ,47,23-24,65,6,1.38
44,IUPUI ,48,24-24,66,11,1.38
45,Bucknell ,49,23-26,67,13,1.37
46,Toledo ,53,19-34,72,20,1.36
47,Delaware ,48,23-25,64,15,1.33
47,Saint Joseph's ,42,22-20,56,15,1.33
49,Notre Dame ,54,41-13,71,14,1.31
50,Eastern Ill. ,55,38-17,72,21,1.31
51,San Diego St. ,59,40-19,77,21,1.31
52,Alabama ,66,53-13,86,19,1.30
53,Prairie View ,42,13-29,54,9,1.29
54,South Fla. ,60,43-17,77,19,1.28
55,Alcorn ,47,8-39,60,17,1.28
56,Stetson ,53,39-14,67,17,1.26
57,Idaho St. ,55,35-20,69,11,1.25
58,Alabama A&M ,44,11-33,55,13,1.25
59,Alabama St. ,42,17-25,52,8,1.24
60,Minnesota ,56,44-12,69,10,1.23
60,Houston ,56,33-23,69,17,1.23
62,Southern U. ,48,11-37,59,11,1.23
63,Campbell ,58,31-27,71,18,1.22
64,Missouri St. ,55,28-27,67,18,1.22
65,Utah Valley ,60,18-42,73,16,1.22
66,Mercer ,56,37-19,68,12,1.21
67,UNCW ,52,18-34,63,23,1.21
67,Saint Peter's ,52,10-42,63,16,1.21
69,Holy Cross ,38,12-26,46,13,1.21
69,CSUN ,57,31-26,69,21,1.21
71,James Madison ,60,45-15,72,41,1.20
72,Oregon ,66,56-9-1,79,19,1.20
73,South Alabama ,56,42-14,67,10,1.20
74,George Mason ,43,22-21,51,8,1.19
75,North Dakota St. ,54,36-18,64,17,1.19
76,St. Bonaventure ,40,7-33,47,12,1.18
77,Louisiana Tech ,52,19-33,61,17,1.17
78,Hofstra ,49,34-15,57,5,1.16
79,Coppin St. ,40,13-27,46,10,1.15
80,Appalachian St. ,51,19-32,58,10,1.14
81,North Texas ,53,31-22,60,19,1.13
81,SIUE ,53,30-23,60,19,1.13
83,Bryant ,54,32-22,61,16,1.13
84,Oklahoma ,64,51-13,72,10,1.13
84,Purdue ,56,27-28-1,63,15,1.13
86,Wichita St. ,55,34-21,61,11,1.11
87,Baylor ,65,49-16,72,24,1.11
88,Lipscomb ,56,41-15,62,13,1.11
89,Grambling ,35,11-24,38,9,1.09
90,Michigan ,62,47-15,67,12,1.08
91,Col. of Charleston ,56,40-16,60,13,1.07
91,Samford ,56,38-18,60,9,1.07
93,Weber St. ,47,22-25,50,11,1.06
94,Seton Hall ,49,15-34,52,22,1.06
95,Saint Louis ,51,30-21,54,11,1.06
96,Tennessee ,58,46-12,61,13,1.05
97,Evansville ,51,19-32,53,21,1.04
98,FIU ,53,33-20,55,14,1.04
99,Texas St. ,56,26-30,58,18,1.04
100,SFA ,53,26-27,54,17,1.02
101,Southern Ill. ,52,28-24,52,7,1.00
101,Stanford ,55,30-25,55,8,1.00
101,UNI ,48,28-20,48,10,1.00
101,UNLV ,54,26-28,54,9,1.00
101,Florida St. ,64,55-9,64,18,1.00
106,Drake ,52,19-33,51,11,0.98
107,South Dakota St. ,47,11-36,46,12,0.98
108,Maryland ,46,11-35,45,10,0.98
109,DePaul ,55,44-11,53,19,0.96
110,Buffalo ,52,30-22,50,20,0.96
111,Virginia Tech ,59,36-23,56,11,0.95
112,Bethune-Cookman ,56,25-31,53,10,0.95
113,Arkansas ,55,27-28,52,9,0.95
114,Northern Colo. ,54,20-34,51,13,0.94
115,Ole Miss ,53,22-31,50,11,0.94
116,Fairleigh Dickinson ,42,21-21,39,10,0.93
117,Elon ,54,24-29-1,50,10,0.93
118,Illinois St. ,53,25-28,49,8,0.92
119,Butler ,52,24-28,48,16,0.92
120,Mississippi Val. ,49,14-35,45,11,0.92
120,Robert Morris ,49,24-25,45,17,0.92
122,Tennessee Tech ,59,25-34,54,15,0.92
123,Iowa St. ,55,23-31-1,50,16,0.91
124,Fairfield ,42,20-22,38,17,0.90
125,South Dakota ,51,29-22,46,11,0.90
126,UCLA ,60,52-8,54,31,0.90
127,Central Ark. ,59,25-34,53,14,0.90
128,Siena ,55,29-26,49,9,0.89
128,Furman ,55,29-26,49,16,0.89
130,UTSA ,54,24-30,48,6,0.89
131,Nicholls St. ,53,19-34,47,11,0.89
132,Ohio ,58,32-26,51,19,0.88
133,Boston College ,53,30-23,46,18,0.87
134,Gardner-Webb ,52,16-36,45,7,0.87
135,Northern Ill. ,57,26-31,49,19,0.86
136,Kansas City ,56,20-36,48,13,0.86
137,Troy ,54,22-30-2,46,10,0.85
138,Villanova ,52,18-34,44,10,0.85
139,Eastern Ky. ,51,29-22,43,18,0.84
140,Illinois ,50,24-26,42,19,0.84
141,Georgia St. ,56,30-26,47,8,0.84
141,Dayton ,56,27-29,47,9,0.84
143,Rutgers ,47,28-19,39,15,0.83
144,Radford ,52,22-30,43,5,0.83
145,BYU ,57,34-23,47,14,0.82
146,UIC ,44,16-28,36,11,0.82
146,Murray St. ,55,32-23,45,13,0.82
148,Arizona St. ,59,46-12-1,48,10,0.81
149,South Carolina ,58,36-22,47,9,0.81
150,Penn ,42,19-22-1,34,8,0.81
151,Norfolk St. ,46,20-26,37,7,0.80
152,Middle Tenn. ,55,10-45,44,11,0.80
152,Utah ,55,31-24,44,9,0.80
154,Georgia ,64,49-15,51,15,0.80
155,UC Santa Barbara ,54,34-20,43,13,0.80
155,New Mexico St. ,54,31-23,43,19,0.80
157,North Florida ,49,26-23,39,4,0.80
158,N.C. Central ,44,9-35,35,22,0.80
159,Stony Brook ,52,34-18,41,14,0.79
160,Virginia ,51,8-43,40,19,0.78
160,St. John's ,51,28-23,40,15,0.78
162,Maine ,37,18-19,29,15,0.78
163,Towson ,54,29-25,42,6,0.78
164,Syracuse ,49,24-25,38,11,0.78
164,Belmont ,49,13-36,38,9,0.78
166,Kennesaw St. ,53,24-29,41,11,0.77
167,Drexel ,44,17-27,34,6,0.77
168,Charleston So. ,61,27-33-1,47,13,0.77
169,CSU Bakersfield ,56,15-40-1,43,15,0.77
170,Brown ,38,4-34,29,11,0.76
171,Morgan St. ,29,8-21,22,14,0.76
172,Creighton ,53,29-24,40,13,0.75
173,Indiana ,57,17-39-1,43,14,0.75
174,Louisiana ,60,49-10-1,45,10,0.75
175,Jacksonville St. ,55,40-15,41,7,0.75
176,Wright St. ,51,19-32,38,17,0.75
177,Detroit Mercy ,49,7-42,36,11,0.73
178,A&M-Corpus Christi ,52,16-36,38,13,0.73
178,Nevada ,52,27-25,38,11,0.73
180,Cal St. Fullerton ,55,33-21-1,40,15,0.73
180,Cleveland St. ,44,24-20,32,22,0.73
182,Quinnipiac ,47,11-36,34,10,0.72
183,NC State ,54,36-18,39,10,0.72
184,FGCU ,60,33-26-1,43,9,0.72
185,Tennessee St. ,56,18-38,40,13,0.71
186,Delaware St. ,52,35-17,37,9,0.71
187,Georgetown ,48,26-22,34,7,0.71
188,UC Davis ,54,21-33,38,14,0.70
189,North Carolina ,50,24-26,35,14,0.70
190,Cal Poly ,52,33-19,36,6,0.69
191,Pacific ,48,20-28,33,4,0.69
192,Mount St. Mary's ,44,19-24-1,30,11,0.68
192,N.C. A&T ,44,16-28,30,5,0.68
194,Lamar University ,50,20-30,34,31,0.68
194,Saint Mary's ,50,23-27,34,18,0.68
196,Princeton ,43,17-26,29,11,0.67
196,Colgate ,43,13-30,29,11,0.67
198,Kentucky ,69,50-19,46,20,0.67
198,Southeast Mo. St. ,45,11-34,30,7,0.67
200,Green Bay ,41,27-14,27,8,0.66
201,Hartford ,38,8-30,25,10,0.66
202,Colorado St. ,49,32-17,32,9,0.65
203,Southern Utah ,54,23-31,35,9,0.65
204,Purdue Fort Wayne ,55,40-15,35,10,0.64
204,USC Upstate ,55,46-9,35,10,0.64
206,Bowling Green ,52,23-28-1,33,13,0.63
206,Presbyterian ,52,26-26,33,8,0.63
208,Yale ,41,8-33,26,6,0.63
209,South Carolina St. ,38,10-28,24,10,0.63
210,UTEP ,51,17-34,32,5,0.63
211,La Salle ,42,18-24,26,9,0.62
212,New Mexico ,52,16-36,32,12,0.62
213,Nebraska ,62,44-18,38,14,0.61
214,Savannah St. ,46,25-21,28,9,0.61
215,Canisius ,48,18-30,29,11,0.60
216,Fla. Atlantic ,55,33-22,33,14,0.60
216,Central Conn. St. ,45,29-16,27,6,0.60
218,ETSU ,52,20-32,31,5,0.60
218,Northwestern St. ,52,30-22,31,9,0.60
220,Texas A&M ,59,37-22,35,8,0.59
221,Pittsburgh ,44,15-29,26,7,0.59
222,Ga. Southern ,56,35-21,33,7,0.59
223,Sacramento St. ,46,25-21,27,6,0.59
224,UT Arlington ,54,21-33,31,5,0.57
225,Providence ,35,6-29,20,7,0.57
225,LIU Brooklyn ,56,22-34,32,12,0.57
225,Memphis ,56,23-33,32,14,0.57
228,Winthrop ,53,27-26,30,15,0.57
229,Youngstown St. ,54,30-24,30,1,0.56
230,Michigan St. ,49,12-37,27,14,0.55
231,Columbia ,44,22-22,24,5,0.55
232,Ball St. ,52,33-19,28,11,0.54
232,California ,52,23-29,28,11,0.54
234,Oregon St. ,49,18-31,26,8,0.53
235,Long Beach St. ,58,39-19,30,7,0.52
236,Southern Miss. ,53,22-31,27,8,0.51
236,Western Caro. ,53,19-34,27,11,0.51
238,Miami ,50,22-28,25,9,0.50
239,Kansas ,57,34-23,28,5,0.49
240,Iowa ,47,16-30-1,23,13,0.49
241,Monmouth ,43,22-21,21,9,0.49
242,Tulsa ,62,53-9,30,7,0.48
243,Louisville ,58,36-22,28,6,0.48
244,Bradley ,59,27-32,28,13,0.47
245,Chattanooga ,55,34-21,26,5,0.47
246,Kent St. ,45,25-20,21,6,0.47
246,Temple ,45,15-30,21,4,0.47
248,Seattle U ,52,18-34,24,8,0.46
249,Eastern Mich. ,50,13-37,23,11,0.46
249,Dartmouth ,50,31-19,23,5,0.46
251,UNC Greensboro ,57,31-26,26,3,0.46
252,UConn ,51,13-38,23,8,0.45
253,Valparaiso ,58,24-34,25,6,0.43
254,Rider ,47,6-41,20,8,0.43
255,Morehead St. ,52,15-36-1,22,10,0.42
256,Hawaii ,50,22-28,21,3,0.42
257,Massachusetts ,39,16-22-1,16,5,0.41
258,Penn St. ,49,14-35,20,2,0.41
259,Lafayette ,42,10-32,17,8,0.40
260,San Diego ,47,26-21,19,16,0.40
261,Austin Peay ,52,20-32,21,5,0.40
262,Utah St. ,55,18-37,22,7,0.40
262,Arizona ,60,44-16,24,4,0.40
264,Loyola Chicago ,56,25-31,22,4,0.39
265,Portland St. ,44,8-36,17,6,0.39
266,Ohio St. ,55,30-25,21,8,0.38
267,Lehigh ,50,30-20,19,9,0.38
268,Ark.-Pine Bluff ,46,9-37,17,7,0.37
269,Fordham ,56,36-20,20,10,0.36
270,Jacksonville ,49,20-29,17,3,0.35
271,San Jose St. ,54,30-24,18,5,0.33
272,Manhattan ,55,26-29,18,9,0.33
273,Western Mich. ,51,17-34,16,3,0.31
