Rank,College,G,SB,CS,PG
1,Marshall ,50,153,41,3.06
2,La.-Monroe ,52,143,27,2.75
3,Jackson St. ,50,136,29,2.72
4,McNeese ,56,131,36,2.34
5,Wisconsin ,52,118,25,2.27
6,North Dakota St. ,56,121,31,2.16
7,George Washington ,48,102,25,2.13
8,Prairie View ,36,75,6,2.08
9,Oklahoma St. ,52,107,25,2.06
10,St. Bonaventure ,39,80,12,2.05
11,Georgia ,61,122,10,2.00
12,Missouri ,58,111,10,1.91
13,Stetson ,50,94,17,1.88
14,Toledo ,56,104,25,1.86
15,Boston U. ,44,80,10,1.82
16,UT Martin ,50,90,34,1.80
17,Marist ,54,97,17,1.80
18,Mississippi St. ,57,101,14,1.77
19,Idaho St. ,52,88,9,1.69
20,Texas Tech ,51,86,42,1.69
21,Detroit Mercy ,50,84,24,1.68
22,Ole Miss ,55,91,22,1.65
23,Minnesota ,60,99,20,1.65
24,UCF ,59,96,20,1.63
25,South Fla. ,56,91,17,1.63
26,Florida A&M ,57,91,19,1.60
27,Youngstown St. ,48,76,15,1.58
28,Baylor ,58,91,21,1.57
29,Purdue ,56,87,18,1.55
30,Oregon ,59,91,15,1.54
30,Liberty ,59,91,21,1.54
32,James Madison ,58,88,30,1.52
33,FGCU ,53,80,12,1.51
34,Mercer ,59,89,15,1.51
35,Lipscomb ,56,84,15,1.50
36,Canisius ,45,67,24,1.49
37,Harvard ,44,65,21,1.48
38,IUPUI ,51,75,15,1.47
39,Longwood ,59,86,20,1.46
40,Kennesaw St. ,51,74,16,1.45
41,CSUN ,58,84,18,1.45
42,Bucknell ,55,79,16,1.44
43,Alabama ,63,90,17,1.43
43,Central Ark. ,56,80,5,1.43
45,Alabama St. ,54,77,18,1.43
46,Fla. Atlantic ,59,84,17,1.42
47,Central Mich. ,50,71,22,1.42
48,Oakland ,51,72,8,1.41
49,Notre Dame ,57,80,8,1.40
50,Florida ,67,94,11,1.40
51,Campbell ,55,76,24,1.38
52,Jacksonville ,56,77,17,1.38
53,Ball St. ,59,80,17,1.36
54,Middle Tenn. ,51,69,14,1.35
55,Lamar University ,54,73,20,1.35
56,Boston College ,51,68,13,1.33
57,Winthrop ,51,66,16,1.29
58,UMES ,39,50,9,1.28
59,Louisiana Tech ,50,64,16,1.28
60,Albany ,48,61,20,1.27
61,Southern U. ,30,38,12,1.27
61,Binghamton ,45,57,17,1.27
63,Delaware ,53,67,24,1.26
64,Colgate ,38,48,9,1.26
64,Grambling ,38,48,4,1.26
66,Penn ,42,53,11,1.26
67,Alabama A&M ,43,54,4,1.26
68,BYU ,54,67,12,1.24
69,Akron ,51,63,28,1.24
70,Delaware St. ,44,54,4,1.23
71,Bethune-Cookman ,51,62,8,1.22
72,Nicholls St. ,48,58,9,1.21
73,Kent St. ,54,65,16,1.20
74,Michigan ,68,81,14,1.19
75,Louisiana ,54,64,11,1.19
76,N.C. A&T ,46,54,6,1.17
77,Saint Louis ,54,62,17,1.15
78,Wichita St. ,57,65,14,1.14
79,SIUE ,59,67,31,1.14
80,Col. of Charleston ,53,60,9,1.13
80,South Alabama ,53,60,6,1.13
82,Coastal Carolina ,57,64,10,1.12
83,Saint Peter's ,42,47,13,1.12
84,Maine ,44,49,8,1.11
85,USC Upstate ,54,60,9,1.11
86,Kansas City ,55,61,19,1.11
87,Wright St. ,56,62,14,1.11
