Rank,College,W,L,T,PCT
1,Minnesota ,56,5,0,0.918
2,Oklahoma ,61,9,0,0.871
3,Oregon ,54,8,0,0.871
4,Florida St. ,55,8,1,0.867
5,James Madison ,52,8,0,0.867
6,Louisiana ,47,8,0,0.855
7,Florida ,58,10,0,0.853
8,Arizona ,52,9,0,0.852
9,Saint Francis ,49,12,0,0.803
9,Auburn ,49,12,0,0.803
11,Tennessee ,48,12,0,0.800
12,Texas A&M ,47,13,0,0.783
12,BYU ,47,13,0,0.783
14,Washington ,50,14,0,0.781
15,Marshall ,42,12,0,0.778
16,USC Upstate ,45,13,0,0.776
17,Jacksonville St. ,41,12,0,0.774
18,Michigan ,43,13,1,0.763
19,Baylor ,48,15,0,0.762
19,UCLA ,48,15,0,0.762
21,SIUE ,41,13,0,0.759
22,FIU ,46,15,0,0.754
23,Fordham ,46,17,0,0.730
24,Alabama ,46,18,0,0.719
25,Texas St. ,42,17,0,0.712
26,Central Mich. ,37,15,0,0.712
27,Tulsa ,41,17,0,0.707
28,McNeese ,43,18,0,0.705
29,Utah ,37,16,0,0.698
30,LSU ,48,22,0,0.686
31,Ole Miss ,43,20,0,0.683
32,Ohio ,42,20,0,0.677
33,Wisconsin ,35,17,0,0.673
34,Kentucky ,39,19,0,0.672
35,Liberty ,48,24,0,0.667
35,Kennesaw St. ,40,20,0,0.667
35,St. John's ,32,16,0,0.667
38,UT Martin ,39,20,0,0.661
38,Illinois ,39,20,0,0.661
40,San Jose St. ,37,19,0,0.661
41,Ohio St. ,35,18,0,0.660
42,North Carolina ,40,21,0,0.656
43,Nicholls St. ,37,20,0,0.649
44,Utah St. ,33,18,0,0.647
45,Cal Poly ,38,21,0,0.644
46,Murray St. ,36,20,0,0.643
46,Lehigh ,36,20,0,0.643
46,Lipscomb ,36,20,0,0.643
49,UIC ,39,22,0,0.639
50,South Alabama ,35,20,0,0.636
50,Villanova ,35,20,0,0.636
52,UNI ,33,19,0,0.635
53,UNCW ,35,20,1,0.634
54,San Diego St. ,31,18,0,0.633
55,Army West Point ,36,21,0,0.632
56,Marist ,37,22,0,0.627
57,Weber St. ,37,22,1,0.625
57,Fla. Atlantic ,35,21,0,0.625
59,Boise St. ,33,20,0,0.623
60,Mississippi St. ,36,22,0,0.621
61,Syracuse ,31,19,0,0.620
61,Louisville ,31,19,0,0.620
63,Manhattan ,34,21,0,0.618
64,Wichita St. ,32,20,0,0.615
65,Belmont ,35,22,0,0.614
66,Louisiana Tech ,38,24,0,0.613
67,Northern Ill. ,33,21,0,0.611
68,Elon ,32,21,0,0.604
69,Georgia ,35,23,0,0.603
69,Cal St. Fullerton ,35,23,0,0.603
69,Fresno St. ,35,23,0,0.603
72,Oklahoma St. ,38,25,0,0.603
73,Notre Dame ,34,23,0,0.596
74,Albany ,28,19,0,0.596
75,Montana ,35,24,0,0.593
76,Georgia St. ,36,25,0,0.590
77,Col. of Charleston ,33,23,0,0.589
78,Michigan St. ,34,24,0,0.586
79,CSUN ,31,22,0,0.585
79,Arizona St. ,31,22,0,0.585
79,Boston College ,31,22,0,0.585
82,Coastal Carolina ,32,23,0,0.582
83,Southern Ill. ,33,24,0,0.579
83,Illinois St. ,33,24,0,0.579
85,South Carolina ,34,25,0,0.576
86,Furman ,31,23,0,0.574
87,South Fla. ,32,24,0,0.571
87,California ,32,24,0,0.571
87,Eastern Ill. ,28,21,0,0.571
90,Charlotte ,30,23,0,0.566
91,Arkansas ,31,24,0,0.564
91,UNC Greensboro ,31,24,0,0.564
93,Colorado St. ,28,22,0,0.560
94,Texas ,33,26,0,0.559
95,UCF ,29,23,0,0.558
95,DePaul ,29,23,0,0.558
95,Hawaii ,29,23,0,0.558
98,Kent St. ,35,28,0,0.556
98,Princeton ,25,20,0,0.556
100,Stetson ,26,21,0,0.553
101,UT Arlington ,33,27,0,0.550
101,Penn ,22,18,0,0.550
103,Valparaiso ,28,23,0,0.549
104,Massachusetts ,29,24,0,0.547
104,Miami ,29,24,0,0.547
106,Houston ,30,25,0,0.545
106,Jacksonville ,30,25,0,0.545
106,Nevada ,30,25,0,0.545
109,Texas Southern ,25,21,0,0.543
110,Morehead St. ,26,22,0,0.542
111,Hofstra ,27,23,0,0.540
112,UC Riverside ,28,24,0,0.538
112,George Washington ,28,24,0,0.538
114,New Mexico St. ,29,25,0,0.537
115,Harvard ,22,19,0,0.537
116,Bucknell ,23,20,0,0.535
