Ranking,College,Conference,Record,Road,Neutral,Home,Non-Div-I
1,Oklahoma,Big 12,57-8-0,12-1-0,21-5-0,24-2-0,0-0-0
2,Florida,Southeastern,56-7-0,13-2-0,15-1-0,28-4-0,0-0-0
3,Auburn,Southeastern,58-12-0,12-3-0,11-3-0,35-6-0,0-0-0
4,Michigan,Big Ten,52-7-0,13-1-0,18-5-0,21-1-0,0-0-0
5,Florida St.,Atlantic Coast,55-10-0,15-3-0,12-3-0,28-4-0,0-0-0
6,Alabama,Southeastern,51-14-0,13-6-0,11-4-0,27-4-0,0-0-0
7,James Madison,Colonial,50-6-0,17-2-0,15-2-0,18-2-0,0-0-0
8,LSU,Southeastern,52-18-0,12-5-0,9-4-0,31-9-0,0-0-0
9,Washington,Pac-12,39-15-0,13-6-0,13-3-0,13-6-0,0-0-0
10,Oregon,Pac-12,48-10-0,14-3-0,17-2-0,17-5-0,0-0-0
11,Missouri,Southeastern,42-16-0,14-7-0,14-4-0,14-5-0,0-0-0
12,UL Lafayette,Sun Belt,46-9-0,14-8-0,8-0-0,24-1-0,0-0-0
13,UCLA,Pac-12,40-16-1,12-4-1,11-7-0,17-5-0,0-0-0
14,Baylor,Big 12,45-14-0,14-4-0,13-2-0,18-8-0,0-0-0
15,Tennessee,Southeastern,43-16-0,7-9-0,12-4-0,24-3-0,0-0-0
16,Georgia,Southeastern,46-20-0,9-8-0,14-4-0,23-8-0,0-0-0
17,Texas A&M,Southeastern,39-20-0,5-12-0,10-2-0,24-6-0,0-0-0
18,Kentucky,Southeastern,45-14-0,20-3-0,12-4-0,13-7-0,0-0-0
19,Arizona,Pac-12,40-21-0,10-10-0,8-3-0,22-8-0,0-0-0
20,Minnesota,Big Ten,43-14-0,16-7-0,19-5-0,8-2-0,0-0-0
21,Fresno St.,Mountain West,42-12-1,12-1-0,13-9-1,17-2-0,0-0-0
22,South Fla.,AAC,45-16-0,9-2-0,8-5-0,28-9-0,0-0-0
23,Utah,Pac-12,35-21-0,6-13-0,17-5-0,12-3-0,0-0-0
24,South Carolina,Southeastern,38-23-0,7-12-0,8-2-0,23-9-0,0-0-0
25,Cal St. Fullerton,Big West,45-16-0,11-3-0,9-5-0,25-8-0,0-0-0
26,UCF,AAC,38-22-0,6-8-0,6-7-0,26-7-0,0-0-0
27,Ole Miss,Southeastern,41-22-0,11-12-0,9-2-0,21-8-0,0-0-0
28,Fla. Atlantic,Conference USA,51-9-0,14-0-0,8-3-0,29-6-0,0-0-0
29,Oregon St.,Pac-12,30-20-1,6-7-0,19-6-1,5-7-0,0-0-0
30,Texas,Big 12,38-16-0,7-8-0,7-3-0,24-5-0,0-0-0
31,Oklahoma St.,Big 12,32-26-0,12-12-0,7-10-0,13-4-0,0-0-0
32,Notre Dame,Atlantic Coast,43-13-0,11-5-0,19-5-0,13-3-0,0-0-0
33,McNeese St.,Southland,43-14-0,16-10-0,11-2-0,16-2-0,0-0-0
34,Nebraska,Big Ten,35-21-0,9-9-0,15-7-0,11-5-0,0-0-0
35,California,Pac-12,33-24-1,14-9-0,11-9-0,8-6-1,0-0-0
36,North Carolina,Atlantic Coast,32-25-0,12-10-0,5-6-0,15-9-0,0-0-0
37,Long Beach St.,Big West,33-22-0,11-4-0,14-12-0,8-6-0,0-0-0
38,Arizona St.,Pac-12,31-26-0,2-11-0,4-3-0,25-12-0,0-0-0
39,Mississippi St.,Southeastern,26-31-0,4-13-0,6-4-0,16-14-0,0-0-0
40,Ohio St.,Big Ten,34-20-1,12-9-1,12-7-0,10-4-0,0-0-0
41,Tulsa,AAC,35-21-0,10-9-0,10-6-0,15-6-0,0-0-0
42,Texas St.,Sun Belt,40-22-0,11-10-0,13-6-0,16-6-0,0-0-0
43,Wichita St.,Missouri Valley,36-21-0,15-12-0,9-5-0,12-4-0,0-0-0
44,Virginia Tech,Atlantic Coast,29-28-0,9-12-0,2-11-0,18-5-0,0-0-0
45,Northwestern,Big Ten,27-28-0,9-8-0,10-15-0,8-5-0,0-0-0
46,South Ala.,Sun Belt,33-18-0,8-9-0,6-1-0,19-8-0,0-0-0
47,Illinois,Big Ten,36-23-0,9-11-0,17-7-0,10-5-0,0-0-0
48,Kansas,Big 12,31-20-0,5-11-0,9-4-0,17-5-0,0-0-0
49,Louisville,Atlantic Coast,35-17-0,10-6-0,6-6-0,19-5-0,0-0-0
50,BYU,West Coast,36-21-0,9-8-0,17-10-0,10-3-0,0-0-0
51,Jacksonville St.,OVC,43-17-0,15-6-0,12-8-0,16-3-0,0-0-0
52,Samford,Southern,40-20-0,14-8-0,8-8-0,18-4-0,0-0-0
53,USC Upstate,Atlantic Sun,43-15-0,9-9-0,8-1-0,26-5-0,0-0-0
54,North Dakota St.,Summit League,39-15-0,13-5-0,14-9-0,12-1-0,0-0-0
55,Grand Canyon,Western Athletic,35-15-0,11-1-0,11-8-0,13-6-0,0-0-0
