Fielding_Percentage,Scoring,Hit_Batters,Earned_Run_Average,Triples_per_Game,Home_Runs_per_game,Slugging_Percentage,Double_Plays_per_Game,On_Base_Percentage,Stolen_Bases_per_Game,Strikeout-to-Walk_Ratio,Batting_Average,Doubles_per_Game,Shutouts,Team_Strikeouts_Per_Seven_Innings,Conf__ACC,Conf__ASUN,Conf__America East,Conf__Atlantic 10,Conf__Big 12,Conf__Big East,Conf__Big Sky,Conf__Big South,Conf__Big Ten,Conf__Big West,Conf__C-USA,Conf__CAA,Conf__Horizon,Conf__IVY,Conf__Ivy,Conf__MAAC,Conf__MAC,Conf__MEAC,Conf__MVC,Conf__MWC,Conf__NEC,Conf__OVC,Conf__Pac-12,Conf__Patriot,Conf__SEC,Conf__SWAC,Conf__SoCon,Conf__Southland,Conf__Summit,Conf__Sun Belt,Conf__WAC,Conf__WCC
0.984,7.3,14.0,1.4,0.3,1.83,0.639,0.25,0.435,0.97,6.5,0.344,1.6,28.0,7.098000000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.974,7.03,42.0,1.43,0.21,1.26,0.547,0.23,0.416,0.98,5.52,0.339,1.45,20.0,7.160000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.98,5.25,24.0,1.47,0.15,0.79,0.44,0.21,0.383,0.8,5.79,0.297,1.2,24.0,7.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.976,6.48,22.0,1.61,0.11,1.77,0.57,0.29,0.398,0.23,3.71,0.318,1.18,15.0,7.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.973,6.98,32.0,1.87,0.28,1.62,0.601,0.37,0.421,1.77,3.74,0.33,1.58,22.0,7.215999999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.972,6.17,27.0,2.14,0.17,1.27,0.484,0.21,0.402,2.03,2.41,0.283,0.99,15.0,6.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.976,5.38,27.0,1.67,0.2,1.2,0.496,0.17,0.379,0.68,4.03,0.284,1.45,20.0,7.975999999999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.963,5.03,24.0,1.7,0.21,0.65,0.452,0.27,0.377,0.97,3.82,0.302,1.44,22.0,8.068000000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.971,5.74,37.0,2.75,0.1,1.32,0.505,0.61,0.384,0.92,1.42,0.285,1.55,12.0,6.8340000000000005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.986,4.51,43.0,1.87,0.19,0.82,0.412,0.27,0.376,0.48,4.0,0.264,0.99,25.0,7.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.966,7.57,36.0,1.66,0.13,1.67,0.589,0.21,0.426,0.61,3.36,0.333,1.54,17.0,7.098000000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.974,5.23,53.0,1.95,0.15,0.95,0.444,0.15,0.387,0.77,3.77,0.266,1.33,17.0,8.022,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.97,5.79,35.0,2.5,0.13,1.19,0.507,0.24,0.406,1.21,1.27,0.303,1.39,18.0,6.602000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.978,6.1,42.0,2.0,0.1,0.97,0.484,0.22,0.403,1.14,3.96,0.314,1.55,16.0,7.49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.958,5.18,26.0,2.29,0.38,0.66,0.423,0.39,0.364,2.1,3.91,0.274,1.1,14.0,7.410000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.967,6.35,34.0,3.09,0.18,1.18,0.511,0.5,0.401,1.05,1.56,0.303,1.57,12.0,6.6579999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.978,5.75,22.0,2.21,0.17,0.82,0.455,0.15,0.392,1.13,3.87,0.302,1.17,14.0,6.837999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.973,6.67,14.0,1.48,0.16,1.0,0.52,0.29,0.421,2.91,4.31,0.33,1.5,20.0,7.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.972,6.07,40.0,3.03,0.28,1.12,0.519,0.26,0.406,1.47,1.89,0.319,1.28,12.0,6.614,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.968,5.53,13.0,2.67,0.2,1.1,0.476,0.5,0.369,1.15,2.42,0.286,1.22,13.0,6.644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.972,4.72,37.0,2.88,0.29,0.52,0.398,0.34,0.379,2.14,2.35,0.282,0.78,15.0,7.220000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.973,5.19,22.0,1.96,0.14,0.39,0.387,0.14,0.389,1.61,4.31,0.28,1.22,22.0,7.402000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.959,5.88,30.0,2.95,0.14,1.35,0.533,0.37,0.407,0.74,1.65,0.306,1.67,6.0,6.644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.962,7.47,53.0,4.64,0.22,1.65,0.606,0.36,0.419,1.04,1.16,0.318,1.76,4.0,6.7620000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
