Ranking,College,Conference,Record,Road,Neutral,Home,Non-Div-I
1,Florida St.,ACC,58-12-0,16-5-0,14-1-0,28-6-0,0-0-0
2,Oregon,Pac-12,53-10-0,13-3-0,16-5-0,24-2-0,0-0-0
3,UCLA,Pac-12,58-7-0,13-2-0,18-2-0,27-3-0,0-0-0
4,Oklahoma,Big 12,57-5-0,12-1-0,15-4-0,30-0-0,0-0-0
5,Washington,Pac-12,52-10-0,14-5-0,18-2-0,20-3-0,0-0-0
6,Florida,SEC,56-11-0,13-6-0,10-2-0,33-3-0,0-0-0
7,Arizona St.,Pac-12,48-13-0,10-3-0,5-3-0,33-7-0,0-0-0
8,Georgia,SEC,48-13-0,8-5-0,4-4-0,36-4-0,0-0-0
9,South Carolina,SEC,49-17-0,7-13-0,13-1-0,29-3-0,0-0-0
10,Tennessee,SEC,48-14-0,8-9-0,22-2-0,18-3-0,0-0-0
11,LSU,SEC,45-17-0,6-10-0,4-3-0,35-4-0,0-0-0
12,Arizona,Pac-12,43-16-0,6-11-0,9-1-0,28-4-0,0-0-0
13,Kentucky,SEC,35-21-0,7-14-0,7-2-0,21-5-0,0-0-0
14,Texas A&M,SEC,44-18-0,4-11-0,3-3-0,37-4-0,0-0-0
15,Alabama,SEC,36-20-0,9-11-0,7-3-0,20-6-0,0-0-0
16,Baylor,Big 12,38-18-0,15-6-0,13-7-0,10-5-0,0-0-0
17,Arkansas,SEC,42-17-0,4-13-0,11-2-0,27-2-0,0-0-0
18,Hofstra,CAA,41-14-0,17-7-0,11-6-0,13-1-0,0-0-0
19,Louisiana,Sun Belt,41-16-0,11-7-0,3-3-0,27-6-0,0-0-0
20,Auburn,SEC,41-17-0,8-10-0,4-4-0,29-3-0,0-0-0
21,Mississippi St.,SEC,38-23-0,8-9-0,6-4-0,24-10-0,0-0-0
22,Long Beach St.,Big West,43-14-0,12-4-0,18-6-0,13-4-0,0-0-0
23,Minnesota,Big Ten,41-17-0,14-11-0,16-5-0,11-1-0,0-0-0
24,James Madison,CAA,43-14-0,15-4-0,14-6-0,14-4-0,0-0-0
25,Ohio St.,Big Ten,36-16-0,12-10-0,13-4-0,11-2-0,0-0-0
26,Missouri,SEC,30-29-0,5-12-0,12-10-0,13-7-0,0-0-0
27,Oregon St.,Pac-12,30-28-0,7-10-0,17-7-0,6-11-0,0-0-0
28,Texas St.,Sun Belt,43-16-0,9-9-0,13-3-0,21-4-0,0-0-0
29,Liberty,Big South,49-14-0,13-8-0,13-3-0,23-3-0,0-0-0
30,Oklahoma St.,Big 12,39-22-0,9-8-0,19-9-0,11-5-0,0-0-0
31,Drake,MVC,45-12-0,19-6-0,17-6-0,9-0-0,0-0-0
32,California,Pac-12,35-21-0,10-7-0,19-5-0,6-9-0,0-0-0
33,Wichita St.,AAC,32-23-0,13-11-0,8-8-0,11-4-0,0-0-0
34,Michigan,Big Ten,44-13-0,11-5-0,19-6-0,14-2-0,0-0-0
35,Ole Miss,SEC,32-25-0,6-13-0,10-3-0,16-9-0,0-0-0
36,Northwestern,Big Ten,38-19-0,11-9-0,18-7-0,9-3-0,0-0-0
37,Texas,Big 12,33-26-0,6-9-0,6-6-0,21-11-0,0-0-0
38,Notre Dame,ACC,34-23-0,10-7-0,15-7-0,9-9-0,0-0-0
39,FGCU,ASUN,39-17-0,10-5-0,9-6-0,20-6-0,0-0-0
40,Houston,AAC,37-22-0,10-7-0,6-5-0,21-10-0,0-0-0
41,McNeese,Southland,41-21-0,13-10-0,9-4-0,19-7-0,0-0-0
42,Cal St. Fullerton,Big West,35-25-0,9-4-0,3-6-0,23-15-0,0-0-0
43,Kennesaw St.,ASUN,39-17-0,8-7-0,8-5-0,23-5-0,0-0-0
44,Louisville,ACC,33-20-0,4-9-0,11-5-0,18-6-0,0-0-0
45,Nebraska,Big Ten,31-23-0,8-9-0,13-7-0,10-7-0,0-0-0
46,South Fla.,AAC,39-23-0,5-7-0,10-6-0,24-10-0,0-0-0
47,North Dakota St.,Summit League,34-19-0,9-9-0,17-9-0,8-1-0,0-0-0
48,Pittsburgh,ACC,33-18-1,11-8-0,10-8-1,12-2-0,0-0-0
49,Tulsa,AAC,34-25-0,8-13-0,18-6-0,8-6-0,0-0-0
50,Ohio,MAC,40-17-0,14-9-0,15-7-0,11-1-0,0-0-0
51,BYU,WCC,36-22-0,10-6-0,15-15-0,11-1-0,0-0-0
52,Wisconsin,Big Ten,29-23-0,6-12-0,12-8-0,11-3-0,0-0-0
53,UNCG,SoCon,46-13-0,12-7-0,9-3-0,25-3-0,0-0-0
54,Lipscomb,ASUN,33-17-0,10-4-0,9-6-0,14-7-0,0-0-0
55,San Jose St.,MWC,32-17-0,10-5-0,12-9-0,10-3-0,0-0-0
56,Boston College,ACC,30-23-0,11-13-0,7-6-0,12-4-0,0-0-0
57,Longwood,Big South,38-16-0,13-7-0,11-5-0,14-4-0,0-0-0
58,FIU,C-USA,30-25-0,9-8-0,5-6-0,16-11-0,0-0-0
59,Massachusetts,Atlantic 10,35-14-0,11-6-0,11-7-0,13-1-0,0-0-0
60,Utah,Pac-12,20-30-0,4-14-0,11-6-0,5-10-0,0-0-0
61,USC Upstate,ASUN,35-19-0,14-7-0,3-5-0,18-7-0,0-0-0
62,DePaul,Big East,35-17-0,10-7-0,13-6-0,12-4-0,0-0-0
63,Loyola Marymount,WCC,34-24-1,10-4-0,5-9-1,19-11-0,0-0-0
64,UCF,AAC,34-22-0,6-9-0,11-7-0,17-6-0,0-0-0
65,Georgia St.,Sun Belt,31-24-0,8-11-0,7-6-0,16-7-0,0-0-0
66,Illinois,Big Ten,37-18-0,11-9-0,11-7-0,15-2-0,0-0-0
67,Eastern Ky.,OVC,45-21-0,10-10-0,15-8-0,20-3-0,0-0-0
68,South Alabama,Sun Belt,29-27-0,6-14-0,9-8-0,14-5-0,0-0-0
69,North Carolina,ACC,30-26-0,11-10-0,3-7-0,16-9-0,0-0-0
70,Boise St.,MWC,40-16-0,18-3-0,12-8-0,10-5-0,0-0-0
71,Jacksonville St.,OVC,35-25-0,13-13-0,12-8-0,10-4-0,0-0-0
72,Texas Tech,Big 12,31-28-0,11-9-0,9-10-0,11-9-0,0-0-0
73,Radford,Big South,36-19-0,16-9-0,10-5-0,10-5-0,0-0-0
74,Southeast Mo. St.,OVC,33-20-0,9-13-0,11-4-0,13-3-0,0-0-0
75,Iowa St.,Big 12,23-33-0,9-15-0,13-12-0,1-6-0,0-0-0
76,UT Arlington,Sun Belt,30-28-0,11-15-0,9-4-0,10-9-0,0-0-0
77,UC Riverside,Big West,38-24-0,5-11-0,9-3-0,24-10-0,0-0-0
78,Austin Peay,OVC,39-19-0,17-6-0,10-9-0,12-4-0,0-0-0
79,Nicholls St.,Southland,40-15-0,13-6-0,9-7-0,18-2-0,0-0-0
80,Furman,SoCon,41-15-0,6-9-0,8-3-0,27-3-0,0-0-0
81,Fla. Atlantic,C-USA,30-26-0,6-8-0,6-6-0,18-12-0,0-0-0
82,NC State,ACC,23-31-0,5-13-0,3-1-0,15-17-0,0-0-0
