Rank,2019
1,UCLA
2,Oklahoma
3,Washington
3,Alabama
5,Oklahoma State
5,Arizona
7,Minnesota
7,Florida
9,Northwestern
9,Texas
9,Tennessee
9,Florida State
9,James Madison
9,LSU
9,Ole Miss
9,Kentucky
17,Wisconsin
17,Louisville
17,Houston
17,Arizona State
17,Boise State
17,Tulsa
17,South Carolina
17,Mississippi State
17,Virginia Tech
17,Louisiana
17,Auburn
17,Georgia
17,Texas Tech
17,Michigan
17,Missouri
17,North Carolina
33,Notre Dame
33,Southern Illinois
33,Sam Houston State
33,Lipscomb
33,Stanford
33,Ohio State
33,BYU
33,South Florida
33,Seattle U
33,Illinois
33,Southern Missouri State
33,Colorado State
33,Drake
33,Louisiana Tech
33,DePaul
33,Weber State
49,CSU Fullerton
49,St. Francis (Pa)
49,Monmouth
49,North Dakota State
49,Harvard
49,Chattanooga
49,Toledo
49,Fordham
49,Bethune-Cookman
49,Arkansas
49,Longwood
49,Boston U
49,Alabama State
49,Texas A&M
49,Detroit Mercy
49,UMBC
