mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tweedie_variance_power,param_subsample,param_reg_alpha,param_random_state,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.636256265640259,1.3450557669865242,0.021813440322875976,0.018980902823695207,1.7,0.6,0,1,200,10,5,0.1,2,0.8,"{'tweedie_variance_power': 1.7, 'subsample': 0.6, 'reg_alpha': 0, 'random_state': 1, 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 2, 'colsample_bytree': 0.8}",-34.45325472818552,-33.2165549334118,-36.19112617640692,-39.8427043657553,-38.69107382244046,-36.47894280524,2.4914991750697384,1
5.686842060089111,0.5859766188209969,0.007505607604980469,0.0015169228740359144,1.7,0.8,0,1,300,10,4,0.1,1,0.8,"{'tweedie_variance_power': 1.7, 'subsample': 0.8, 'reg_alpha': 0, 'random_state': 1, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 1, 'colsample_bytree': 0.8}",-35.36244457704358,-31.690581968909353,-36.832680877114264,-40.14608165717859,-39.46893627195959,-36.70014507044108,3.0477340597807117,2
5.149874210357666,0.4540494804398544,0.008138751983642578,0.0006502088369923101,1.6,0.8,0,1,300,10,4,0.1,2,0.8,"{'tweedie_variance_power': 1.6, 'subsample': 0.8, 'reg_alpha': 0, 'random_state': 1, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 2, 'colsample_bytree': 0.8}",-34.75754405958318,-33.65732754134206,-36.970656258837025,-39.747195509074764,-39.24515784977213,-36.87557624372183,2.3963864231616956,3
5.513493490219116,0.7538011966830567,0.010055637359619141,0.0030726720071915068,1.6,0.8,0,1,300,2,4,0.1,0,0.8,"{'tweedie_variance_power': 1.6, 'subsample': 0.8, 'reg_alpha': 0, 'random_state': 1, 'n_estimators': 300, 'min_child_weight': 2, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.8}",-34.956270950698716,-33.922829277780096,-38.04813646155891,-39.69312809354784,-39.60272901991529,-37.24461876070016,2.386308601653521,4
3.8183654308319093,0.14350288332162922,0.005970621109008789,0.0004559090316498758,1.7,0.8,0,1,300,1,4,0.05,1,0.6,"{'tweedie_variance_power': 1.7, 'subsample': 0.8, 'reg_alpha': 0, 'random_state': 1, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 1, 'colsample_bytree': 0.6}",-35.88541948793929,-32.408479181640686,-38.12655508991639,-40.6749590582225,-39.7471842828213,-37.36851942010803,2.9653597509346885,5
4.500820541381836,0.08709002620811244,0.0064316272735595705,0.0008062510024304154,1.6,0.6,0,1,200,1,5,0.05,5,1.0,"{'tweedie_variance_power': 1.6, 'subsample': 0.6, 'reg_alpha': 0, 'random_state': 1, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 5, 'colsample_bytree': 1.0}",-34.89989949528507,-34.02572610486733,-36.62631075244361,-40.63550004717838,-40.75929555792228,-37.38934639153934,2.8279880342298314,6
2.303110885620117,0.2144100731669583,0.005941963195800782,0.0010656534247750152,1.5,1.0,0,1,200,1,3,0.1,0,0.6,"{'tweedie_variance_power': 1.5, 'subsample': 1.0, 'reg_alpha': 0, 'random_state': 1, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.6}",-34.65799191567481,-33.7062065865719,-39.47437988539714,-42.07690969570122,-39.655771442511075,-37.914251905171234,3.197045011170818,7
3.656321382522583,0.2453631133032212,0.007596206665039062,0.00294454351478744,1.7,0.6,0,1,300,1,3,0.05,1,0.8,"{'tweedie_variance_power': 1.7, 'subsample': 0.6, 'reg_alpha': 0, 'random_state': 1, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 1, 'colsample_bytree': 0.8}",-35.46513902593022,-32.899945658653444,-39.521898290706716,-40.92066687281924,-41.26712303175014,-38.014954575971956,3.284981538446428,8
2.5585328102111817,0.2945977821665214,0.00698704719543457,0.002970597238737333,1.5,1.0,0,1,100,10,5,0.1,0,0.6,"{'tweedie_variance_power': 1.5, 'subsample': 1.0, 'reg_alpha': 0, 'random_state': 1, 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.6}",-36.2483742795559,-33.57540608677357,-38.79089635018634,-41.23652272969435,-40.389564675740715,-38.04815282439017,2.80870953446995,9
3.3881343364715577,0.31696339568440307,0.009930706024169922,0.005101808907278867,1.8,1.0,0,1,200,5,4,0.1,0,0.6,"{'tweedie_variance_power': 1.8, 'subsample': 1.0, 'reg_alpha': 0, 'random_state': 1, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.6}",-34.515216982153035,-33.52747278726821,-39.50687592307707,-41.50394803081157,-41.41128005050474,-38.092958754762925,3.4143568686595995,10
